diagnostic_scope,breakdown,value,trades,sample_flag,profit_win_rate,target_hit_rate,avg_r,total_r,avg_mfe_r,avg_mae_r
Supply Rejection — Puts,timeframe,3H/90m/1H,19,low_sample,42.11,5.26,-0.144,-2.734,1.197,-2.216
Supply Rejection — Puts,timeframe,4H/3H/2H,14,low_sample,28.57,0.0,-0.219,-3.063,0.729,-0.963
Supply Rejection — Puts,timeframe,1D/4H/3H/2H/1H,5,very_low_sample,0.0,20.0,-0.649,-3.245,1.061,-1.221
Supply Rejection — Puts,timeframe,4H/2H/90m,6,very_low_sample,16.67,0.0,-0.568,-3.405,0.589,-8.976
Supply Rejection — Puts,timeframe,3H/2H/1H,11,low_sample,27.27,0.0,-0.315,-3.47,0.559,-0.774
Supply Rejection — Puts,timeframe,1D/90m/1H,12,low_sample,41.67,16.67,-0.303,-3.634,1.315,-1.045
Supply Rejection — Puts,timeframe,2H/1H,27,ok,33.33,7.41,-0.15,-4.043,1.26,-1.403
Supply Rejection — Puts,timeframe,2H/90m,12,low_sample,33.33,0.0,-0.377,-4.524,0.584,-0.914
Supply Rejection — Puts,timeframe,4H/2H/1H,13,low_sample,38.46,7.69,-0.397,-5.159,0.828,-1.295
Supply Rejection — Puts,timeframe,4H/3H/2H/90m,16,low_sample,31.25,0.0,-0.374,-5.989,0.866,-1.233
Supply Rejection — Puts,timeframe,4H/3H/2H/90m/1H,167,ok,47.31,6.59,-0.041,-6.841,1.167,-0.842
Supply Rejection — Puts,timeframe,2H,15,low_sample,13.33,0.0,-0.634,-9.503,0.787,-2.209
Supply Rejection — Puts,timeframe,4H,29,ok,31.03,0.0,-0.331,-9.595,0.622,-1.028
Supply Rejection — Puts,timeframe,2H/90m/1H,64,ok,35.94,12.5,-0.177,-11.36,3.311,-6.452
Supply Rejection — Puts,timeframe,1D/4H/3H/2H/90m/1H,169,ok,40.83,1.18,-0.072,-12.249,0.458,-0.505
Supply Rejection — Puts,timeframe,1H,91,ok,28.57,15.38,-0.14,-12.738,1.637,-1.32
Supply Rejection — Puts,timeframe,90m/1H,81,ok,33.33,7.41,-0.248,-20.065,1.611,-1.119
Supply Rejection — Puts,timeframe,1D,93,ok,36.56,6.45,-0.22,-20.488,0.942,-0.808
all_reversal_rejection,timeframe,90m,64,ok,56.25,23.44,0.366,23.434,1.964,-1.864
all_reversal_rejection,timeframe,4H/3H/2H,28,ok,50.0,14.29,0.341,9.546,1.107,-0.869
all_reversal_rejection,timeframe,4H/90m/1H,18,low_sample,55.56,22.22,0.45,8.097,1.368,-0.578
all_reversal_rejection,timeframe,1D/3H/90m/1H,8,very_low_sample,75.0,25.0,0.94,7.516,1.269,-0.376
all_reversal_rejection,timeframe,4H/2H,11,low_sample,72.73,9.09,0.682,7.499,1.297,-0.715
all_reversal_rejection,timeframe,1D/2H/90m,8,very_low_sample,75.0,12.5,0.825,6.604,1.489,-0.432
all_reversal_rejection,timeframe,1D/4H/90m/1H,12,low_sample,58.33,16.67,0.256,3.073,88.476,-58.888
all_reversal_rejection,timeframe,3H/2H,7,very_low_sample,57.14,14.29,0.358,2.509,1.284,-0.725
all_reversal_rejection,timeframe,1D/3H/2H/90m/1H,31,ok,54.84,6.45,0.076,2.359,0.689,-0.717
all_reversal_rejection,timeframe,1D/3H/1H,9,very_low_sample,55.56,11.11,0.24,2.159,1.012,-0.562
all_reversal_rejection,timeframe,3H/2H/90m/1H,85,ok,43.53,11.76,0.025,2.145,1.208,-1.023
all_reversal_rejection,timeframe,1D/4H/1H,5,very_low_sample,40.0,20.0,0.379,1.895,1.68,-3.778
all_reversal_rejection,timeframe,1D/4H/3H/90m/1H,5,very_low_sample,80.0,0.0,0.237,1.184,0.683,-0.342
all_reversal_rejection,timeframe,3H/1H,19,low_sample,42.11,10.53,0.044,0.845,1.287,-0.888
all_reversal_rejection,timeframe,1D/3H/2H/1H,6,very_low_sample,50.0,0.0,0.141,0.843,0.884,-0.668
all_reversal_rejection,timeframe,1D/4H/2H/1H,4,very_low_sample,25.0,25.0,0.186,0.743,1.223,-2.052
all_reversal_rejection,timeframe,1D/3H,2,very_low_sample,100.0,0.0,0.285,0.57,0.44,-0.262
all_reversal_rejection,timeframe,1D/4H,2,very_low_sample,100.0,0.0,0.208,0.416,0.582,-0.246
all_reversal_rejection,timeframe,1D/4H/3H/2H/90m,13,low_sample,46.15,7.69,0.013,0.163,0.781,-0.738
all_reversal_rejection,timeframe,4H/1H,20,low_sample,40.0,15.0,0.007,0.144,1.444,-1.323
all_reversal_rejection,timeframe,1D/4H/3H,1,very_low_sample,100.0,0.0,0.093,0.093,1.942,-0.698
all_reversal_rejection,timeframe,3H/90m,8,very_low_sample,50.0,0.0,-0.003,-0.023,1.14,-0.657
all_reversal_rejection,timeframe,1D/2H,1,very_low_sample,0.0,0.0,-0.309,-0.309,0.691,-0.776
