status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Near-Term,HOOD,97.21,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBR/RBR,demand,96.7,95.66,95.66,95.66,96.7,1.59,one_test,One successful retest (1 tests),1,1.63,Strong,0.84,92.81,Weak,7.39,"4H/3H/2H/90m/1H demand @ 93.78 (RR 3.30, fresh, tests 0, quality 17.5)",3.3,3.3,17.46,93.78,,1:3.30–1:7.37,"T1: 4H/3H/2H/90m/1H demand @ 93.78 (RR 3.30, fresh, tests 0, quality 17.5) | T2: 1D demand @ 93.19 (RR 3.87, fresh, tests 0, quality 14.2) | T3: 4H/3H/2H demand @ 92.78 (RR 4.26, one_test, tests 1, quality 10.7) | T4: 90m/1H demand @ 89.63 (RR 7.29, fresh, tests 0, quality 10.9) | T5: 3H demand @ 89.55 (RR 7.37, fresh, tests 0, quality 11.5)","4H/3H/2H/90m/1H demand @ 93.78 (RR 3.30, fresh, tests 0, quality 17.5)",3.3,fresh,0.0,hard_target,"1D demand @ 93.19 (RR 3.87, fresh, tests 0, quality 14.2)",3.87,fresh,0.0,hard_target,"4H/3H/2H demand @ 92.78 (RR 4.26, one_test, tests 1, quality 10.7)",4.26,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,7,"4H,3H,2H,90m,1H",4H demand 95.66-96.70 RBR; 3H demand 95.66-96.70 RBR; 2H demand 95.66-96.70 RBR; 90m demand 95.66-96.70 RBR; 90m demand 95.93-96.03 RBR; 1H demand 95.75-96.70 RBR; 1H demand 95.66-96.64 DBR,4H,95.66,96.7,4H/3H/2H/90m/1H,below_price,0.52,97.66,98.33,1H,above_price,0.46,between_nearest_demand_and_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.868,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.30 (Strong 1:2.5–1:3.99); range 1:3.30–1:4.26,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,QQQ,710.57,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBD/RBD,supply,723.61,713.65,723.61,723.61,713.65,1.84,fresh,Fresh / untested (0 tests),0,-0.23,Weak,1.05,2.27,Average,8.78,"1D/4H/3H/2H/90m/1H supply @ 736.66 (RR 2.62, fresh, tests 0, quality 18.4)",2.62,2.62,18.45,736.66,,1:2.62,"T1: 1D/4H/3H/2H/90m/1H supply @ 736.66 (RR 2.62, fresh, tests 0, quality 18.4)","1D/4H/3H/2H/90m/1H supply @ 736.66 (RR 2.62, fresh, tests 0, quality 18.4)",2.62,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,9,"1D,4H,3H,2H,90m,1H",1D supply 713.65-723.61 DBD; 4H supply 715.15-718.50 RBD; 3H supply 715.15-718.50 DBD; 3H supply 719.08-722.36 DBD; 2H supply 715.19-719.93 RBD; 90m supply 715.19-719.93 RBD; 90m supply 717.54-720.30 DBD; 1H supply 716.23-718.05 DBD; 1H supply 719.08-720.07 RBD,1D,705.93,709.81,90m/1H,below_price,0.11,708.06,711.64,1H,containing_price,0.0,inside_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.083,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.62 (Strong 1:2.5–1:3.99); range 1:2.62–1:2.62,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,SPY,733.12,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,90m,DBR,demand,732.16,731.23,731.23,731.23,732.16,0.26,fresh,Fresh / untested (0 tests),0,0.32,Weak,1.14,5.17,Average,5.21,"1D/4H/3H/2H/90m/1H demand @ 728.85 (RR 4.59, fresh, tests 0, quality 17.6)",4.59,4.59,17.58,728.85,,1:4.59–1:61.00,"T1: 1D/4H/3H/2H/90m/1H demand @ 728.85 (RR 4.59, fresh, tests 0, quality 17.6) | T2: 1D/4H/3H/2H/90m/1H demand @ 711.82 (RR 22.90, fresh, tests 0, quality 17.8) | T3: 1D/4H/3H/2H/90m/1H demand @ 701.66 (RR 33.83, fresh, tests 0, quality 18.8) | T4: 1D/4H/3H/2H/90m/1H demand @ 683.29 (RR 53.58, fresh, tests 0, quality 16.9) | T5: 1D/4H/3H/2H/90m/1H demand @ 676.39 (RR 61.00, fresh, tests 0, quality 16.7)","1D/4H/3H/2H/90m/1H demand @ 728.85 (RR 4.59, fresh, tests 0, quality 17.6)",4.59,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 711.82 (RR 22.90, fresh, tests 0, quality 17.8)",22.9,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 701.66 (RR 33.83, fresh, tests 0, quality 18.8)",33.83,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,90m,90m demand 731.23-732.16 DBR,90m,731.23,732.16,90m,below_price,0.13,733.58,739.95,1D/3H/2H/90m,above_price,0.06,between_nearest_demand_and_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.027,A,Excellent 1:4.0+,rr-excellent,T1 1:4.59 (Excellent 1:4.0+); range 1:4.59–1:33.83,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,PLTR,113.44,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H,DBD,supply,114.35,113.88,114.35,114.35,113.88,0.8,fresh,Fresh / untested (0 tests),0,-0.2,Weak,0.75,3.64,Weak,4.95,"1H supply @ 115.97 (RR 5.38, fresh, tests 0, quality 9.4)",5.38,5.38,9.37,115.97,,1:5.38–1:36.57,"T1: 1H supply @ 115.97 (RR 5.38, fresh, tests 0, quality 9.4) | T2: 3H/2H/90m/1H supply @ 118.73 (RR 11.26, fresh, tests 0, quality 14.4) | T3: 1H supply @ 122.89 (RR 20.11, fresh, tests 0, quality 9.7) | T4: 1D/4H/3H/2H/90m/1H supply @ 127.92 (RR 30.81, fresh, tests 0, quality 18.3) | T5: 1D supply @ 130.63 (RR 36.57, fresh, tests 0, quality 13.8)","1H supply @ 115.97 (RR 5.38, fresh, tests 0, quality 9.4)",5.38,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 118.73 (RR 11.26, fresh, tests 0, quality 14.4)",11.26,fresh,0.0,hard_target,"1H supply @ 122.89 (RR 20.11, fresh, tests 0, quality 9.7)",20.11,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,2H,2H supply 113.88-114.35 DBD,2H,,,,,,113.88,114.35,2H,above_price,0.39,zone_context_mixed,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.781,A,Excellent 1:4.0+,rr-excellent,T1 1:5.38 (Excellent 1:4.0+); range 1:5.38–1:20.11,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,HOOD,97.21,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1H,DBD,supply,98.33,97.66,98.33,98.33,97.66,1.15,fresh,Fresh / untested (0 tests),0,-0.44,Weak,0.66,2.04,Weak,4.6,"2H/90m supply @ 99.51 (RR 3.43, fresh, tests 0, quality 10.1)",3.43,3.43,10.06,99.51,,1:3.43–1:12.70,"T1: 2H/90m supply @ 99.51 (RR 3.43, fresh, tests 0, quality 10.1) | T2: 1D supply @ 101.64 (RR 6.61, fresh, tests 0, quality 13.8) | T3: 4H/3H/2H/90m/1H supply @ 102.59 (RR 8.03, fresh, tests 0, quality 15.5) | T4: 3H/90m supply @ 104.36 (RR 10.67, fresh, tests 0, quality 11.1) | T5: 1D supply @ 105.72 (RR 12.70, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)","2H/90m supply @ 99.51 (RR 3.43, fresh, tests 0, quality 10.1)",3.43,fresh,0.0,hard_target,"1D supply @ 101.64 (RR 6.61, fresh, tests 0, quality 13.8)",6.61,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 102.59 (RR 8.03, fresh, tests 0, quality 15.5)",8.03,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H supply 97.66-98.33 DBD,1H,95.66,96.7,4H/3H/2H/90m/1H,below_price,0.52,97.66,98.33,1H,above_price,0.46,between_nearest_demand_and_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.785,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.43 (Strong 1:2.5–1:3.99); range 1:3.43–1:8.03,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,AVGO,382.11,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1H,RBD,supply,386.85,385.63,386.85,386.85,385.63,1.24,fresh,Fresh / untested (0 tests),0,-1.04,Moderate,0.63,11.45,Weak,5.17,"4H/3H/2H/90m/1H supply @ 396.64 (RR 11.91, fresh, tests 0, quality 14.8)",6.0,11.91,14.76,396.64,,1:11.91–1:81.52,"T1: 4H/3H/2H/90m/1H supply @ 396.64 (RR 11.91, fresh, tests 0, quality 14.8) | T2: 1D/4H/3H/2H/90m/1H supply @ 407.29 (RR 20.64, fresh, tests 0, quality 17.6) | T3: 4H/2H/90m/1H supply @ 416.28 (RR 28.01, fresh, tests 0, quality 15.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 481.57 (RR 81.52, fresh, tests 0, quality 18.0)","4H/3H/2H/90m/1H supply @ 396.64 (RR 11.91, fresh, tests 0, quality 14.8)",11.91,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 407.29 (RR 20.64, fresh, tests 0, quality 17.6)",20.64,fresh,0.0,hard_target,"4H/2H/90m/1H supply @ 416.28 (RR 28.01, fresh, tests 0, quality 15.8)",28.01,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H supply 385.63-386.85 RBD,1H,370.74,379.38,3H/2H/90m/1H,below_price,0.71,380.36,382.87,4H/1H,containing_price,0.0,inside_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.919,A,Excellent 1:4.0+,rr-excellent,T1 1:11.91 (Excellent 1:4.0+); range 1:11.91–1:28.01,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,ASTS,68.04,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,90m,DBR,demand,67.56,67.06,67.06,67.06,67.56,1.44,fresh,Fresh / untested (0 tests),0,0.16,Weak,0.67,6.62,Weak,4.58,"4H/3H/2H/90m/1H demand @ 65.84 (RR 4.40, fresh, tests 0, quality 16.1)",4.4,4.4,16.09,65.84,,1:4.40–1:58.64,"T1: 4H/3H/2H/90m/1H demand @ 65.84 (RR 4.40, fresh, tests 0, quality 16.1) | T2: 4H/3H/2H demand @ 64.46 (RR 7.16, fresh, tests 0, quality 15.9) | T3: 1D demand @ 49.08 (RR 37.92, fresh, tests 0, quality 16.1) | T4: 1D demand @ 41.93 (RR 52.22, fresh, tests 0, quality 15.7) | T5: 1D demand @ 38.72 (RR 58.64, fresh, tests 0, quality 13.9)","4H/3H/2H/90m/1H demand @ 65.84 (RR 4.40, fresh, tests 0, quality 16.1)",4.4,fresh,0.0,hard_target,"4H/3H/2H demand @ 64.46 (RR 7.16, fresh, tests 0, quality 15.9)",7.16,fresh,0.0,hard_target,"1D demand @ 49.08 (RR 37.92, fresh, tests 0, quality 16.1)",37.92,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,90m,90m demand 67.06-67.56 DBR,90m,67.06,67.56,90m,below_price,0.71,69.04,70.18,90m/1H,above_price,1.47,between_nearest_demand_and_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.751,A,Excellent 1:4.0+,rr-excellent,T1 1:4.40 (Excellent 1:4.0+); range 1:4.40–1:37.92,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,COIN,150.05,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H,DBD,supply,152.55,152.08,152.55,152.55,152.08,1.67,fresh,Fresh / untested (0 tests),0,-0.39,Weak,1.16,4.42,Average,5.55,"3H/1H supply @ 154.26 (RR 8.96, fresh, tests 0, quality 12.1)",6.0,8.96,12.11,154.26,,1:8.96–1:31.62,"T1: 3H/1H supply @ 154.26 (RR 8.96, fresh, tests 0, quality 12.1) | T2: 1D supply @ 156.98 (RR 14.74, fresh, tests 0, quality 14.0) | T3: 4H/3H/2H/90m/1H supply @ 157.57 (RR 16.00, fresh, tests 0, quality 14.9) | T4: 1H supply @ 164.59 (RR 30.94, one_test, tests 1, quality 4.4, soft obstacle: low_quality) | T5: 1D supply @ 164.91 (RR 31.62, one_test, tests 1, quality 10.1)","3H/1H supply @ 154.26 (RR 8.96, fresh, tests 0, quality 12.1)",8.96,fresh,0.0,hard_target,"1D supply @ 156.98 (RR 14.74, fresh, tests 0, quality 14.0)",14.74,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 157.57 (RR 16.00, fresh, tests 0, quality 14.9)",16.0,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,2H,2H supply 152.08-152.55 DBD,2H,147.88,152.5,3H,containing_price,0.0,152.08,152.55,2H,above_price,1.35,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.971,A,Excellent 1:4.0+,rr-excellent,T1 1:8.96 (Excellent 1:4.0+); range 1:8.96–1:16.00,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Future,SNOW,225.8,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m/1H,DBD/RBD,supply,237.26,230.66,237.26,230.66,237.26,2.15,fresh,Fresh / untested (0 tests),0,-0.44,Weak,0.55,13.16,Weak,7.73,"4H/3H/1H demand @ 175.58 (RR 4.38, fresh, tests 0, quality 18.9)",4.38,4.38,18.9,175.58,,1:4.38–1:5.53,"T1: 4H/3H/1H demand @ 175.58 (RR 4.38, fresh, tests 0, quality 18.9) | T2: 4H/3H/2H/90m/1H demand @ 172.73 (RR 4.63, fresh, tests 0, quality 17.2) | T3: 1D/4H/2H/90m demand @ 166.97 (RR 5.13, fresh, tests 0, quality 15.7) | T4: 1D/2H/90m/1H demand @ 165.54 (RR 5.26, fresh, tests 0, quality 16.6) | T5: 2H demand @ 162.41 (RR 5.53, multiple_tests, tests 2, quality 3.2, soft obstacle: low_quality)","4H/3H/1H demand @ 175.58 (RR 4.38, fresh, tests 0, quality 18.9)",4.38,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 172.73 (RR 4.63, fresh, tests 0, quality 17.2)",4.63,fresh,0.0,hard_target,"1D/4H/2H/90m demand @ 166.97 (RR 5.13, fresh, tests 0, quality 15.7)",5.13,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,13,"1D,4H,3H,2H,90m,1H",1D/3H/2H/90m/1H supply 230.66-237.26 RR 4.38; 4H/3H/2H/90m/1H supply 234.34-238.63 RR 3.91,1D,225.19,226.55,1H,containing_price,0.0,230.66,237.26,1D/3H/2H/90m/1H,above_price,2.15,inside_demand,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.218,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.38 (Excellent 1:4.0+); range 1:4.38–1:5.13,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2
Future,NVDA,198.96,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBD/RBD,supply,203.45,199.87,203.45,203.45,199.87,2.26,fresh,Fresh / untested (0 tests),0,-0.48,Weak,1.41,3.19,Strong,8.39,"1D/4H/3H/2H/90m/1H supply @ 208.00 (RR 2.53, fresh, tests 0, quality 18.1)",2.53,2.53,18.09,208.0,,1:2.53–1:6.61,"T1: 1D/4H/3H/2H/90m/1H supply @ 208.00 (RR 2.53, fresh, tests 0, quality 18.1) | T2: 3H/90m supply @ 218.72 (RR 5.52, fresh, tests 0, quality 12.5) | T3: 1D supply @ 219.51 (RR 5.74, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T4: 1H supply @ 220.22 (RR 5.94, fresh, tests 0, quality 7.9) | T5: 1D/4H/3H/2H/90m/1H supply @ 222.62 (RR 6.61, fresh, tests 0, quality 17.4)","1D/4H/3H/2H/90m/1H supply @ 208.00 (RR 2.53, fresh, tests 0, quality 18.1)",2.53,fresh,0.0,hard_target,"3H/90m supply @ 218.72 (RR 5.52, fresh, tests 0, quality 12.5)",5.52,fresh,0.0,hard_target,"1D supply @ 219.51 (RR 5.74, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",5.74,multiple_tests,4.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A+,10,"4H,3H,2H,90m,1H",4H supply 199.87-201.67 DBD; 3H supply 202.49-203.45 DBD; 3H supply 199.87-201.67 DBD; 2H supply 199.88-201.51 RBD; 2H supply 201.65-202.80 DBD; 90m supply 199.88-201.51 RBD; 90m supply 201.83-202.96 RBD; 1H supply 200.74-201.25 RBD; 1H supply 202.24-202.80 RBD; 1H supply 201.22-201.72 DBD,4H,194.34,197.96,4H/3H/2H/90m/1H,below_price,0.5,199.87,203.45,4H/3H/2H/90m/1H,above_price,0.46,between_nearest_demand_and_supply,2026-06-24T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.89,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.53 (Strong 1:2.5–1:3.99); range 1:2.53–1:5.74,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
