status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed
Immediate,COST,984.99,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/2H/90m/1H,DBD/RBD,supply,993.76,983.33,993.76,993.76,983.33,0.0,fresh,Fresh / untested (0 tests),0,-0.82,Weak,1.32,11.93,Strong,8.14,"4H/3H/2H/90m/1H supply @ 1007.83 (RR 2.19, fresh, tests 0, quality 14.5)",2.19,2.19,14.46,1007.83,,1:2.19,"T1: 4H/3H/2H/90m/1H supply @ 1007.83 (RR 2.19, fresh, tests 0, quality 14.5)","4H/3H/2H/90m/1H supply @ 1007.83 (RR 2.19, fresh, tests 0, quality 14.5)",2.19,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,4,"3H,2H,90m,1H",3H supply 987.25-988.67 RBD; 2H supply 987.25-988.67 RBD; 90m supply 983.33-987.37 DBD; 1H supply 990.00-993.76 DBD,3H,961.69,981.49,1D/4H/3H/2H/90m/1H,below_price,0.36,983.33,993.76,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.349,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.19 (Acceptable 1:2.0–1:2.49); range 1:2.19–1:2.19,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,AVGO,332.67,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/4H/2H/90m/1H,DBR/RBR,demand,332.91,324.69,324.69,324.69,332.91,0.0,fresh,Fresh / untested (0 tests),0,0.51,Weak,0.85,2.75,Weak,7.91,"4H demand @ 317.32 (RR 1.87, one_test, tests 1, quality 10.6)",1.87,1.87,10.57,317.32,,1:1.87–1:3.94,"T1: 4H demand @ 317.32 (RR 1.87, one_test, tests 1, quality 10.6) | T2: 3H/2H/90m/1H demand @ 310.41 (RR 2.71, fresh, tests 0, quality 16.5) | T3: 3H/2H/90m/1H demand @ 308.75 (RR 2.91, multiple_tests, tests 2, quality 9.5) | T4: 1D/90m demand @ 302.39 (RR 3.68, fresh, tests 0, quality 13.6) | T5: 1D/1H demand @ 300.25 (RR 3.94, fresh, tests 0, quality 13.3)","4H demand @ 317.32 (RR 1.87, one_test, tests 1, quality 10.6)",1.87,one_test,1.0,hard_target,"3H/2H/90m/1H demand @ 310.41 (RR 2.71, fresh, tests 0, quality 16.5)",2.71,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 308.75 (RR 2.91, multiple_tests, tests 2, quality 9.5)",2.91,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,7,"1D,4H,2H,90m,1H",1D demand 324.69-329.85 DBR; 4H demand 331.72-332.64 RBR; 2H demand 324.69-326.19 DBR; 90m demand 324.69-326.19 DBR; 1H demand 324.69-326.19 DBR; 1H demand 328.90-332.00 RBR; 1H demand 331.85-332.91 DBR,1D,324.69,332.91,1D/4H/2H/90m/1H,containing_price,0.0,335.21,338.44,2H/90m/1H,above_price,0.76,inside_demand,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.1,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.87 (Watch only 1:1.5–1:1.99); range 1:1.87–1:2.91,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,UBER,73.87,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/3H/2H/90m/1H,DBD/RBD,supply,75.3,73.5,75.3,75.3,73.5,0.0,fresh,Fresh / untested (0 tests),0,-0.94,Weak,1.23,3.13,Strong,7.6,"4H/3H/2H/90m/1H supply @ 77.64 (RR 2.09, fresh, tests 0, quality 19.0)",2.09,2.09,19.0,77.64,,1:2.09–1:7.81,"T1: 4H/3H/2H/90m/1H supply @ 77.64 (RR 2.09, fresh, tests 0, quality 19.0) | T2: 1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 3.29, fresh, tests 0, quality 19.2) | T3: 4H/3H/2H/90m/1H supply @ 81.98 (RR 4.51, fresh, tests 0, quality 15.2) | T4: 4H/90m/1H supply @ 84.11 (RR 5.69, fresh, tests 0, quality 15.9) | T5: 1H supply @ 87.93 (RR 7.81, fresh, tests 0, quality 7.9)","4H/3H/2H/90m/1H supply @ 77.64 (RR 2.09, fresh, tests 0, quality 19.0)",2.09,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 3.29, fresh, tests 0, quality 19.2)",3.29,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 81.98 (RR 4.51, fresh, tests 0, quality 15.2)",4.51,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,12,"1D,3H,2H,90m,1H",1D supply 73.50-75.05 DBD; 3H supply 74.72-74.81 DBD; 2H supply 75.09-75.30 DBD; 2H supply 74.11-74.47 RBD; 2H supply 74.38-75.05 RBD; 2H supply 74.32-74.81 DBD; 90m supply 75.09-75.30 DBD; 90m supply 74.18-74.37 DBD; 1H supply 75.09-75.30 RBD; 1H supply 74.18-74.34 DBD; 1H supply 74.27-74.58 RBD; 1H supply 74.31-74.68 RBD,1D,72.41,73.1,4H/3H/2H/90m/1H,below_price,1.04,73.5,75.3,1D/3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.154,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.09 (Acceptable 1:2.0–1:2.49); range 1:2.09–1:4.51,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,AAPL,264.59,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/2H/1H,DBD/RBD,supply,267.04,263.6,267.04,267.04,263.6,0.0,one_test,One successful retest (1 tests),1,-0.59,Weak,0.54,2.69,Weak,6.63,"1D/4H/2H/90m/1H supply @ 274.69 (RR 2.94, fresh, tests 0, quality 19.3)",2.94,2.94,19.32,274.69,,1:2.94,"T1: 1D/4H/2H/90m/1H supply @ 274.69 (RR 2.94, fresh, tests 0, quality 19.3)","1D/4H/2H/90m/1H supply @ 274.69 (RR 2.94, fresh, tests 0, quality 19.3)",2.94,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,3,"1D,2H,1H",1D supply 263.60-266.82 RBD; 2H supply 265.40-266.82 RBD; 1H supply 264.59-267.04 DBD,1D,260.05,263.57,1D/2H,below_price,0.39,263.6,267.04,1D/2H/1H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.971,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.94 (Strong 1:2.5–1:3.99); range 1:2.94–1:2.94,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,META,655.82,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,3H,RBR,demand,654.7,654.18,654.18,654.7,654.18,0.17,fresh,Fresh / untested (0 tests),0,0.14,Weak,0.26,3.87,Weak,4.9,"1D/4H/3H/2H/90m/1H supply @ 667.25 (RR 6.97, fresh, tests 0, quality 17.6)",6.0,6.97,17.61,667.25,,1:6.97–1:48.40,"T1: 1D/4H/3H/2H/90m/1H supply @ 667.25 (RR 6.97, fresh, tests 0, quality 17.6) | T2: 4H supply @ 691.75 (RR 21.91, fresh, tests 0, quality 12.6) | T3: 90m/1H supply @ 697.07 (RR 25.15, fresh, tests 0, quality 9.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 706.40 (RR 30.84, fresh, tests 0, quality 17.2) | T5: 4H/3H/2H/90m/1H supply @ 735.19 (RR 48.40, fresh, tests 0, quality 16.6)","1D/4H/3H/2H/90m/1H supply @ 667.25 (RR 6.97, fresh, tests 0, quality 17.6)",6.97,fresh,0.0,hard_target,"4H supply @ 691.75 (RR 21.91, fresh, tests 0, quality 12.6)",21.91,fresh,0.0,hard_target,"90m/1H supply @ 697.07 (RR 25.15, fresh, tests 0, quality 9.8)",25.15,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,3H,3H demand 654.18-654.70 RBR,3H,654.18,654.7,3H,below_price,0.17,655.26,662.32,2H/1H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.958,A,Excellent 1:4.0+,rr-excellent,T1 1:6.97 (Excellent 1:4.0+); range 1:6.97–1:25.15,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,HOOD,76.15,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,3H/1H,DBR/RBR,demand,76.01,75.49,75.49,76.01,75.49,0.18,fresh,Fresh / untested (0 tests),0,0.05,Weak,0.19,2.5,Weak,5.24,"1D supply @ 85.31 (RR 13.88, fresh, tests 0, quality 15.6)",6.0,13.88,15.62,85.31,,1:13.88–1:19.89,"T1: 1D supply @ 85.31 (RR 13.88, fresh, tests 0, quality 15.6) | T2: 4H/3H/2H/90m/1H supply @ 85.46 (RR 14.11, fresh, tests 0, quality 19.2) | T3: 1D supply @ 87.07 (RR 16.55, multiple_tests, tests 2, quality 9.2) | T4: 3H/2H/90m supply @ 87.62 (RR 17.38, one_test, tests 1, quality 8.3) | T5: 4H supply @ 89.28 (RR 19.89, fresh, tests 0, quality 13.3)","1D supply @ 85.31 (RR 13.88, fresh, tests 0, quality 15.6)",13.88,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 85.46 (RR 14.11, fresh, tests 0, quality 19.2)",14.11,fresh,0.0,hard_target,"1D supply @ 87.07 (RR 16.55, multiple_tests, tests 2, quality 9.2)",16.55,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,"3H,1H",3H demand 75.49-76.01 RBR; 1H demand 75.49-75.70 DBR,3H,75.49,76.01,3H/1H,below_price,0.18,85.31,88.22,1D,above_price,12.03,between_nearest_demand_and_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.342,A,Excellent 1:4.0+,rr-excellent,T1 1:13.88 (Excellent 1:4.0+); range 1:13.88–1:16.55,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,AMZN,210.17,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,2H/1H,DBR/RBR,demand,209.79,208.77,208.77,209.79,208.77,0.18,fresh,Fresh / untested (0 tests),0,0.29,Weak,0.4,2.88,Weak,5.19,"2H/90m/1H supply @ 223.15 (RR 9.27, fresh, tests 0, quality 11.0)",6.0,9.27,10.98,223.15,,1:9.27–1:25.89,"T1: 2H/90m/1H supply @ 223.15 (RR 9.27, fresh, tests 0, quality 11.0) | T2: 4H/3H/2H/90m/1H supply @ 232.99 (RR 16.30, fresh, tests 0, quality 19.0) | T3: 4H/1H supply @ 236.91 (RR 19.10, fresh, tests 0, quality 13.7) | T4: 4H/3H/2H/90m/1H supply @ 242.94 (RR 23.41, fresh, tests 0, quality 17.4) | T5: 1D/2H/90m/1H supply @ 246.42 (RR 25.89, fresh, tests 0, quality 15.8)","2H/90m/1H supply @ 223.15 (RR 9.27, fresh, tests 0, quality 11.0)",9.27,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 232.99 (RR 16.30, fresh, tests 0, quality 19.0)",16.3,fresh,0.0,hard_target,"4H/1H supply @ 236.91 (RR 19.10, fresh, tests 0, quality 13.7)",19.1,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,"2H,1H",2H demand 208.77-209.46 RBR; 1H demand 209.23-209.79 DBR,2H,208.77,209.79,2H/1H,below_price,0.18,206.96,212.65,1D,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.329,A,Excellent 1:4.0+,rr-excellent,T1 1:9.27 (Excellent 1:4.0+); range 1:9.27–1:19.10,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,NVDA,189.81,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/3H/2H/90m/1H,DBR/RBR,demand,189.42,185.66,185.66,189.42,185.66,0.21,fresh,Fresh / untested (0 tests),0,0.33,Weak,1.07,3.85,Average,8.9,"1D supply @ 193.80 (RR 0.96, multiple_tests, tests 2, quality 7.6)",0.96,0.96,7.56,193.8,,1:0.96–1:4.11,"T1: 1D supply @ 193.80 (RR 0.96, multiple_tests, tests 2, quality 7.6) | T2: 1D supply @ 195.11 (RR 1.28, multiple_tests, tests 2, quality 7.2) | T3: 1D supply @ 206.88 (RR 4.11, fresh, tests 0, quality 14.5)","1D supply @ 193.80 (RR 0.96, multiple_tests, tests 2, quality 7.6)",0.96,multiple_tests,2.0,hard_target,"1D supply @ 195.11 (RR 1.28, multiple_tests, tests 2, quality 7.2)",1.28,multiple_tests,2.0,hard_target,"1D supply @ 206.88 (RR 4.11, fresh, tests 0, quality 14.5)",4.11,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,6,"1D,3H,2H,90m,1H",1D demand 185.66-187.90 RBR; 3H demand 185.79-186.80 DBR; 2H demand 187.63-188.80 DBR; 90m demand 186.33-186.80 RBR; 1H demand 188.94-189.42 RBR; 1H demand 186.36-186.80 RBR,1D,185.66,189.42,1D/3H/2H/90m/1H,below_price,0.21,185.61,190.37,1D/4H/3H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.792,A,Poor <1:1.5,rr-poor,T1 1:0.96 (Poor <1:1.5); range 1:0.96–1:4.11,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,SPY,689.36,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1H,RBR,demand,688.58,687.81,687.81,687.81,688.58,0.22,fresh,Fresh / untested (0 tests),0,0.33,Weak,1.09,4.55,Average,4.92,"1D/4H/3H/2H/90m/1H demand @ 684.48 (RR 6.34, fresh, tests 0, quality 16.8)",6.0,6.34,16.84,684.48,,1:6.34–1:67.40,"T1: 1D/4H/3H/2H/90m/1H demand @ 684.48 (RR 6.34, fresh, tests 0, quality 16.8) | T2: 1D demand @ 653.62 (RR 46.42, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests) | T3: 1D demand @ 648.83 (RR 52.64, one_test, tests 1, quality 10.1) | T4: 1D demand @ 643.74 (RR 59.25, multiple_tests, tests 2, quality 7.4) | T5: 1D demand @ 637.46 (RR 67.40, multiple_tests, tests 2, quality 9.4)","1D/4H/3H/2H/90m/1H demand @ 684.48 (RR 6.34, fresh, tests 0, quality 16.8)",6.34,fresh,0.0,hard_target,"1D demand @ 653.62 (RR 46.42, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests)",46.42,multiple_tests,5.0,soft_obstacle,"1D demand @ 648.83 (RR 52.64, one_test, tests 1, quality 10.1)",52.64,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H demand 687.81-688.58 RBR,1H,687.81,688.58,1H,below_price,0.11,691.91,697.14,1D/4H/3H/2H/90m/1H,above_price,0.37,between_nearest_demand_and_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.958,A,Excellent 1:4.0+,rr-excellent,T1 1:6.34 (Excellent 1:4.0+); range 1:6.34–1:52.64,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,COST,984.99,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,3H/2H/90m/1H,DBD/RBD,supply,993.76,983.33,993.76,983.33,993.76,0.0,fresh,Fresh / untested (0 tests),0,-0.82,Weak,1.32,11.93,Strong,8.14,"1D/4H/3H/2H/90m/1H demand @ 981.49 (RR 0.34, fresh, tests 0, quality 17.0)",0.34,0.34,17.01,981.49,,1:0.34–1:11.87,"T1: 1D/4H/3H/2H/90m/1H demand @ 981.49 (RR 0.34, fresh, tests 0, quality 17.0) | T2: 1D/4H/3H/2H/90m/1H demand @ 948.83 (RR 3.47, fresh, tests 0, quality 19.0) | T3: 1D/90m/1H demand @ 924.89 (RR 5.76, fresh, tests 0, quality 17.5) | T4: 1H demand @ 884.11 (RR 9.67, fresh, tests 0, quality 13.8) | T5: 1D demand @ 861.14 (RR 11.87, fresh, tests 0, quality 14.5)","1D/4H/3H/2H/90m/1H demand @ 981.49 (RR 0.34, fresh, tests 0, quality 17.0)",0.34,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 948.83 (RR 3.47, fresh, tests 0, quality 19.0)",3.47,fresh,0.0,hard_target,"1D/90m/1H demand @ 924.89 (RR 5.76, fresh, tests 0, quality 17.5)",5.76,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,4,"3H,2H,90m,1H",3H supply 987.25-988.67 RBD; 2H supply 987.25-988.67 RBD; 90m supply 983.33-987.37 DBD; 1H supply 990.00-993.76 DBD,3H,961.69,981.49,1D/4H/3H/2H/90m/1H,below_price,0.36,983.33,993.76,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-20T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.239,B+,Poor <1:1.5,rr-poor,T1 1:0.34 (Poor <1:1.5); range 1:0.34–1:5.76,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
