status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,PANW,148.9,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/2H/90m/1H,DBD,supply,150.03,148.55,150.03,150.03,148.55,0.0,fresh,Fresh / untested (0 tests),0,-0.81,Weak,2.18,13.18,Excellent,7.28,"90m/1H supply @ 156.05 (RR 4.83, fresh, tests 0, quality 12.6)",4.83,4.83,12.64,156.05,,1:4.83–1:22.49,"T1: 90m/1H supply @ 156.05 (RR 4.83, fresh, tests 0, quality 12.6) | T2: 1D/90m/1H supply @ 163.50 (RR 9.86, fresh, tests 0, quality 17.6) | T3: 4H/1H supply @ 166.76 (RR 12.07, fresh, tests 0, quality 13.4) | T4: 1D/4H/2H/90m/1H supply @ 175.00 (RR 17.64, fresh, tests 0, quality 19.4) | T5: 1D/4H/3H/2H/90m/1H supply @ 182.19 (RR 22.49, fresh, tests 0, quality 21.0)","90m/1H supply @ 156.05 (RR 4.83, fresh, tests 0, quality 12.6)",4.83,fresh,0.0,hard_target,"1D/90m/1H supply @ 163.50 (RR 9.86, fresh, tests 0, quality 17.6)",9.86,fresh,0.0,hard_target,"4H/1H supply @ 166.76 (RR 12.07, fresh, tests 0, quality 13.4)",12.07,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,6,"3H,2H,90m,1H",3H supply 148.55-149.81 DBD; 2H supply 149.50-150.03 DBD; 2H supply 148.55-149.81 DBD; 90m supply 149.50-150.03 DBD; 1H supply 149.50-150.03 DBD; 1H supply 148.55-149.81 DBD,3H,147.09,148.16,3H/2H/90m/1H,below_price,0.5,148.55,150.03,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.82,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.83 (Excellent 1:4.0+); range 1:4.83–1:12.07,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,UBER,75.36,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/2H/90m/1H,DBR/RBR,demand,75.22,74.61,74.61,75.22,74.61,0.19,fresh,Fresh / untested (0 tests),0,0.32,Weak,0.76,3.61,Weak,7.14,"4H/3H/2H/90m/1H supply @ 77.64 (RR 3.04, fresh, tests 0, quality 19.0)",3.04,3.04,19.0,77.64,,1:3.04–1:16.76,"T1: 4H/3H/2H/90m/1H supply @ 77.64 (RR 3.04, fresh, tests 0, quality 19.0) | T2: 1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 5.92, fresh, tests 0, quality 19.2) | T3: 4H/3H/2H/90m/1H supply @ 81.98 (RR 8.83, fresh, tests 0, quality 15.2) | T4: 4H/90m/1H supply @ 84.11 (RR 11.67, fresh, tests 0, quality 15.9) | T5: 1H supply @ 87.93 (RR 16.76, fresh, tests 0, quality 7.9)","4H/3H/2H/90m/1H supply @ 77.64 (RR 3.04, fresh, tests 0, quality 19.0)",3.04,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 5.92, fresh, tests 0, quality 19.2)",5.92,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 81.98 (RR 8.83, fresh, tests 0, quality 15.2)",8.83,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,2H,90m,1H",4H demand 74.70-75.21 RBR; 2H demand 74.78-75.22 RBR; 90m demand 74.61-75.08 DBR; 1H demand 74.62-74.83 DBR,4H,74.61,75.22,4H/2H/90m/1H,below_price,0.19,75.33,75.82,2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.09,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.04 (Strong 1:2.5–1:3.99); range 1:3.04–1:8.83,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,UBER,75.36,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/90m/1H,DBD/RBD,supply,75.82,75.33,75.82,75.82,75.33,0.0,fresh,Fresh / untested (0 tests),0,-0.47,Weak,0.77,5.71,Weak,6.41,"4H/3H/2H/90m/1H supply @ 77.64 (RR 4.65, fresh, tests 0, quality 19.0)",4.65,4.65,19.0,77.64,,1:4.65–1:25.65,"T1: 4H/3H/2H/90m/1H supply @ 77.64 (RR 4.65, fresh, tests 0, quality 19.0) | T2: 1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 9.06, fresh, tests 0, quality 19.2) | T3: 4H/3H/2H/90m/1H supply @ 81.98 (RR 13.51, fresh, tests 0, quality 15.2) | T4: 4H/90m/1H supply @ 84.11 (RR 17.86, fresh, tests 0, quality 15.9) | T5: 1H supply @ 87.93 (RR 25.65, fresh, tests 0, quality 7.9)","4H/3H/2H/90m/1H supply @ 77.64 (RR 4.65, fresh, tests 0, quality 19.0)",4.65,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 79.80 (RR 9.06, fresh, tests 0, quality 19.2)",9.06,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 81.98 (RR 13.51, fresh, tests 0, quality 15.2)",13.51,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,5,"2H,90m,1H",2H supply 75.33-75.78 RBD; 90m supply 75.40-75.78 RBD; 90m supply 75.53-75.82 RBD; 1H supply 75.50-75.82 RBD; 1H supply 75.33-75.73 DBD,2H,74.61,75.22,4H/2H/90m/1H,below_price,0.19,75.33,75.82,2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.602,A,Excellent 1:4.0+,rr-excellent,T1 1:4.65 (Excellent 1:4.0+); range 1:4.65–1:13.51,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,SOFI,17.77,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,90m/1H,DBD,supply,17.83,17.58,17.83,17.83,17.58,0.0,one_test,One successful retest (1 tests),1,-0.51,Weak,1.51,2.31,Excellent,4.64,"4H/3H/2H/90m/1H supply @ 18.98 (RR 4.84, fresh, tests 0, quality 18.8)",4.84,4.84,18.81,18.98,,1:4.84–1:11.12,"T1: 4H/3H/2H/90m/1H supply @ 18.98 (RR 4.84, fresh, tests 0, quality 18.8) | T2: 1D/3H/1H supply @ 19.10 (RR 5.32, fresh, tests 0, quality 18.3) | T3: 3H/2H/90m/1H supply @ 19.53 (RR 7.04, fresh, tests 0, quality 13.6) | T4: 4H/90m/1H supply @ 20.39 (RR 10.48, fresh, tests 0, quality 14.6) | T5: 1D supply @ 20.55 (RR 11.12, fresh, tests 0, quality 14.2)","4H/3H/2H/90m/1H supply @ 18.98 (RR 4.84, fresh, tests 0, quality 18.8)",4.84,fresh,0.0,hard_target,"1D/3H/1H supply @ 19.10 (RR 5.32, fresh, tests 0, quality 18.3)",5.32,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 19.53 (RR 7.04, fresh, tests 0, quality 13.6)",7.04,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,3,"90m,1H",90m supply 17.58-17.83 DBD; 1H supply 17.66-17.83 DBD; 1H supply 17.72-17.79 DBD,90m,17.31,17.52,2H/90m/1H,below_price,1.41,17.58,17.83,90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.71,A,Excellent 1:4.0+,rr-excellent,T1 1:4.84 (Excellent 1:4.0+); range 1:4.84–1:7.04,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,PANW,148.9,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,3H/2H/90m/1H,DBR/RBR,demand,148.16,147.09,147.09,148.16,147.09,0.5,fresh,Fresh / untested (0 tests),0,0.33,Weak,0.3,3.42,Weak,6.75,"90m/1H supply @ 156.05 (RR 3.95, fresh, tests 0, quality 12.6)",3.95,3.95,12.64,156.05,,1:3.95–1:18.39,"T1: 90m/1H supply @ 156.05 (RR 3.95, fresh, tests 0, quality 12.6) | T2: 1D/90m/1H supply @ 163.50 (RR 8.07, fresh, tests 0, quality 17.6) | T3: 4H/1H supply @ 166.76 (RR 9.87, fresh, tests 0, quality 13.4) | T4: 1D/4H/2H/90m/1H supply @ 175.00 (RR 14.42, fresh, tests 0, quality 19.4) | T5: 1D/4H/3H/2H/90m/1H supply @ 182.19 (RR 18.39, fresh, tests 0, quality 21.0)","90m/1H supply @ 156.05 (RR 3.95, fresh, tests 0, quality 12.6)",3.95,fresh,0.0,hard_target,"1D/90m/1H supply @ 163.50 (RR 8.07, fresh, tests 0, quality 17.6)",8.07,fresh,0.0,hard_target,"4H/1H supply @ 166.76 (RR 9.87, fresh, tests 0, quality 13.4)",9.87,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"3H,2H,90m,1H",3H demand 147.09-147.84 DBR; 2H demand 147.21-148.16 RBR; 90m demand 147.21-147.93 DBR; 1H demand 147.21-147.84 RBR,3H,147.09,148.16,3H/2H/90m/1H,below_price,0.5,148.55,150.03,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.137,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.95 (Strong 1:2.5–1:3.99); range 1:3.95–1:9.87,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Near-Term,AMZN,210.0,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,2H/90m/1H,RBR,demand,208.2,207.38,207.38,208.2,207.38,0.86,fresh,Fresh / untested (0 tests),0,0.48,Weak,0.75,107.0,Weak,6.73,"2H/90m/1H supply @ 223.15 (RR 5.02, fresh, tests 0, quality 11.0)",5.02,5.02,10.98,223.15,,1:5.02–1:13.90,"T1: 2H/90m/1H supply @ 223.15 (RR 5.02, fresh, tests 0, quality 11.0) | T2: 4H/3H/2H/90m/1H supply @ 232.99 (RR 8.77, fresh, tests 0, quality 19.0) | T3: 4H/1H supply @ 236.91 (RR 10.27, fresh, tests 0, quality 13.7) | T4: 4H/3H/2H/90m/1H supply @ 242.94 (RR 12.57, fresh, tests 0, quality 17.4) | T5: 1D/2H/90m/1H supply @ 246.42 (RR 13.90, fresh, tests 0, quality 15.8)","2H/90m/1H supply @ 223.15 (RR 5.02, fresh, tests 0, quality 11.0)",5.02,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 232.99 (RR 8.77, fresh, tests 0, quality 19.0)",8.77,fresh,0.0,hard_target,"4H/1H supply @ 236.91 (RR 10.27, fresh, tests 0, quality 13.7)",10.27,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"2H,90m,1H",2H demand 207.38-208.20 RBR; 90m demand 207.54-207.91 RBR; 1H demand 207.38-208.20 RBR; 1H demand 207.54-207.91 RBR,2H,207.38,208.2,2H/90m/1H,below_price,0.86,206.96,212.65,1D/4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.097,A+,Excellent 1:4.0+,rr-excellent,T1 1:5.02 (Excellent 1:4.0+); range 1:5.02–1:10.27,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Near-Term,UBER,75.36,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/2H/90m/1H,DBR/RBR,demand,75.22,74.61,74.61,74.61,75.22,1.0,fresh,Fresh / untested (0 tests),0,0.32,Weak,0.76,3.61,Weak,7.14,"1D/4H/3H/2H/90m/1H demand @ 72.89 (RR 4.05, fresh, tests 0, quality 19.2)",4.05,4.05,19.17,72.89,,1:4.05–1:6.44,"T1: 1D/4H/3H/2H/90m/1H demand @ 72.89 (RR 4.05, fresh, tests 0, quality 19.2) | T2: 1D/4H/3H/2H/90m/1H demand @ 71.43 (RR 6.44, fresh, tests 0, quality 16.5)","1D/4H/3H/2H/90m/1H demand @ 72.89 (RR 4.05, fresh, tests 0, quality 19.2)",4.05,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 71.43 (RR 6.44, fresh, tests 0, quality 16.5)",6.44,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,2H,90m,1H",4H demand 74.70-75.21 RBR; 2H demand 74.78-75.22 RBR; 90m demand 74.61-75.08 DBR; 1H demand 74.62-74.83 DBR,4H,74.61,75.22,4H/2H/90m/1H,below_price,0.19,75.33,75.82,2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.185,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.05 (Excellent 1:4.0+); range 1:4.05–1:6.44,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,PANW,148.9,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,3H/2H/90m/1H,DBR/RBR,demand,148.16,147.09,147.09,147.09,148.16,1.22,fresh,Fresh / untested (0 tests),0,0.33,Weak,0.3,3.42,Weak,6.75,"4H/90m/1H demand @ 144.83 (RR 3.80, one_test, tests 1, quality 10.9)",3.8,3.8,10.91,144.83,,1:3.80–1:4.95,"T1: 4H/90m/1H demand @ 144.83 (RR 3.80, one_test, tests 1, quality 10.9) | T2: 3H/2H/90m/1H demand @ 143.60 (RR 4.95, fresh, tests 0, quality 13.5)","4H/90m/1H demand @ 144.83 (RR 3.80, one_test, tests 1, quality 10.9)",3.8,one_test,1.0,hard_target,"3H/2H/90m/1H demand @ 143.60 (RR 4.95, fresh, tests 0, quality 13.5)",4.95,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,4,"3H,2H,90m,1H",3H demand 147.09-147.84 DBR; 2H demand 147.21-148.16 RBR; 90m demand 147.21-147.93 DBR; 1H demand 147.21-147.84 RBR,3H,147.09,148.16,3H/2H/90m/1H,below_price,0.5,148.55,150.03,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.066,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.80 (Strong 1:2.5–1:3.99); range 1:3.80–1:4.95,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,AMZN,210.0,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,RBR,demand,208.2,207.38,207.38,207.38,208.2,1.25,fresh,Fresh / untested (0 tests),0,0.48,Weak,0.75,107.0,Weak,6.73,"1D/4H/2H/1H demand @ 205.26 (RR 5.78, one_test, tests 1, quality 13.1)",5.78,5.78,13.14,205.26,,1:5.78–1:11.10,"T1: 1D/4H/2H/1H demand @ 205.26 (RR 5.78, one_test, tests 1, quality 13.1) | T2: 1D/4H/3H/2H/90m/1H demand @ 200.90 (RR 11.10, fresh, tests 0, quality 17.0)","1D/4H/2H/1H demand @ 205.26 (RR 5.78, one_test, tests 1, quality 13.1)",5.78,one_test,1.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 200.90 (RR 11.10, fresh, tests 0, quality 17.0)",11.1,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,4,"2H,90m,1H",2H demand 207.38-208.20 RBR; 90m demand 207.54-207.91 RBR; 1H demand 207.38-208.20 RBR; 1H demand 207.54-207.91 RBR,2H,207.38,208.2,2H/90m/1H,below_price,0.86,206.96,212.65,1D/4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.058,A+,Excellent 1:4.0+,rr-excellent,T1 1:5.78 (Excellent 1:4.0+); range 1:5.78–1:11.10,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,QQQ,607.45,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBD/RBD,supply,617.52,613.11,617.52,617.52,613.11,1.66,fresh,Fresh / untested (0 tests),0,-1.31,Moderate,1.3,4.3,Strong,12.0,"4H/3H/2H/90m/1H supply @ 626.24 (RR 4.26, fresh, tests 0, quality 18.2)",4.26,4.26,18.21,626.24,,1:4.26–1:5.59,"T1: 4H/3H/2H/90m/1H supply @ 626.24 (RR 4.26, fresh, tests 0, quality 18.2) | T2: 1D/4H/3H/2H/90m/1H supply @ 632.08 (RR 5.59, fresh, tests 0, quality 20.5)","4H/3H/2H/90m/1H supply @ 626.24 (RR 4.26, fresh, tests 0, quality 18.2)",4.26,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 632.08 (RR 5.59, fresh, tests 0, quality 20.5)",5.59,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,9,"1D,4H,3H,2H,90m,1H",1D supply 613.11-617.52 RBD; 4H supply 613.67-616.77 DBD; 3H supply 616.11-616.83 RBD; 3H supply 615.09-617.02 RBD; 2H supply 616.11-616.83 RBD; 2H supply 614.69-617.02 RBD; 90m supply 616.11-616.83 RBD; 90m supply 615.27-617.02 RBD; 1H supply 616.11-616.83 RBD,1D,594.76,607.87,1D/4H/3H/2H/90m/1H,containing_price,0.0,606.32,608.32,1H,containing_price,0.0,inside_demand,2026-02-27T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.834,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.26 (Excellent 1:4.0+); range 1:4.26–1:5.59,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
