status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed
Immediate,RKLB,87.83,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,2H/90m/1H,DBD,supply,89.65,87.07,89.65,87.07,89.65,0.0,fresh,Fresh / untested (0 tests),0,-0.65,Weak,1.45,16.1,Strong,7.6,"1D/90m/1H demand @ 84.85 (RR 1.16, fresh, tests 0, quality 14.8)",1.16,1.16,14.77,84.85,,1:1.16–1:15.03,"T1: 1D/90m/1H demand @ 84.85 (RR 1.16, fresh, tests 0, quality 14.8) | T2: 1D demand @ 71.50 (RR 6.33, one_test, tests 1, quality 11.1) | T3: 1D demand @ 56.10 (RR 12.30, fresh, tests 0, quality 14.9) | T4: 1D demand @ 53.43 (RR 13.33, multiple_tests, tests 2, quality 8.6) | T5: 1D demand @ 49.05 (RR 15.03, fresh, tests 0, quality 13.9)","1D/90m/1H demand @ 84.85 (RR 1.16, fresh, tests 0, quality 14.8)",1.16,fresh,0.0,hard_target,"1D demand @ 71.50 (RR 6.33, one_test, tests 1, quality 11.1)",6.33,one_test,1.0,hard_target,"1D demand @ 56.10 (RR 12.30, fresh, tests 0, quality 14.9)",12.3,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,4,"2H,90m,1H",2H supply 89.08-89.45 DBD; 90m supply 89.08-89.45 DBD; 1H supply 89.08-89.45 DBD; 1H supply 87.07-89.65 DBD,2H,85.65,89.14,1D,containing_price,0.0,87.07,89.65,2H/90m/1H,containing_price,0.0,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.596,A,Poor <1:1.5,rr-poor,T1 1:1.16 (Poor <1:1.5); range 1:1.16–1:12.30,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,AAPL,247.63,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/90m/1H,DBR,demand,248.25,245.13,245.13,245.13,248.25,0.0,fresh,Fresh / untested (0 tests),0,1.05,Moderate,0.93,5.34,Average,7.52,"1D demand @ 239.97 (RR 2.46, fresh, tests 0, quality 17.9)",2.46,2.46,17.92,239.97,,1:2.46–1:14.18,"T1: 1D demand @ 239.97 (RR 2.46, fresh, tests 0, quality 17.9) | T2: 1D demand @ 227.92 (RR 6.32, multiple_tests, tests 3, quality 6.9) | T3: 1D demand @ 220.03 (RR 8.85, fresh, tests 0, quality 16.4) | T4: 1D demand @ 203.40 (RR 14.18, fresh, tests 0, quality 17.0)","1D demand @ 239.97 (RR 2.46, fresh, tests 0, quality 17.9)",2.46,fresh,0.0,hard_target,"1D demand @ 227.92 (RR 6.32, multiple_tests, tests 3, quality 6.9)",6.32,multiple_tests,3.0,hard_target,"1D demand @ 220.03 (RR 8.85, fresh, tests 0, quality 16.4)",8.85,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,3,"1D,90m,1H",1D demand 245.13-248.25 DBR; 90m demand 245.50-246.12 DBR; 1H demand 245.58-245.88 DBR,1D,245.13,248.25,1D/90m/1H,containing_price,0.0,247.31,248.72,1H,containing_price,0.0,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.206,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.46 (Acceptable 1:2.0–1:2.49); range 1:2.46–1:8.85,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,AMZN,231.35,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/1H,DBD/RBD,supply,232.09,231.11,232.09,231.11,232.09,0.0,one_test,One successful retest (1 tests),1,-0.97,Weak,1.33,5.41,Strong,6.3,"90m/1H demand @ 228.44 (RR 2.97, fresh, tests 0, quality 10.9)",2.97,2.97,10.93,228.44,,1:2.97–1:17.96,"T1: 90m/1H demand @ 228.44 (RR 2.97, fresh, tests 0, quality 10.9) | T2: 1D demand @ 220.69 (RR 10.88, fresh, tests 0, quality 13.8) | T3: 1D demand @ 213.75 (RR 17.96, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests)","90m/1H demand @ 228.44 (RR 2.97, fresh, tests 0, quality 10.9)",2.97,fresh,0.0,hard_target,"1D demand @ 220.69 (RR 10.88, fresh, tests 0, quality 13.8)",10.88,fresh,0.0,hard_target,"1D demand @ 213.75 (RR 17.96, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests)",17.96,multiple_tests,5.0,soft_obstacle,2,,t1_nearest_unbroken_opposing_zone,A,2,"4H,1H",4H supply 231.11-231.91 DBD; 1H supply 231.27-232.09 RBD,4H,226.88,228.44,90m/1H,below_price,1.26,231.11,232.09,4H/1H,containing_price,0.0,inside_supply,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.607,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.97 (Strong 1:2.5–1:3.99); range 1:2.97–1:17.96,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,SNOW,206.44,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,DBR/RBR,demand,206.63,204.18,204.18,204.18,206.63,0.0,multiple_tests,Multiple retests (2 tests),2,0.88,Weak,0.66,3.96,Weak,4.88,"1D demand @ 195.20 (RR 4.59, fresh, tests 0, quality 15.9)",4.59,4.59,15.89,195.2,,1:4.59–1:5.46,"T1: 1D demand @ 195.20 (RR 4.59, fresh, tests 0, quality 15.9) | T2: 1D demand @ 193.06 (RR 5.46, multiple_tests, tests 3, quality 7.2)","1D demand @ 195.20 (RR 4.59, fresh, tests 0, quality 15.9)",4.59,fresh,0.0,hard_target,"1D demand @ 193.06 (RR 5.46, multiple_tests, tests 3, quality 7.2)",5.46,multiple_tests,3.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,8,"2H,90m,1H",2H demand 205.64-206.26 DBR; 2H demand 205.47-206.50 RBR; 90m demand 205.64-206.26 RBR; 90m demand 204.18-205.07 DBR; 1H demand 205.64-206.26 RBR; 1H demand 204.18-204.97 DBR; 1H demand 205.75-206.63 DBR; 1H demand 204.96-206.11 DBR,2H,204.18,206.63,2H/90m/1H,containing_price,0.0,211.53,212.79,90m/1H,above_price,2.47,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.62,A,Excellent 1:4.0+,rr-excellent,T1 1:4.59 (Excellent 1:4.0+); range 1:4.59–1:5.46,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,NOW,125.3,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m/1H,DBD/RBD,supply,128.78,125.4,128.78,125.4,128.78,0.08,fresh,Fresh / untested (0 tests),0,-0.02,Weak,1.46,2.31,Strong,8.98,"3H/2H/1H demand @ 124.70 (RR 0.17, fresh, tests 0, quality 11.7)",0.17,0.17,11.69,124.7,,1:0.17,"T1: 3H/2H/1H demand @ 124.70 (RR 0.17, fresh, tests 0, quality 11.7)","3H/2H/1H demand @ 124.70 (RR 0.17, fresh, tests 0, quality 11.7)",0.17,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,9,"1D,4H,3H,2H,90m,1H",1D supply 125.40-128.78 DBD; 4H supply 126.57-128.78 DBD; 3H supply 125.40-125.58 DBD; 2H supply 127.05-128.26 DBD; 2H supply 125.40-125.58 DBD; 90m supply 125.40-125.58 DBD; 1H supply 127.05-127.46 DBD; 1H supply 125.40-125.58 DBD; 1H supply 127.24-128.26 RBD,1D,123.92,124.7,3H/2H/1H,below_price,0.48,125.4,128.78,1D/4H/3H/2H/90m/1H,above_price,0.08,between_nearest_demand_and_supply,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.839,A,Poor <1:1.5,rr-poor,T1 1:0.17 (Poor <1:1.5); range 1:0.17–1:0.17,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,RBLX,75.6,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,3H/2H/1H,DBD/RBD,supply,77.05,75.71,77.05,75.71,77.05,0.15,fresh,Fresh / untested (0 tests),0,-0.05,Weak,0.37,8.33,Weak,5.92,"1D/90m/1H demand @ 73.75 (RR 1.28, fresh, tests 0, quality 18.1)",1.28,1.28,18.12,73.75,,1:1.28,"T1: 1D/90m/1H demand @ 73.75 (RR 1.28, fresh, tests 0, quality 18.1)","1D/90m/1H demand @ 73.75 (RR 1.28, fresh, tests 0, quality 18.1)",1.28,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,3,"3H,2H,1H",3H supply 75.71-77.05 DBD; 2H supply 76.16-76.40 DBD; 1H supply 76.19-76.39 RBD,3H,74.78,75.71,2H/90m/1H,containing_price,0.0,75.71,77.05,3H/2H/1H,above_price,0.15,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.583,A,Poor <1:1.5,rr-poor,T1 1:1.28 (Poor <1:1.5); range 1:1.28–1:1.28,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,CRWD,446.02,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/4H/2H/90m/1H,DBR/RBR,demand,444.98,434.8,434.8,444.98,434.8,0.23,fresh,Fresh / untested (0 tests),0,0.24,Weak,1.07,2.97,Average,8.81,"1D/2H/90m/1H supply @ 450.92 (RR 0.44, fresh, tests 0, quality 16.2)",0.44,0.44,16.18,450.92,,1:0.44–1:6.00,"T1: 1D/2H/90m/1H supply @ 450.92 (RR 0.44, fresh, tests 0, quality 16.2) | T2: 1D/2H/90m/1H supply @ 465.73 (RR 1.76, fresh, tests 0, quality 17.4) | T3: 1D supply @ 486.48 (RR 3.61, multiple_tests, tests 2, quality 7.2) | T4: 1D supply @ 504.78 (RR 5.24, fresh, tests 0, quality 13.8) | T5: 1D supply @ 513.37 (RR 6.00, fresh, tests 0, quality 14.7)","1D/2H/90m/1H supply @ 450.92 (RR 0.44, fresh, tests 0, quality 16.2)",0.44,fresh,0.0,hard_target,"1D/2H/90m/1H supply @ 465.73 (RR 1.76, fresh, tests 0, quality 17.4)",1.76,fresh,0.0,hard_target,"1D supply @ 486.48 (RR 3.61, multiple_tests, tests 2, quality 7.2)",3.61,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,9,"1D,4H,2H,90m,1H",1D demand 440.23-443.03 DBR; 1D demand 435.00-436.10 RBR; 1D demand 434.80-444.98 RBR; 4H demand 441.21-442.19 DBR; 2H demand 441.58-442.72 RBR; 2H demand 440.23-441.84 DBR; 90m demand 440.10-443.26 DBR; 90m demand 441.58-442.72 RBR; 1H demand 441.58-442.72 RBR,1D,434.8,444.98,1D/4H/2H/90m/1H,below_price,0.23,450.92,459.7,1D/2H/90m/1H,above_price,1.1,between_nearest_demand_and_supply,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.944,A,Poor <1:1.5,rr-poor,T1 1:0.44 (Poor <1:1.5); range 1:0.44–1:3.61,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,RKLB,87.83,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/90m/1H,DBD,supply,89.65,87.07,89.65,89.65,87.07,0.0,fresh,Fresh / untested (0 tests),0,-0.65,Weak,1.45,16.1,Strong,7.6,"4H supply @ 89.08 (RR 0.48, fresh, tests 0, quality 12.4)",0.48,0.48,12.37,89.08,,1:0.48–1:3.65,"T1: 4H supply @ 89.08 (RR 0.48, fresh, tests 0, quality 12.4) | T2: 1H supply @ 92.16 (RR 1.68, fresh, tests 0, quality 8.0) | T3: 1D supply @ 92.53 (RR 1.82, fresh, tests 0, quality 14.1) | T4: 2H supply @ 97.24 (RR 3.65, one_test, tests 1, quality 5.5, soft obstacle: low_quality)","4H supply @ 89.08 (RR 0.48, fresh, tests 0, quality 12.4)",0.48,fresh,0.0,hard_target,"1H supply @ 92.16 (RR 1.68, fresh, tests 0, quality 8.0)",1.68,fresh,0.0,hard_target,"1D supply @ 92.53 (RR 1.82, fresh, tests 0, quality 14.1)",1.82,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,4,"2H,90m,1H",2H supply 89.08-89.45 DBD; 90m supply 89.08-89.45 DBD; 1H supply 89.08-89.45 DBD; 1H supply 87.07-89.65 DBD,2H,85.65,89.14,1D,containing_price,0.0,87.07,89.65,2H/90m/1H,containing_price,0.0,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.188,B+,Poor <1:1.5,rr-poor,T1 1:0.48 (Poor <1:1.5); range 1:0.48–1:1.82,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,AAPL,247.63,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/90m/1H,DBR,demand,248.25,245.13,245.13,248.25,245.13,0.0,fresh,Fresh / untested (0 tests),0,1.05,Moderate,0.93,5.34,Average,7.52,"90m/1H supply @ 250.56 (RR 0.94, one_test, tests 1, quality 8.2)",0.94,0.94,8.18,250.56,,1:0.94–1:9.70,"T1: 90m/1H supply @ 250.56 (RR 0.94, one_test, tests 1, quality 8.2) | T2: 1D/3H/2H/90m/1H supply @ 255.48 (RR 2.52, fresh, tests 0, quality 19.5) | T3: 1D supply @ 272.81 (RR 8.07, one_test, tests 1, quality 9.7) | T4: 1D supply @ 277.89 (RR 9.70, fresh, tests 0, quality 14.9)","90m/1H supply @ 250.56 (RR 0.94, one_test, tests 1, quality 8.2)",0.94,one_test,1.0,hard_target,"1D/3H/2H/90m/1H supply @ 255.48 (RR 2.52, fresh, tests 0, quality 19.5)",2.52,fresh,0.0,hard_target,"1D supply @ 272.81 (RR 8.07, one_test, tests 1, quality 9.7)",8.07,one_test,1.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,3,"1D,90m,1H",1D demand 245.13-248.25 DBR; 90m demand 245.50-246.12 DBR; 1H demand 245.58-245.88 DBR,1D,245.13,248.25,1D/90m/1H,containing_price,0.0,247.31,248.72,1H,containing_price,0.0,inside_demand,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,6.93,B+,Poor <1:1.5,rr-poor,T1 1:0.94 (Poor <1:1.5); range 1:0.94–1:8.07,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,AMZN,231.35,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,4H/1H,DBD/RBD,supply,232.09,231.11,232.09,232.09,231.11,0.0,one_test,One successful retest (1 tests),1,-0.97,Weak,1.33,5.41,Strong,6.3,"90m/1H supply @ 233.46 (RR 2.15, fresh, tests 0, quality 10.5)",2.15,2.15,10.49,233.46,,1:2.15–1:15.38,"T1: 90m/1H supply @ 233.46 (RR 2.15, fresh, tests 0, quality 10.5) | T2: 1D/3H/2H/90m/1H supply @ 238.22 (RR 7.01, fresh, tests 0, quality 18.5) | T3: 2H/90m/1H supply @ 242.11 (RR 10.98, fresh, tests 0, quality 14.4) | T4: 90m/1H supply @ 244.15 (RR 13.06, fresh, tests 0, quality 10.9) | T5: 1D/2H/90m/1H supply @ 246.42 (RR 15.38, fresh, tests 0, quality 17.4)","90m/1H supply @ 233.46 (RR 2.15, fresh, tests 0, quality 10.5)",2.15,fresh,0.0,hard_target,"1D/3H/2H/90m/1H supply @ 238.22 (RR 7.01, fresh, tests 0, quality 18.5)",7.01,fresh,0.0,hard_target,"2H/90m/1H supply @ 242.11 (RR 10.98, fresh, tests 0, quality 14.4)",10.98,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,2,"4H,1H",4H supply 231.11-231.91 DBD; 1H supply 231.27-232.09 RBD,4H,226.88,228.44,90m/1H,below_price,1.26,231.11,232.09,4H/1H,containing_price,0.0,inside_supply,2026-01-21T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.115,B+,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.15 (Acceptable 1:2.0–1:2.49); range 1:2.15–1:10.98,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
