symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of
NVDA,90m,supply,RBD,2026-01-15T12:30:00-05:00,189.7,188.62,188.62,189.7,188.15,189.51,1.55,0.92,1.01,-1.16,2.34,1.12,one_test,1,False,4.53,2026-01-15T14:00:00-05:00,2026-01-15 14:00:00-05:00,,2026-01-16T09:30:00-05:00,2026-01-20T16:00:00-05:00
NVDA,90m,supply,RBD,2026-01-16T12:30:00-05:00,188.27,188.02,188.02,188.27,187.43,188.07,0.84,0.71,0.01,-0.19,6.29,0.71,fresh,0,False,4.65,2026-01-16T14:00:00-05:00,2026-01-16 14:00:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,90m,supply,DBD,2026-01-16T14:00:00-05:00,188.41,187.74,188.07,188.41,187.62,187.74,0.8,0.7,-0.16,-0.86,4.54,0.62,fresh,0,False,5.23,2026-01-16T15:30:00-05:00,2026-01-16 15:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,90m,supply,DBD,2026-01-20T12:30:00-05:00,180.09,179.75,180.01,180.09,178.9,179.75,1.19,0.85,-0.5,-0.75,4.83,0.79,fresh,0,False,5.29,2026-01-20T14:00:00-05:00,2026-01-20 14:00:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,1H,supply,RBD,2026-01-07T15:30:00-05:00,189.26,188.99,188.99,189.26,188.78,189.24,0.48,0.5,-0.02,-1.78,12.12,2.18,multiple_tests,6,False,4.96,2026-01-08T09:30:00-05:00,2026-01-08 09:30:00-05:00,,2026-01-16T09:30:00-05:00,2026-01-20T16:00:00-05:00
NVDA,1H,supply,DBD,2026-01-16T12:30:00-05:00,188.25,187.94,188.02,188.25,187.43,187.94,0.82,0.63,-0.03,-0.16,2.94,0.71,one_test,1,False,2.87,2026-01-16T13:30:00-05:00,2026-01-16 13:30:00-05:00,,2026-01-16T14:30:00-05:00,2026-01-20T16:00:00-05:00
NVDA,1H,supply,RBD,2026-01-16T14:30:00-05:00,188.03,187.68,187.68,188.03,187.62,187.74,0.41,0.56,-0.13,-1.03,25.38,0.83,fresh,0,False,5.36,2026-01-16T15:30:00-05:00,2026-01-16 15:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,1H,supply,DBD,2026-01-20T13:30:00-05:00,179.98,179.44,179.51,179.98,178.9,179.44,1.08,0.72,-0.39,-0.63,12.47,0.76,fresh,0,False,4.89,2026-01-20T14:30:00-05:00,2026-01-20 14:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,2H,supply,RBD,2026-01-16T11:30:00-05:00,188.38,187.94,187.99,188.38,187.43,187.94,0.94,0.86,0.41,-0.1,4.0,0.8,fresh,0,False,4.9,2026-01-16T13:30:00-05:00,2026-01-16 13:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,2H,supply,DBD,2026-01-16T13:30:00-05:00,188.41,187.74,187.94,188.41,187.62,187.74,0.8,0.8,-0.13,-0.79,7.6,0.52,fresh,0,False,5.31,2026-01-16T15:30:00-05:00,2026-01-16 15:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,3H,supply,DBD,2026-01-16T12:30:00-05:00,188.41,187.74,188.02,188.41,187.43,187.74,0.98,0.88,0.26,-0.67,5.43,0.39,fresh,0,False,5.56,2026-01-16T15:30:00-05:00,2026-01-16 15:30:00-05:00,,,2026-01-20T16:00:00-05:00
NVDA,1D,demand,DBR,2025-09-08T00:00:00-04:00,168.31,167.35,167.55,170.96,167.35,168.31,3.61,0.91,-0.72,0.53,2.2,0.87,fresh,0,False,7.4,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,,2026-01-20T16:00:00-05:00
NVDA,1D,demand,RBR,2025-09-09T00:00:00-04:00,170.76,166.74,169.09,170.98,166.74,170.76,4.24,0.87,0.8,1.41,3.93,1.25,multiple_tests,3,False,6.16,2025-09-10T00:00:00-04:00,2025-09-10 00:00:00-04:00,,2025-12-17T00:00:00-05:00,2026-01-20T16:00:00-05:00
NVDA,1D,demand,DBR,2025-09-17T00:00:00-04:00,172.64,168.41,172.64,173.2,168.41,170.29,4.79,1.14,-1.68,1.34,2.53,1.03,multiple_tests,3,False,5.87,2025-09-18T00:00:00-04:00,2025-09-18 00:00:00-04:00,,2025-12-18T00:00:00-05:00,2026-01-20T16:00:00-05:00
NVDA,1D,supply,RBD,2025-11-03T00:00:00-05:00,211.34,206.88,208.08,211.34,205.56,206.88,5.78,1.0,0.73,-1.49,3.59,1.05,fresh,0,False,8.54,2025-11-04T00:00:00-05:00,2025-11-04 00:00:00-05:00,,,2026-01-20T16:00:00-05:00
