status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed
Immediate,AAPL,261.05,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/1H,DBD/RBD,supply,261.44,259.9,261.44,261.44,259.9,0.0,one_test,One successful retest (1 tests),1,-0.5,Weak,0.9,10.67,Average,7.5,"1D supply @ 272.81 (RR 7.64, one_test, tests 1, quality 9.7)",6.0,7.64,9.69,272.81,,1:7.64–1:10.94,"T1: 1D supply @ 272.81 (RR 7.64, one_test, tests 1, quality 9.7) | T2: 1D supply @ 277.89 (RR 10.94, fresh, tests 0, quality 14.9)","1D supply @ 272.81 (RR 7.64, one_test, tests 1, quality 9.7)",7.64,one_test,1.0,hard_target,"1D supply @ 277.89 (RR 10.94, fresh, tests 0, quality 14.9)",10.94,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,4,"2H,1H",2H supply 259.90-261.44 RBD; 2H supply 260.90-261.19 RBD; 1H supply 260.36-261.33 DBD; 1H supply 260.65-261.19 RBD,2H,256.22,260.25,1D/2H/1H,below_price,0.31,259.9,261.44,2H/1H,containing_price,0.0,inside_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.513,A,Excellent 1:4.0+,rr-excellent,T1 1:7.64 (Excellent 1:4.0+); range 1:7.64–1:10.94,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,SHOP,167.45,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/2H/90m/1H,RBD,supply,168.51,166.17,168.51,168.51,166.17,0.0,multiple_tests,Multiple retests (2 tests),2,-0.64,Weak,0.89,7.35,Weak,6.53,"1D supply @ 179.01 (RR 4.94, one_test, tests 1, quality 10.7)",4.94,4.94,10.72,179.01,,1:4.94,"T1: 1D supply @ 179.01 (RR 4.94, one_test, tests 1, quality 10.7)","1D supply @ 179.01 (RR 4.94, one_test, tests 1, quality 10.7)",4.94,one_test,1.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,5,"1D,2H,90m,1H",1D supply 167.80-168.41 RBD; 2H supply 167.32-168.51 RBD; 90m supply 167.32-168.51 RBD; 90m supply 166.17-168.27 RBD; 1H supply 167.32-168.51 RBD,1D,164.46,166.05,2H/90m/1H,below_price,0.84,166.17,168.51,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.032,A,Excellent 1:4.0+,rr-excellent,T1 1:4.94 (Excellent 1:4.0+); range 1:4.94–1:4.94,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,MU,338.18,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/90m/1H,DBD/RBD,supply,346.9,338.63,346.9,338.63,346.9,0.13,fresh,Fresh / untested (0 tests),0,-0.92,Weak,1.1,13.69,Average,8.86,"1H demand @ 326.95 (RR 1.29, fresh, tests 0, quality 13.3)",1.29,1.29,13.29,326.95,,1:1.29–1:17.57,"T1: 1H demand @ 326.95 (RR 1.29, fresh, tests 0, quality 13.3) | T2: 1D demand @ 276.27 (RR 7.10, fresh, tests 0, quality 13.6) | T3: 1D demand @ 230.28 (RR 12.38, one_test, tests 1, quality 10.3) | T4: 1D demand @ 192.47 (RR 16.71, one_test, tests 1, quality 11.6) | T5: 1D demand @ 184.96 (RR 17.57, multiple_tests, tests 2, quality 7.0)","1H demand @ 326.95 (RR 1.29, fresh, tests 0, quality 13.3)",1.29,fresh,0.0,hard_target,"1D demand @ 276.27 (RR 7.10, fresh, tests 0, quality 13.6)",7.1,fresh,0.0,hard_target,"1D demand @ 230.28 (RR 12.38, one_test, tests 1, quality 10.3)",12.38,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,5,"1D,90m,1H",1D supply 339.55-346.30 RBD; 90m supply 345.82-346.90 DBD; 90m supply 338.63-340.64 DBD; 1H supply 345.82-346.90 RBD; 1H supply 338.80-340.64 RBD,1D,322.4,326.95,1H,below_price,3.32,338.63,346.9,1D/90m/1H,above_price,0.13,between_nearest_demand_and_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.476,A,Poor <1:1.5,rr-poor,T1 1:1.29 (Poor <1:1.5); range 1:1.29–1:12.38,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,UBER,85.39,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/2H/90m/1H,DBR/RBR,demand,85.27,83.77,83.77,85.27,83.77,0.14,fresh,Fresh / untested (0 tests),0,0.39,Weak,0.82,40.0,Weak,8.71,"1H supply @ 85.63 (RR 0.15, fresh, tests 0, quality 8.8)",0.15,0.15,8.79,85.63,,1:0.15–1:8.40,"T1: 1H supply @ 85.63 (RR 0.15, fresh, tests 0, quality 8.8) | T2: 1H supply @ 87.93 (RR 1.57, fresh, tests 0, quality 7.9) | T3: 1D supply @ 93.57 (RR 5.05, fresh, tests 0, quality 14.6) | T4: 1D supply @ 99.00 (RR 8.40, multiple_tests, tests 5, quality -999.0, soft obstacle: 4plus_tests)","1H supply @ 85.63 (RR 0.15, fresh, tests 0, quality 8.8)",0.15,fresh,0.0,hard_target,"1H supply @ 87.93 (RR 1.57, fresh, tests 0, quality 7.9)",1.57,fresh,0.0,hard_target,"1D supply @ 93.57 (RR 5.05, fresh, tests 0, quality 14.6)",5.05,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,5,"1D,2H,90m,1H",1D demand 83.77-84.67 DBR; 2H demand 84.23-84.66 DBR; 90m demand 84.23-84.66 DBR; 90m demand 84.75-85.27 RBR; 1H demand 85.11-85.27 RBR,1D,83.77,85.27,1D/2H/90m/1H,below_price,0.14,85.63,85.94,1H,above_price,0.28,between_nearest_demand_and_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.511,A,Poor <1:1.5,rr-poor,T1 1:0.15 (Poor <1:1.5); range 1:0.15–1:5.05,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,QQQ,626.13,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/90m/1H,DBR/RBR,demand,625.21,616.72,616.72,625.21,616.72,0.15,fresh,Fresh / untested (0 tests),0,0.96,Weak,1.01,2.05,Average,9.39,"1D supply @ 632.08 (RR 0.63, fresh, tests 0, quality 15.6)",0.63,0.63,15.62,632.08,,1:0.63,"T1: 1D supply @ 632.08 (RR 0.63, fresh, tests 0, quality 15.6)","1D supply @ 632.08 (RR 0.63, fresh, tests 0, quality 15.6)",0.63,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,5,"1D,90m,1H",1D demand 617.80-623.03 DBR; 1D demand 616.72-619.32 RBR; 90m demand 624.14-624.61 DBR; 1H demand 620.06-620.43 RBR; 1H demand 624.23-625.21 DBR,1D,616.72,625.21,1D/90m/1H,below_price,0.15,623.04,628.92,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.21,A,Poor <1:1.5,rr-poor,T1 1:0.63 (Poor <1:1.5); range 1:0.63–1:0.63,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,APP,669.2,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,2H/90m,DBR/RBR,demand,667.66,655.87,655.87,667.66,655.87,0.23,fresh,Fresh / untested (0 tests),0,0.54,Weak,1.71,4.4,Excellent,7.25,"1D supply @ 693.71 (RR 1.84, fresh, tests 0, quality 13.3)",1.84,1.84,13.26,693.71,,1:1.84,"T1: 1D supply @ 693.71 (RR 1.84, fresh, tests 0, quality 13.3)","1D supply @ 693.71 (RR 1.84, fresh, tests 0, quality 13.3)",1.84,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,3,"2H,90m",2H demand 655.87-661.10 DBR; 2H demand 661.58-667.66 RBR; 90m demand 655.87-661.10 DBR,2H,655.87,667.66,2H/90m,below_price,0.23,693.71,699.73,1D,above_price,3.66,between_nearest_demand_and_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,8.243,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.84 (Watch only 1:1.5–1:1.99); range 1:1.84–1:1.84,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,AAPL,261.05,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,2H/1H,DBD/RBD,supply,261.44,259.9,261.44,259.9,261.44,0.0,one_test,One successful retest (1 tests),1,-0.5,Weak,0.9,10.67,Average,7.5,"1D/2H/1H demand @ 260.25 (RR 0.52, fresh, tests 0, quality 16.5)",0.52,0.52,16.54,260.25,,1:0.52–1:26.64,"T1: 1D/2H/1H demand @ 260.25 (RR 0.52, fresh, tests 0, quality 16.5) | T2: 1D demand @ 248.25 (RR 8.31, fresh, tests 0, quality 14.0) | T3: 1D demand @ 239.97 (RR 13.69, fresh, tests 0, quality 17.9) | T4: 1D demand @ 227.92 (RR 21.51, multiple_tests, tests 3, quality 6.9) | T5: 1D demand @ 220.03 (RR 26.64, fresh, tests 0, quality 16.4)","1D/2H/1H demand @ 260.25 (RR 0.52, fresh, tests 0, quality 16.5)",0.52,fresh,0.0,hard_target,"1D demand @ 248.25 (RR 8.31, fresh, tests 0, quality 14.0)",8.31,fresh,0.0,hard_target,"1D demand @ 239.97 (RR 13.69, fresh, tests 0, quality 17.9)",13.69,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,4,"2H,1H",2H supply 259.90-261.44 RBD; 2H supply 260.90-261.19 RBD; 1H supply 260.36-261.33 DBD; 1H supply 260.65-261.19 RBD,2H,256.22,260.25,1D/2H/1H,below_price,0.31,259.9,261.44,2H/1H,containing_price,0.0,inside_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,6.887,B+,Poor <1:1.5,rr-poor,T1 1:0.52 (Poor <1:1.5); range 1:0.52–1:13.69,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,SPY,693.75,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,2H/90m/1H,DBD/RBD,supply,695.74,693.48,695.74,693.48,695.74,0.0,one_test,One successful retest (1 tests),1,-0.86,Weak,1.63,12.75,Excellent,7.21,"2H/90m demand @ 692.91 (RR 0.37, fresh, tests 0, quality 10.7)",0.37,0.37,10.67,692.91,,1:0.37–1:19.88,"T1: 2H/90m demand @ 692.91 (RR 0.37, fresh, tests 0, quality 10.7) | T2: 1D/1H demand @ 689.57 (RR 1.85, fresh, tests 0, quality 16.8) | T3: 1D demand @ 677.60 (RR 7.15, fresh, tests 0, quality 13.8) | T4: 1D demand @ 653.62 (RR 17.76, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T5: 1D demand @ 648.83 (RR 19.88, fresh, tests 0, quality 13.3)","2H/90m demand @ 692.91 (RR 0.37, fresh, tests 0, quality 10.7)",0.37,fresh,0.0,hard_target,"1D/1H demand @ 689.57 (RR 1.85, fresh, tests 0, quality 16.8)",1.85,fresh,0.0,hard_target,"1D demand @ 677.60 (RR 7.15, fresh, tests 0, quality 13.8)",7.15,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B+,4,"2H,90m,1H",2H supply 695.16-695.74 DBD; 90m supply 695.16-695.74 DBD; 1H supply 695.16-695.74 DBD; 1H supply 693.48-695.20 RBD,2H,691.94,692.91,2H/90m,below_price,0.12,693.48,695.74,2H/90m/1H,containing_price,0.0,inside_supply,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,6.724,B+,Poor <1:1.5,rr-poor,T1 1:0.37 (Poor <1:1.5); range 1:0.37–1:7.15,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,CRWD,467.9,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/2H/90m/1H,DBR/RBR,demand,472.19,460.93,460.93,460.93,472.19,0.0,fresh,Fresh / untested (0 tests),0,-0.28,Weak,0.86,4.27,Weak,7.14,"1D demand @ 458.32 (RR 0.85, fresh, tests 0, quality 15.5)",0.85,0.85,15.5,458.32,,1:0.85–1:4.86,"T1: 1D demand @ 458.32 (RR 0.85, fresh, tests 0, quality 15.5) | T2: 1D demand @ 444.98 (RR 2.04, fresh, tests 0, quality 14.1) | T3: 1D demand @ 417.58 (RR 4.47, fresh, tests 0, quality 13.6) | T4: 1D demand @ 413.20 (RR 4.86, fresh, tests 0, quality 12.9)","1D demand @ 458.32 (RR 0.85, fresh, tests 0, quality 15.5)",0.85,fresh,0.0,hard_target,"1D demand @ 444.98 (RR 2.04, fresh, tests 0, quality 14.1)",2.04,fresh,0.0,hard_target,"1D demand @ 417.58 (RR 4.47, fresh, tests 0, quality 13.6)",4.47,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,5,"1D,2H,90m,1H",1D demand 466.25-472.19 DBR; 2H demand 464.32-467.22 RBR; 90m demand 463.70-464.60 RBR; 90m demand 462.95-464.07 DBR; 1H demand 460.93-463.07 DBR,1D,460.93,472.19,1D/2H/90m/1H,containing_price,0.0,471.4,472.35,90m/1H,above_price,0.75,inside_demand,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.295,B+,Poor <1:1.5,rr-poor,T1 1:0.85 (Poor <1:1.5); range 1:0.85–1:4.47,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,MSFT,470.72,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/2H/90m,DBR,demand,475.0,465.99,465.99,475.0,465.99,0.0,fresh,Fresh / untested (0 tests),0,0.88,Weak,1.03,3.91,Average,7.11,"1D/2H/1H supply @ 476.67 (RR 0.66, fresh, tests 0, quality 16.2)",0.66,0.66,16.18,476.67,,1:0.66–1:7.86,"T1: 1D/2H/1H supply @ 476.67 (RR 0.66, fresh, tests 0, quality 16.2) | T2: 1D supply @ 485.93 (RR 1.69, one_test, tests 1, quality 11.3) | T3: 1D supply @ 507.49 (RR 4.08, fresh, tests 0, quality 15.8) | T4: 1D supply @ 541.55 (RR 7.86, fresh, tests 0, quality 16.2)","1D/2H/1H supply @ 476.67 (RR 0.66, fresh, tests 0, quality 16.2)",0.66,fresh,0.0,hard_target,"1D supply @ 485.93 (RR 1.69, one_test, tests 1, quality 11.3)",1.69,one_test,1.0,hard_target,"1D supply @ 507.49 (RR 4.08, fresh, tests 0, quality 15.8)",4.08,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,B+,4,"1D,2H,90m",1D demand 469.50-474.06 DBR; 1D demand 468.02-475.00 DBR; 2H demand 465.99-468.69 DBR; 90m demand 465.99-468.24 DBR,1D,465.99,475.0,1D/2H/90m,containing_price,0.0,468.71,471.22,2H,containing_price,0.0,inside_demand,2026-01-13T16:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,rejected_low_rr_to_nearest_opposing_zone,7.173,B+,Poor <1:1.5,rr-poor,T1 1:0.66 (Poor <1:1.5); range 1:0.66–1:4.08,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
