status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,CRM,179.13,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,RBR,demand,180.07,177.68,177.68,180.07,177.68,0.0,fresh,Fresh / untested (0 tests),0,-0.16,Weak,1.16,2.83,Average,7.32,"1D/4H/3H/2H/90m/1H supply @ 185.18 (RR 2.53, multiple_tests, tests 2, quality 12.8)",2.53,2.53,12.85,185.18,,1:2.53–1:13.15,"T1: 1D/4H/3H/2H/90m/1H supply @ 185.18 (RR 2.53, multiple_tests, tests 2, quality 12.8) | T2: 1D/4H/3H/2H/90m/1H supply @ 188.20 (RR 3.79, multiple_tests, tests 2, quality 13.8) | T3: 1D/4H/3H/2H/90m/1H supply @ 193.77 (RR 6.13, fresh, tests 0, quality 19.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 197.81 (RR 7.82, one_test, tests 1, quality 13.0) | T5: 1D/4H/3H/2H/90m/1H supply @ 210.56 (RR 13.15, fresh, tests 0, quality 21.1)","1D/4H/3H/2H/90m/1H supply @ 185.18 (RR 2.53, multiple_tests, tests 2, quality 12.8)",2.53,multiple_tests,2.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 188.20 (RR 3.79, multiple_tests, tests 2, quality 13.8)",3.79,multiple_tests,2.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 193.77 (RR 6.13, fresh, tests 0, quality 19.8)",6.13,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 177.68-180.07 RBR,1D,177.68,180.07,1D,containing_price,0.0,177.49,182.5,1D/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.598,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.53 (Strong 1:2.5–1:3.99); range 1:2.53–1:6.13,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,META,612.34,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBD/RBD,supply,624.98,608.82,624.98,624.98,608.82,0.0,fresh,Fresh / untested (0 tests),0,-0.63,Weak,0.74,3.0,Weak,6.92,"1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 3.50, fresh, tests 0, quality 22.1)",3.5,3.5,22.14,668.91,,1:3.50–1:7.60,"T1: 1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 3.50, fresh, tests 0, quality 22.1) | T2: 1D/4H/3H/2H/90m supply @ 678.60 (RR 4.10, fresh, tests 0, quality 17.1) | T3: 90m/1H supply @ 697.07 (RR 5.24, fresh, tests 0, quality 9.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 706.40 (RR 5.82, fresh, tests 0, quality 17.2) | T5: 4H/3H/2H/90m/1H supply @ 735.19 (RR 7.60, fresh, tests 0, quality 16.6)","1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 3.50, fresh, tests 0, quality 22.1)",3.5,fresh,0.0,hard_target,"1D/4H/3H/2H/90m supply @ 678.60 (RR 4.10, fresh, tests 0, quality 17.1)",4.1,fresh,0.0,hard_target,"90m/1H supply @ 697.07 (RR 5.24, fresh, tests 0, quality 9.8)",5.24,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,14,"1D,4H,3H,2H,90m,1H",1D supply 609.11-615.59 DBD; 1D supply 614.72-624.98 RBD; 4H supply 608.82-613.93 DBD; 3H supply 618.43-619.90 DBD; 3H supply 608.82-613.93 DBD; 2H supply 615.39-621.20 RBD; 2H supply 620.88-623.73 RBD; 2H supply 619.86-624.95 RBD; 90m supply 616.86-621.20 RBD; 90m supply 621.50-622.88 RBD; 90m supply 620.83-624.95 RBD; 1H supply 618.05-621.20 RBD; 1H supply 622.02-622.85 RBD; 1H supply 620.83-624.95 RBD,1D,604.87,610.12,4H/3H/2H/90m/1H,below_price,0.36,608.82,624.98,1D/4H/3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.73,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.50 (Strong 1:2.5–1:3.99); range 1:3.50–1:5.24,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,SPY,750.49,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,DBR/RBR,demand,749.74,748.5,748.5,748.5,749.74,0.27,fresh,Fresh / untested (0 tests),0,0.24,Weak,1.22,10.0,Strong,6.49,"1D/4H/3H/2H/90m/1H demand @ 746.24 (RR 3.43, fresh, tests 0, quality 17.2)",3.43,3.43,17.21,746.24,,1:3.43–1:39.38,"T1: 1D/4H/3H/2H/90m/1H demand @ 746.24 (RR 3.43, fresh, tests 0, quality 17.2) | T2: 1D/4H/3H/2H/90m/1H demand @ 739.30 (RR 9.02, fresh, tests 0, quality 17.8) | T3: 1D/4H/3H/2H/90m/1H demand @ 724.72 (RR 20.78, fresh, tests 0, quality 18.2) | T4: 1D/4H/3H/2H/90m/1H demand @ 711.82 (RR 31.19, fresh, tests 0, quality 17.8) | T5: 1D/4H/3H/2H/90m/1H demand @ 701.66 (RR 39.38, fresh, tests 0, quality 18.8)","1D/4H/3H/2H/90m/1H demand @ 746.24 (RR 3.43, fresh, tests 0, quality 17.2)",3.43,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 739.30 (RR 9.02, fresh, tests 0, quality 17.8)",9.02,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 724.72 (RR 20.78, fresh, tests 0, quality 18.2)",20.78,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"2H,90m,1H",2H demand 748.50-749.74 DBR; 90m demand 748.50-749.10 RBR; 1H demand 748.85-749.64 RBR,2H,748.5,749.74,2H/90m/1H,below_price,0.1,750.01,751.87,90m,containing_price,0.0,inside_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.946,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.43 (Strong 1:2.5–1:3.99); range 1:3.43–1:20.78,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,META,612.34,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,610.12,604.87,604.87,610.12,604.87,0.36,fresh,Fresh / untested (0 tests),0,0.29,Weak,1.28,2.95,Strong,7.24,"1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 7.57, fresh, tests 0, quality 22.1)",6.0,7.57,22.14,668.91,,1:7.57–1:16.45,"T1: 1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 7.57, fresh, tests 0, quality 22.1) | T2: 1D/4H/3H/2H/90m supply @ 678.60 (RR 8.87, fresh, tests 0, quality 17.1) | T3: 90m/1H supply @ 697.07 (RR 11.34, fresh, tests 0, quality 9.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 706.40 (RR 12.59, fresh, tests 0, quality 17.2) | T5: 4H/3H/2H/90m/1H supply @ 735.19 (RR 16.45, fresh, tests 0, quality 16.6)","1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 7.57, fresh, tests 0, quality 22.1)",7.57,fresh,0.0,hard_target,"1D/4H/3H/2H/90m supply @ 678.60 (RR 8.87, fresh, tests 0, quality 17.1)",8.87,fresh,0.0,hard_target,"90m/1H supply @ 697.07 (RR 11.34, fresh, tests 0, quality 9.8)",11.34,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,9,"4H,3H,2H,90m,1H",4H/3H/2H/90m/1H demand 604.87-610.12 RR 6.00; 4H/3H/2H/90m/1H demand 591.83-602.13 RR 2.76,4H,604.87,610.12,4H/3H/2H/90m/1H,below_price,0.36,608.82,624.98,1D/4H/3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.274,A+,Excellent 1:4.0+,rr-excellent,T1 1:7.57 (Excellent 1:4.0+); range 1:7.57–1:11.34,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2
Near-Term,UBER,70.15,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/2H/1H,DBD,supply,70.92,70.45,70.92,70.92,70.45,1.1,fresh,Fresh / untested (0 tests),0,-0.23,Weak,1.5,29.0,Excellent,7.23,"90m/1H supply @ 71.83 (RR 3.57, fresh, tests 0, quality 12.5)",3.57,3.57,12.52,71.83,,1:3.57–1:19.00,"T1: 90m/1H supply @ 71.83 (RR 3.57, fresh, tests 0, quality 12.5) | T2: 1D/4H/3H/2H/90m/1H supply @ 73.34 (RR 6.79, fresh, tests 0, quality 18.2) | T3: 1D/4H/3H/2H supply @ 74.89 (RR 10.09, one_test, tests 1, quality 12.0) | T4: 1D/4H/3H/2H/90m/1H supply @ 76.20 (RR 12.87, fresh, tests 0, quality 17.0) | T5: 4H/2H/90m/1H supply @ 79.08 (RR 19.00, fresh, tests 0, quality 14.9)","90m/1H supply @ 71.83 (RR 3.57, fresh, tests 0, quality 12.5)",3.57,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 73.34 (RR 6.79, fresh, tests 0, quality 18.2)",6.79,fresh,0.0,hard_target,"1D/4H/3H/2H supply @ 74.89 (RR 10.09, one_test, tests 1, quality 12.0)",10.09,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"3H,2H,1H",3H supply 70.45-70.92 DBD; 2H supply 70.46-70.92 DBD; 1H supply 70.63-70.92 DBD,3H,68.79,70.75,1D/4H/3H/2H/90m/1H,containing_price,0.0,70.45,70.92,3H/2H/1H,above_price,0.43,inside_demand,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.047,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.57 (Strong 1:2.5–1:3.99); range 1:3.57–1:10.09,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,NET,217.55,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/1H,RBR,demand,216.16,214.46,214.46,214.46,216.16,1.42,fresh,Fresh / untested (0 tests),0,0.36,Weak,0.97,3.48,Average,7.83,"4H/3H/2H/90m/1H demand @ 211.84 (RR 3.36, one_test, tests 1, quality 10.7)",3.36,3.36,10.69,211.84,,1:3.36–1:13.96,"T1: 4H/3H/2H/90m/1H demand @ 211.84 (RR 3.36, one_test, tests 1, quality 10.7) | T2: 4H/3H/2H/90m/1H demand @ 204.03 (RR 7.95, fresh, tests 0, quality 14.4) | T3: 90m demand @ 201.06 (RR 9.70, multiple_tests, tests 3, quality 0.9, soft obstacle: low_quality) | T4: 1D/4H/3H/2H/90m/1H demand @ 199.79 (RR 10.45, fresh, tests 0, quality 16.8) | T5: 4H/2H/90m/1H demand @ 193.82 (RR 13.96, fresh, tests 0, quality 13.5)","4H/3H/2H/90m/1H demand @ 211.84 (RR 3.36, one_test, tests 1, quality 10.7)",3.36,one_test,1.0,hard_target,"4H/3H/2H/90m/1H demand @ 204.03 (RR 7.95, fresh, tests 0, quality 14.4)",7.95,fresh,0.0,hard_target,"90m demand @ 201.06 (RR 9.70, multiple_tests, tests 3, quality 0.9, soft obstacle: low_quality)",9.7,multiple_tests,3.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,3H,2H,1H",4H demand 214.50-216.16 RBR; 3H demand 214.46-216.16 RBR; 2H demand 214.50-216.16 RBR; 1H demand 214.47-215.18 RBR,4H,214.46,216.16,4H/3H/2H/1H,below_price,0.64,218.76,219.78,1H,above_price,0.56,between_nearest_demand_and_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.316,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.36 (Strong 1:2.5–1:3.99); range 1:3.36–1:9.70,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,AAPL,308.38,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBR/RBR,demand,305.21,303.89,303.89,303.89,305.21,1.46,fresh,Fresh / untested (0 tests),0,1.18,Moderate,0.93,5.37,Average,10.01,"4H/3H/2H/90m/1H demand @ 302.26 (RR 4.64, fresh, tests 0, quality 15.7)",4.64,4.64,15.68,302.26,,1:4.64–1:27.62,"T1: 4H/3H/2H/90m/1H demand @ 302.26 (RR 4.64, fresh, tests 0, quality 15.7) | T2: 1D/4H/3H/2H/90m/1H demand @ 298.98 (RR 7.12, fresh, tests 0, quality 16.9) | T3: 1D/4H/3H/2H/90m/1H demand @ 289.27 (RR 14.48, fresh, tests 0, quality 18.2) | T4: 1D/4H/3H/2H/90m/1H demand @ 281.40 (RR 20.44, fresh, tests 0, quality 17.9) | T5: 4H/3H/2H/90m/1H demand @ 271.92 (RR 27.62, fresh, tests 0, quality 16.1)","4H/3H/2H/90m/1H demand @ 302.26 (RR 4.64, fresh, tests 0, quality 15.7)",4.64,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 298.98 (RR 7.12, fresh, tests 0, quality 16.9)",7.12,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 289.27 (RR 14.48, fresh, tests 0, quality 18.2)",14.48,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,6,"4H,3H,2H,90m,1H",4H demand 303.89-305.10 RBR; 3H demand 303.89-305.10 RBR; 2H demand 303.89-305.10 RBR; 90m demand 303.89-304.61 DBR; 1H demand 304.50-305.21 DBR; 1H demand 304.36-304.62 RBR,4H,307.96,309.87,4H/3H/2H/90m/1H,containing_price,0.0,309.19,311.81,2H/90m/1H,above_price,0.26,inside_demand,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.854,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.64 (Excellent 1:4.0+); range 1:4.64–1:14.48,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,CRWD,671.7,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/2H/90m/1H,DBR/RBR,demand,664.23,660.88,660.88,660.88,664.23,1.61,fresh,Fresh / untested (0 tests),0,0.23,Weak,0.57,2.37,Weak,7.3,"1D/4H/3H/2H/90m/1H demand @ 650.52 (RR 6.32, fresh, tests 0, quality 15.6)",6.0,6.32,15.63,650.52,,1:6.32–1:24.64,"T1: 1D/4H/3H/2H/90m/1H demand @ 650.52 (RR 6.32, fresh, tests 0, quality 15.6) | T2: 1D/4H/3H/2H/90m/1H demand @ 621.00 (RR 15.13, fresh, tests 0, quality 18.6) | T3: 3H/2H/90m/1H demand @ 611.98 (RR 17.83, fresh, tests 0, quality 14.5) | T4: 4H/3H/2H/90m/1H demand @ 594.62 (RR 23.01, fresh, tests 0, quality 16.5) | T5: 4H/3H/2H/90m/1H demand @ 589.14 (RR 24.64, fresh, tests 0, quality 14.6)","1D/4H/3H/2H/90m/1H demand @ 650.52 (RR 6.32, fresh, tests 0, quality 15.6)",6.32,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 621.00 (RR 15.13, fresh, tests 0, quality 18.6)",15.13,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 611.98 (RR 17.83, fresh, tests 0, quality 14.5)",17.83,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,2H,90m,1H",4H demand 660.88-664.23 DBR; 2H demand 660.88-664.23 DBR; 90m demand 660.88-663.66 DBR; 1H demand 660.88-663.21 RBR,4H,660.88,664.23,4H/2H/90m/1H,below_price,1.11,665.9,677.5,3H/1H,containing_price,0.0,inside_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.164,A+,Excellent 1:4.0+,rr-excellent,T1 1:6.32 (Excellent 1:4.0+); range 1:6.32–1:17.83,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,QQQ,730.21,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1H,DBR/RBR,demand,729.58,727.04,727.04,727.04,729.58,0.43,fresh,Fresh / untested (0 tests),0,0.57,Weak,0.57,3.42,Weak,5.14,"1D/4H/3H/2H/90m/1H demand @ 718.08 (RR 4.78, fresh, tests 0, quality 19.2)",4.78,4.78,19.18,718.08,,1:4.78–1:21.87,"T1: 1D/4H/3H/2H/90m/1H demand @ 718.08 (RR 4.78, fresh, tests 0, quality 19.2) | T2: 1D/4H/3H/2H/90m/1H demand @ 709.71 (RR 8.07, fresh, tests 0, quality 17.9) | T3: 4H/3H/2H demand @ 688.40 (RR 16.46, fresh, tests 0, quality 14.5) | T4: 4H/3H/2H/90m/1H demand @ 682.53 (RR 18.77, fresh, tests 0, quality 17.1) | T5: 1D/4H/3H/2H/90m/1H demand @ 674.66 (RR 21.87, fresh, tests 0, quality 18.1)","1D/4H/3H/2H/90m/1H demand @ 718.08 (RR 4.78, fresh, tests 0, quality 19.2)",4.78,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 709.71 (RR 8.07, fresh, tests 0, quality 17.9)",8.07,fresh,0.0,hard_target,"4H/3H/2H demand @ 688.40 (RR 16.46, fresh, tests 0, quality 14.5)",16.46,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,1H,1H demand 727.04-728.14 DBR; 1H demand 728.45-729.58 RBR,1H,727.04,729.58,1H,below_price,0.09,,,,,,zone_context_mixed,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.292,A,Excellent 1:4.0+,rr-excellent,T1 1:4.78 (Excellent 1:4.0+); range 1:4.78–1:16.46,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,IONQ,63.66,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H,RBR,demand,63.58,63.38,63.38,63.38,63.58,0.44,fresh,Fresh / untested (0 tests),0,0.05,Weak,0.51,3.13,Weak,4.56,"90m demand @ 61.82 (RR 9.20, fresh, tests 0, quality 9.0)",6.0,9.2,9.01,61.82,,1:9.20–1:72.10,"T1: 90m demand @ 61.82 (RR 9.20, fresh, tests 0, quality 9.0) | T2: 4H/3H/2H/1H demand @ 58.89 (RR 23.85, fresh, tests 0, quality 17.9) | T3: 4H/3H/2H/90m/1H demand @ 52.61 (RR 55.25, fresh, tests 0, quality 18.9) | T4: 4H demand @ 50.32 (RR 66.70, fresh, tests 0, quality 12.3) | T5: 1D demand @ 49.24 (RR 72.10, multiple_tests, tests 3, quality 8.1)","90m demand @ 61.82 (RR 9.20, fresh, tests 0, quality 9.0)",9.2,fresh,0.0,hard_target,"4H/3H/2H/1H demand @ 58.89 (RR 23.85, fresh, tests 0, quality 17.9)",23.85,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 52.61 (RR 55.25, fresh, tests 0, quality 18.9)",55.25,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,2H,2H demand 63.38-63.58 RBR,2H,63.38,63.58,2H,below_price,0.13,63.33,65.0,4H/3H/2H,containing_price,0.0,inside_supply,2026-05-26T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.648,A,Excellent 1:4.0+,rr-excellent,T1 1:9.20 (Excellent 1:4.0+); range 1:9.20–1:55.25,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
