symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of
NVDA,90m,demand,DBR,2026-02-05T15:30:00-05:00,172.26,171.03,172.26,172.53,171.03,171.89,1.5,0.53,-0.47,3.9,16.61,2.38,one_test,1,False,8.53,2026-02-06T09:30:00-05:00,2026-02-06 09:30:00-05:00,,2026-03-20T15:00:00-04:00,2026-03-23T16:00:00-04:00
NVDA,90m,supply,RBD,2026-02-25T14:00:00-05:00,197.45,196.62,196.62,197.45,196.61,196.9,0.84,0.97,-0.24,-0.53,3.67,0.81,fresh,0,False,5.09,2026-02-25T15:30:00-05:00,2026-02-25 15:30:00-05:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-02-25T15:30:00-05:00,197.21,195.88,196.89,197.21,195.52,195.88,1.69,0.79,-0.38,-4.92,7.86,4.74,fresh,0,False,10.75,2026-02-26T09:30:00-05:00,2026-02-26 09:30:00-05:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-02-26T11:00:00-05:00,187.97,186.33,186.33,187.97,185.85,187.57,2.12,1.52,-3.8,-1.08,1.89,1.26,multiple_tests,5,False,3.59,2026-02-26T12:30:00-05:00,2026-02-26 12:30:00-05:00,,2026-03-16T15:00:00-04:00,2026-03-23T16:00:00-04:00
NVDA,90m,supply,RBD,2026-03-11T15:00:00-04:00,186.04,185.6,185.6,186.04,185.23,186.01,0.81,0.54,0.2,-1.93,4.8,1.15,multiple_tests,2,False,4.33,2026-03-12T09:00:00-04:00,2026-03-12 09:00:00-04:00,,2026-03-16T15:00:00-04:00,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-03-17T13:30:00-04:00,183.47,182.34,182.41,183.47,182.31,182.34,1.16,0.73,0.08,-0.18,5.29,0.76,multiple_tests,4,False,2.19,2026-03-17T15:00:00-04:00,2026-03-17 15:00:00-04:00,,2026-03-18T13:30:00-04:00,2026-03-23T16:00:00-04:00
NVDA,90m,supply,RBD,2026-03-18T10:30:00-04:00,183.24,182.28,182.28,183.24,181.84,182.47,1.4,0.97,0.25,-0.2,2.11,0.61,one_test,1,False,3.06,2026-03-18T12:00:00-04:00,2026-03-18 12:00:00-04:00,,2026-03-18T13:30:00-04:00,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-03-18T12:00:00-04:00,182.85,182.07,182.47,182.85,181.83,182.07,1.02,0.62,-0.1,-0.42,2.11,0.81,fresh,0,False,4.98,2026-03-18T13:30:00-04:00,2026-03-18 13:30:00-04:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-03-18T15:00:00-04:00,181.68,180.35,181.22,181.68,180.33,180.35,1.35,0.78,-0.83,-1.33,3.17,1.47,fresh,0,False,6.55,2026-03-19T09:00:00-04:00,2026-03-19 09:00:00-04:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,supply,DBD,2026-03-19T15:00:00-04:00,179.98,178.5,178.65,179.98,177.91,178.5,2.07,0.97,-0.02,-1.36,15.59,1.68,fresh,0,False,6.79,2026-03-20T09:00:00-04:00,2026-03-20 09:00:00-04:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,demand,DBR,2026-03-20T15:00:00-04:00,173.46,171.72,173.46,173.76,171.72,173.0,2.04,1.24,-1.16,2.74,10.58,1.45,fresh,0,False,7.94,2026-03-23T09:00:00-04:00,2026-03-23 09:00:00-04:00,,,2026-03-23T16:00:00-04:00
NVDA,90m,demand,DBR,2026-03-23T12:00:00-04:00,175.28,174.76,175.12,175.89,174.76,175.28,1.13,0.87,-1.45,0.73,8.16,0.7,fresh,0,False,5.18,2026-03-23T13:30:00-04:00,2026-03-23 13:30:00-04:00,,,2026-03-23T16:00:00-04:00
NVDA,1H,demand,DBR,2026-02-05T15:30:00-05:00,172.26,171.03,172.26,172.53,171.03,171.89,1.5,0.74,-0.81,4.87,16.08,2.56,one_test,1,False,8.56,2026-02-06T09:30:00-05:00,2026-02-06 09:30:00-05:00,,2026-03-20T15:30:00-04:00,2026-03-23T16:00:00-04:00
NVDA,1H,supply,DBD,2026-02-25T14:30:00-05:00,197.37,196.9,197.09,197.37,196.68,196.9,0.69,0.92,0.11,-0.67,5.21,1.12,fresh,0,False,5.29,2026-02-25T15:30:00-05:00,2026-02-25 15:30:00-05:00,,,2026-03-23T16:00:00-04:00
NVDA,1H,supply,DBD,2026-02-25T15:30:00-05:00,197.21,195.88,196.89,197.21,195.52,195.88,1.69,1.18,-0.84,-6.77,8.09,5.4,fresh,0,False,10.5,2026-02-26T09:30:00-05:00,2026-02-26 09:30:00-05:00,,,2026-03-23T16:00:00-04:00
NVDA,1H,supply,RBD,2026-02-26T11:30:00-05:00,187.97,187.57,187.79,187.97,185.85,187.57,2.12,1.16,0.78,-1.17,10.3,1.12,multiple_tests,2,False,3.29,2026-02-26T12:30:00-05:00,2026-02-26 12:30:00-05:00,,2026-03-16T14:30:00-04:00,2026-03-23T16:00:00-04:00
NVDA,1H,supply,RBD,2026-03-11T12:30:00-04:00,186.07,185.55,185.55,186.07,185.25,185.61,0.82,0.47,0.29,-0.25,7.77,0.58,multiple_tests,4,False,1.83,2026-03-11T13:30:00-04:00,2026-03-11 13:30:00-04:00,,2026-03-16T14:30:00-04:00,2026-03-23T16:00:00-04:00
NVDA,1H,supply,RBD,2026-03-16T13:30:00-04:00,185.53,184.77,184.77,185.53,184.27,184.94,1.26,0.93,0.7,-2.11,18.82,3.28,one_test,1,False,7.11,2026-03-16T14:30:00-04:00,2026-03-16 14:30:00-04:00,,2026-03-17T09:30:00-04:00,2026-03-23T16:00:00-04:00
