status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,META,618.43,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/2H/90m/1H,RBD,supply,624.98,614.72,624.98,624.98,614.72,0.0,fresh,Fresh / untested (0 tests),0,-0.49,Weak,0.85,2.67,Weak,7.05,"1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 4.92, fresh, tests 0, quality 22.1)",4.92,4.92,22.14,668.91,,1:4.92–1:11.38,"T1: 1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 4.92, fresh, tests 0, quality 22.1) | T2: 1D/4H/3H/2H/90m supply @ 678.60 (RR 5.86, fresh, tests 0, quality 17.1) | T3: 90m/1H supply @ 697.07 (RR 7.66, fresh, tests 0, quality 9.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 706.40 (RR 8.57, fresh, tests 0, quality 17.2) | T5: 4H/3H/2H/90m/1H supply @ 735.19 (RR 11.38, fresh, tests 0, quality 16.6)","1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 4.92, fresh, tests 0, quality 22.1)",4.92,fresh,0.0,hard_target,"1D/4H/3H/2H/90m supply @ 678.60 (RR 5.86, fresh, tests 0, quality 17.1)",5.86,fresh,0.0,hard_target,"90m/1H supply @ 697.07 (RR 7.66, fresh, tests 0, quality 9.8)",7.66,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,7,"1D,2H,90m,1H",1D supply 614.72-624.98 RBD; 2H supply 620.88-623.73 RBD; 2H supply 619.86-624.95 RBD; 90m supply 621.50-622.88 RBD; 90m supply 620.83-624.95 RBD; 1H supply 622.02-622.85 RBD; 1H supply 620.83-624.95 RBD,1D,614.66,617.87,4H/3H/2H/90m/1H,below_price,0.09,614.72,624.98,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.762,A,Excellent 1:4.0+,rr-excellent,T1 1:4.92 (Excellent 1:4.0+); range 1:4.92–1:7.66,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,CRWD,579.84,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1H,RBD,supply,582.8,579.51,582.8,579.51,582.8,0.0,fresh,Fresh / untested (0 tests),0,-0.1,Weak,0.93,3.13,Average,5.03,"4H/2H/90m/1H demand @ 564.33 (RR 4.71, fresh, tests 0, quality 14.1)",4.71,4.71,14.13,564.33,,1:4.71–1:18.72,"T1: 4H/2H/90m/1H demand @ 564.33 (RR 4.71, fresh, tests 0, quality 14.1) | T2: 4H/3H/2H/90m/1H demand @ 554.84 (RR 7.60, fresh, tests 0, quality 15.2) | T3: 1D/3H/90m/1H demand @ 548.26 (RR 9.60, fresh, tests 0, quality 17.5) | T4: 4H/3H/2H/1H demand @ 527.76 (RR 15.83, fresh, tests 0, quality 15.6) | T5: 1H demand @ 518.25 (RR 18.72, fresh, tests 0, quality 8.1)","4H/2H/90m/1H demand @ 564.33 (RR 4.71, fresh, tests 0, quality 14.1)",4.71,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 554.84 (RR 7.60, fresh, tests 0, quality 15.2)",7.6,fresh,0.0,hard_target,"1D/3H/90m/1H demand @ 548.26 (RR 9.60, fresh, tests 0, quality 17.5)",9.6,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,1H,1H supply 580.66-582.80 RBD; 1H supply 579.51-581.64 RBD,1H,560.13,564.33,4H/2H/90m/1H,below_price,2.67,579.51,582.8,1H,containing_price,0.0,inside_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.808,A,Excellent 1:4.0+,rr-excellent,T1 1:4.71 (Excellent 1:4.0+); range 1:4.71–1:9.60,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Immediate,META,618.43,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,617.87,614.66,614.66,617.87,614.66,0.09,one_test,One successful retest (1 tests),1,0.69,Weak,0.66,4.55,Weak,5.83,"1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 13.39, fresh, tests 0, quality 22.1)",6.0,13.39,22.14,668.91,,1:13.39–1:30.97,"T1: 1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 13.39, fresh, tests 0, quality 22.1) | T2: 1D/4H/3H/2H/90m supply @ 678.60 (RR 15.96, fresh, tests 0, quality 17.1) | T3: 90m/1H supply @ 697.07 (RR 20.86, fresh, tests 0, quality 9.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 706.40 (RR 23.33, fresh, tests 0, quality 17.2) | T5: 4H/3H/2H/90m/1H supply @ 735.19 (RR 30.97, fresh, tests 0, quality 16.6)","1D/4H/3H/2H/90m/1H supply @ 668.91 (RR 13.39, fresh, tests 0, quality 22.1)",13.39,fresh,0.0,hard_target,"1D/4H/3H/2H/90m supply @ 678.60 (RR 15.96, fresh, tests 0, quality 17.1)",15.96,fresh,0.0,hard_target,"90m/1H supply @ 697.07 (RR 20.86, fresh, tests 0, quality 9.8)",20.86,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,5,"4H,3H,2H,90m,1H",4H demand 615.32-617.87 RBR; 3H demand 614.66-616.63 RBR; 2H demand 615.32-617.87 RBR; 90m demand 615.32-617.14 DBR; 1H demand 615.32-616.63 RBR,4H,614.66,617.87,4H/3H/2H/90m/1H,below_price,0.09,614.72,624.98,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.648,A,Excellent 1:4.0+,rr-excellent,T1 1:13.39 (Excellent 1:4.0+); range 1:13.39–1:20.86,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Near-Term,QQQ,719.73,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,3H/90m/1H,DBR/RBR,demand,715.69,713.67,713.67,713.67,715.69,0.84,fresh,Fresh / untested (0 tests),0,0.76,Weak,0.64,11.52,Weak,7.26,"4H/3H/2H/90m/1H demand @ 710.57 (RR 4.53, fresh, tests 0, quality 16.5)",4.53,4.53,16.5,710.57,,1:4.53–1:22.31,"T1: 4H/3H/2H/90m/1H demand @ 710.57 (RR 4.53, fresh, tests 0, quality 16.5) | T2: 1D/4H/3H/2H/90m/1H demand @ 696.58 (RR 11.46, fresh, tests 0, quality 18.6) | T3: 4H/3H/2H demand @ 688.40 (RR 15.51, fresh, tests 0, quality 14.5) | T4: 4H/3H/2H/90m/1H demand @ 682.53 (RR 18.42, fresh, tests 0, quality 17.1) | T5: 1D/4H/3H/2H/90m/1H demand @ 674.66 (RR 22.31, fresh, tests 0, quality 18.1)","4H/3H/2H/90m/1H demand @ 710.57 (RR 4.53, fresh, tests 0, quality 16.5)",4.53,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 696.58 (RR 11.46, fresh, tests 0, quality 18.6)",11.46,fresh,0.0,hard_target,"4H/3H/2H demand @ 688.40 (RR 15.51, fresh, tests 0, quality 14.5)",15.51,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"3H,90m,1H",3H demand 713.67-714.78 RBR; 90m demand 713.84-714.47 RBR; 1H demand 713.84-715.69 DBR,3H,713.67,715.69,3H/90m/1H,below_price,0.56,720.68,722.03,1H,above_price,0.13,between_nearest_demand_and_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.081,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.53 (Excellent 1:4.0+); range 1:4.53–1:15.51,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,ANET,147.78,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/3H/2H/1H,DBR/RBR,demand,145.89,144.6,144.6,145.89,144.6,1.28,fresh,Fresh / untested (0 tests),0,0.51,Weak,0.81,7.09,Weak,7.32,"1H supply @ 171.97 (RR 7.61, fresh, tests 0, quality 9.5)",6.0,7.61,9.51,171.97,,1:7.61–1:9.15,"T1: 1H supply @ 171.97 (RR 7.61, fresh, tests 0, quality 9.5) | T2: 1D supply @ 172.62 (RR 7.81, fresh, tests 0, quality 14.5) | T3: 1D/4H/3H/2H/90m/1H supply @ 172.64 (RR 7.82, fresh, tests 0, quality 17.2) | T4: 3H/2H/90m/1H supply @ 176.89 (RR 9.15, one_test, tests 1, quality 10.0)","1H supply @ 171.97 (RR 7.61, fresh, tests 0, quality 9.5)",7.61,fresh,0.0,hard_target,"1D supply @ 172.62 (RR 7.81, fresh, tests 0, quality 14.5)",7.81,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 172.64 (RR 7.82, fresh, tests 0, quality 17.2)",7.82,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A+,4,"1D,3H,2H,1H",3H/2H/1H demand 144.60-145.89 RR 6.00; 1H demand 146.63-147.22 RR 6.00; 1D demand 140.30-144.80 RR 3.23,3H,146.63,147.22,1H,below_price,0.38,171.97,172.59,1H,above_price,16.37,between_nearest_demand_and_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.104,A+,Excellent 1:4.0+,rr-excellent,T1 1:7.61 (Excellent 1:4.0+); range 1:7.61–1:7.82,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,3
Near-Term,RBLX,43.73,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,RBR,demand,43.34,43.0,43.0,43.0,43.34,1.67,fresh,Fresh / untested (0 tests),0,0.59,Weak,1.02,5.6,Average,7.11,"4H/3H/2H demand @ 42.13 (RR 4.71, fresh, tests 0, quality 14.9)",4.71,4.71,14.93,42.13,,1:4.71–1:7.68,"T1: 4H/3H/2H demand @ 42.13 (RR 4.71, fresh, tests 0, quality 14.9) | T2: 4H/3H demand @ 41.12 (RR 7.68, fresh, tests 0, quality 12.8)","4H/3H/2H demand @ 42.13 (RR 4.71, fresh, tests 0, quality 14.9)",4.71,fresh,0.0,hard_target,"4H/3H demand @ 41.12 (RR 7.68, fresh, tests 0, quality 12.8)",7.68,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,4,"2H,90m,1H",2H demand 43.00-43.18 RBR; 90m demand 43.08-43.28 RBR; 1H demand 43.16-43.34 RBR; 1H demand 43.08-43.18 RBR,2H,43.0,43.34,2H/90m/1H,below_price,0.89,44.29,45.98,1D,above_price,1.28,between_nearest_demand_and_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.111,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.71 (Excellent 1:4.0+); range 1:4.71–1:7.68,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,AVGO,439.69,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/90m/1H,DBR/RBR,demand,436.12,431.19,431.19,431.19,436.12,1.93,fresh,Fresh / untested (0 tests),0,0.36,Weak,0.87,3.59,Weak,7.75,"4H/3H/2H/1H demand @ 418.09 (RR 4.38, fresh, tests 0, quality 18.5)",4.38,4.38,18.53,418.09,,1:4.38–1:11.95,"T1: 4H/3H/2H/1H demand @ 418.09 (RR 4.38, fresh, tests 0, quality 18.5) | T2: 1D/4H/3H/2H/90m/1H demand @ 416.79 (RR 4.65, fresh, tests 0, quality 18.3) | T3: 1D/4H/3H/2H/90m/1H demand @ 405.45 (RR 6.95, fresh, tests 0, quality 16.7) | T4: 2H/1H demand @ 393.06 (RR 9.46, fresh, tests 0, quality 9.4) | T5: 1D/4H/3H/2H/1H demand @ 380.80 (RR 11.95, fresh, tests 0, quality 20.0)","4H/3H/2H/1H demand @ 418.09 (RR 4.38, fresh, tests 0, quality 18.5)",4.38,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 416.79 (RR 4.65, fresh, tests 0, quality 18.3)",4.65,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 405.45 (RR 6.95, fresh, tests 0, quality 16.7)",6.95,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,3H,90m,1H",4H demand 431.19-436.12 RBR; 3H demand 431.19-435.12 RBR; 90m demand 431.19-436.07 DBR; 1H demand 431.19-433.41 DBR,4H,431.19,436.12,4H/3H/90m/1H,below_price,0.81,435.12,439.75,90m,containing_price,0.0,inside_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,9.245,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.38 (Excellent 1:4.0+); range 1:4.38–1:6.95,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,NOW,90.52,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,90m/1H,DBD/RBD,supply,91.28,90.83,91.28,90.83,91.28,0.34,fresh,Fresh / untested (0 tests),0,-0.19,Weak,0.8,3.37,Weak,5.24,"1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.55, fresh, tests 0, quality 17.3)",2.55,2.55,17.31,88.58,,1:2.55–1:9.91,"T1: 1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.55, fresh, tests 0, quality 17.3) | T2: 4H/3H/2H demand @ 87.09 (RR 4.51, fresh, tests 0, quality 14.3) | T3: 90m/1H demand @ 82.99 (RR 9.91, fresh, tests 0, quality 13.5)","1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.55, fresh, tests 0, quality 17.3)",2.55,fresh,0.0,hard_target,"4H/3H/2H demand @ 87.09 (RR 4.51, fresh, tests 0, quality 14.3)",4.51,fresh,0.0,hard_target,"90m/1H demand @ 82.99 (RR 9.91, fresh, tests 0, quality 13.5)",9.91,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,2,"90m,1H",90m supply 90.83-91.28 DBD; 1H supply 90.92-91.28 RBD,90m,86.01,88.58,1D/4H/3H/2H/90m/1H,below_price,2.14,90.83,91.28,90m/1H,above_price,0.34,between_nearest_demand_and_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.856,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.55 (Strong 1:2.5–1:3.99); range 1:2.55–1:9.91,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Near-Term,GOOGL,401.08,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H,RBR,demand,399.88,398.76,398.76,398.76,399.88,0.58,fresh,Fresh / untested (0 tests),0,0.28,Weak,0.62,5.0,Weak,4.9,"4H/3H/2H demand @ 397.28 (RR 3.39, fresh, tests 0, quality 14.1)",3.39,3.39,14.12,397.28,,1:3.39–1:53.48,"T1: 4H/3H/2H demand @ 397.28 (RR 3.39, fresh, tests 0, quality 14.1) | T2: 1D/4H/3H/2H/90m/1H demand @ 388.43 (RR 11.29, fresh, tests 0, quality 18.4) | T3: 3H/2H/90m/1H demand @ 349.83 (RR 45.76, fresh, tests 0, quality 13.4) | T4: 4H/3H/2H/90m/1H demand @ 344.42 (RR 50.59, one_test, tests 1, quality 14.6) | T5: 1D/4H/3H/90m/1H demand @ 341.18 (RR 53.48, fresh, tests 0, quality 17.2)","4H/3H/2H demand @ 397.28 (RR 3.39, fresh, tests 0, quality 14.1)",3.39,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 388.43 (RR 11.29, fresh, tests 0, quality 18.4)",11.29,fresh,0.0,hard_target,"3H/2H/90m/1H demand @ 349.83 (RR 45.76, fresh, tests 0, quality 13.4)",45.76,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,2H,2H demand 398.76-399.88 RBR,2H,398.76,399.88,2H,below_price,0.3,401.5,403.7,4H/3H/2H/90m/1H,above_price,0.1,between_nearest_demand_and_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,7.917,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.39 (Strong 1:2.5–1:3.99); range 1:3.39–1:45.76,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,META,618.43,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBR/RBR,demand,617.87,614.66,614.66,614.66,617.87,0.61,one_test,One successful retest (1 tests),1,0.69,Weak,0.66,4.55,Weak,5.83,"4H/3H/2H/90m/1H demand @ 608.51 (RR 3.09, fresh, tests 0, quality 16.5)",3.09,3.09,16.47,608.51,,1:3.09–1:29.25,"T1: 4H/3H/2H/90m/1H demand @ 608.51 (RR 3.09, fresh, tests 0, quality 16.5) | T2: 1D/4H/3H/2H/90m/1H demand @ 575.05 (RR 13.51, fresh, tests 0, quality 19.8) | T3: 2H/90m/1H demand @ 560.06 (RR 18.18, fresh, tests 0, quality 12.6) | T4: 1D/4H/3H/2H/90m/1H demand @ 537.40 (RR 25.24, fresh, tests 0, quality 19.9) | T5: 90m/1H demand @ 524.55 (RR 29.25, fresh, tests 0, quality 9.7)","4H/3H/2H/90m/1H demand @ 608.51 (RR 3.09, fresh, tests 0, quality 16.5)",3.09,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 575.05 (RR 13.51, fresh, tests 0, quality 19.8)",13.51,fresh,0.0,hard_target,"2H/90m/1H demand @ 560.06 (RR 18.18, fresh, tests 0, quality 12.6)",18.18,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,5,"4H,3H,2H,90m,1H",4H demand 615.32-617.87 RBR; 3H demand 614.66-616.63 RBR; 2H demand 615.32-617.87 RBR; 90m demand 615.32-617.14 DBR; 1H demand 615.32-616.63 RBR,4H,614.66,617.87,4H/3H/2H/90m/1H,below_price,0.09,614.72,624.98,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-05-14T16:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,eligible_pre_grade,8.45,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.09 (Strong 1:2.5–1:3.99); range 1:3.09–1:18.18,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
