symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of,confluence_count,confluence_timeframes,merged_from,primary_timeframe,primary_base_time
MSFT,4H/2H/90m/1H,supply,DBD,2026-01-30T13:30:00-05:00,432.65,430.36,431.1,431.89,426.45,430.36,5.44,0.96,-0.38,-0.66,7.47,1.23,fresh,0,False,8.39,2026-02-02T09:30:00-05:00,2026-02-02 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,4,"4H,2H,90m,1H",4H supply 430.36-431.89 DBD; 2H supply 431.10-432.65 DBD; 90m supply 430.82-432.63 DBD; 1H supply 431.07-431.89 DBD,4H,2026-01-30T13:30:00-05:00
MSFT,1D/4H/3H/2H/90m,supply,RBD,2026-01-28T00:00:00-05:00,483.74,478.86,483.21,483.74,478.0,481.63,5.74,1.4,1.23,-5.22,4.11,4.9,fresh,0,False,14.5,2026-01-29T00:00:00-05:00,2026-01-29 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,6,"1D,4H,3H,2H,90m",1D supply 481.63-483.74 RBD; 4H supply 478.86-483.33 RBD; 4H supply 480.58-482.87 RBD; 3H supply 479.78-483.33 RBD; 2H supply 479.78-483.33 RBD; 90m supply 479.78-483.33 RBD,1D,2026-01-28T00:00:00-05:00
MSFT,1D,supply,RBD,2025-12-02T00:00:00-05:00,493.5,485.93,486.71,493.5,486.32,490.0,7.18,0.78,-0.2,-1.23,3.74,1.38,one_test,1,False,6.61,2025-12-03T00:00:00-05:00,2025-12-03 00:00:00-05:00,,2026-01-07T00:00:00-05:00,2026-02-13T16:00:00-05:00,2,1D,1D supply 486.71-493.50 RBD; 1D supply 485.93-489.68 RBD,1D,2025-12-02T00:00:00-05:00
MSFT,1D,supply,DBD/RBD,2025-11-17T00:00:00-05:00,515.55,507.49,508.45,512.12,504.91,507.49,7.21,0.79,0.46,-1.51,14.27,1.39,fresh,0,False,9.4,2025-11-18T00:00:00-05:00,2025-11-18 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,2,1D,1D supply 507.49-512.12 RBD; 1D supply 511.76-515.55 DBD,1D,2025-11-17T00:00:00-05:00
MSFT,1D,supply,RBD,2025-10-29T00:00:00-04:00,546.27,541.55,544.94,546.27,536.73,541.55,9.54,1.94,1.28,-2.01,4.66,2.21,fresh,0,False,10.22,2025-10-30T00:00:00-04:00,2025-10-30 00:00:00-04:00,,,2026-02-13T16:00:00-05:00,1,1D,1D supply 541.55-546.27 RBD,1D,2025-10-29T00:00:00-04:00
MSTR,3H/2H/90m/1H,demand,DBR,2026-02-05T15:30:00-05:00,107.2,104.17,106.61,107.8,104.17,107.2,3.63,1.01,-1.0,4.12,29.81,3.12,fresh,0,False,13.0,2026-02-06T09:30:00-05:00,2026-02-06 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,4,"3H,2H,90m,1H",3H demand 104.17-107.20 DBR; 2H demand 104.17-107.20 DBR; 90m demand 104.17-107.20 DBR; 1H demand 104.17-107.20 DBR,3H,2026-02-05T15:30:00-05:00
MSTR,4H,demand,DBR,2026-02-05T13:30:00-05:00,110.31,104.17,110.31,111.46,104.17,107.2,7.29,1.8,-3.03,3.32,5.2,3.07,fresh,0,False,11.32,2026-02-06T09:30:00-05:00,2026-02-06 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,4H,4H demand 104.17-110.31 DBR,4H,2026-02-05T13:30:00-05:00
MSTR,1D,demand,DBR,2026-02-12T00:00:00-05:00,127.57,120.64,127.57,128.99,120.64,123.0,8.35,0.82,-0.97,1.06,2.38,0.96,fresh,0,False,8.02,2026-02-13T00:00:00-05:00,2026-02-13 00:00:00-05:00,,,2026-02-13T16:00:00-05:00,1,1D,1D demand 120.64-127.57 DBR,1D,2026-02-12T00:00:00-05:00
MSTR,4H/90m/1H,demand,DBR/RBR,2026-02-12T13:30:00-05:00,122.78,120.88,121.81,124.64,120.88,122.78,3.76,0.45,-0.43,1.2,5.59,0.93,fresh,0,False,10.53,2026-02-13T09:30:00-05:00,2026-02-13 09:30:00-05:00,,,2026-02-13T16:00:00-05:00,4,"4H,90m,1H",4H demand 120.88-122.78 DBR; 90m demand 122.50-122.78 RBR; 1H demand 122.50-122.78 DBR; 1H demand 120.88-121.92 RBR,4H,2026-02-12T13:30:00-05:00
MSTR,2H/90m/1H,demand,DBR/RBR,2026-02-13T11:30:00-05:00,132.65,131.52,132.63,133.7,131.52,132.33,2.18,0.62,2.2,0.6,8.39,0.82,fresh,0,False,6.42,2026-02-13T13:30:00-05:00,2026-02-13 13:30:00-05:00,,,2026-02-13T16:00:00-05:00,3,"2H,90m,1H",2H demand 131.52-132.63 RBR; 90m demand 131.52-132.60 RBR; 1H demand 131.95-132.65 DBR,2H,2026-02-13T11:30:00-05:00
MSTR,1D,supply,DBD,2026-02-10T00:00:00-05:00,139.16,133.0,133.66,139.16,132.68,133.0,6.48,0.86,-0.18,-0.65,11.54,0.97,one_test,1,False,6.12,2026-02-11T00:00:00-05:00,2026-02-11 00:00:00-05:00,,2026-02-13T00:00:00-05:00,2026-02-13T16:00:00-05:00,1,1D,1D supply 133.00-139.16 DBD,1D,2026-02-10T00:00:00-05:00
MSTR,4H,supply,DBD,2026-02-10T13:30:00-05:00,135.85,133.01,134.18,135.85,132.68,133.01,3.17,0.43,-0.66,-0.95,7.25,1.05,multiple_tests,2,False,4.5,2026-02-11T09:30:00-05:00,2026-02-11 09:30:00-05:00,,2026-02-13T13:30:00-05:00,2026-02-13T16:00:00-05:00,1,4H,4H supply 133.01-135.85 DBD,4H,2026-02-10T13:30:00-05:00
MSTR,4H,supply,DBD,2026-02-10T09:30:00-05:00,139.16,133.66,133.66,139.16,133.5,134.23,5.66,0.93,-0.42,-0.15,2.05,0.43,multiple_tests,3,False,3.08,2026-02-10T13:30:00-05:00,2026-02-10 13:30:00-05:00,,2026-02-13T13:30:00-05:00,2026-02-13T16:00:00-05:00,1,4H,4H supply 133.66-139.16 DBD,4H,2026-02-10T09:30:00-05:00
MSTR,90m,supply,RBD,2026-02-13T14:00:00-05:00,135.25,134.53,134.53,135.25,133.42,134.92,1.83,0.92,0.62,-0.28,2.51,0.79,fresh,0,False,4.82,2026-02-13T15:30:00-05:00,2026-02-13 15:30:00-05:00,,,2026-02-13T16:00:00-05:00,1,90m,90m supply 134.53-135.25 RBD,90m,2026-02-13T14:00:00-05:00
