symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of,confluence_count,confluence_timeframes,merged_from,primary_timeframe,primary_base_time
AAPL,1D,demand,DBR,2025-08-05T00:00:00-04:00,203.4,202.16,203.4,205.34,202.16,202.92,3.18,0.86,0.15,2.85,15.87,2.11,fresh,0,False,10.96,2025-08-06T00:00:00-04:00,2025-08-06 00:00:00-04:00,,,2026-06-16T16:00:00-04:00,1,1D,1D demand 202.16-203.40 DBR,1D,2025-08-05T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-07T00:00:00-04:00,220.03,216.58,218.88,220.85,216.58,220.03,4.27,1.59,4.34,2.36,7.38,2.01,fresh,0,False,10.37,2025-08-08T00:00:00-04:00,2025-08-08 00:00:00-04:00,,,2026-06-16T16:00:00-04:00,1,1D,1D demand 216.58-220.03 RBR,1D,2025-08-07T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-11T00:00:00-04:00,227.92,224.76,227.92,229.56,224.76,227.18,4.8,1.0,1.59,0.55,2.22,0.9,multiple_tests,3,False,5.45,2025-08-12T00:00:00-04:00,2025-08-12 00:00:00-04:00,,2025-09-11T00:00:00-04:00,2026-06-16T16:00:00-04:00,2,1D,1D demand 224.76-227.92 RBR; 1D demand 226.23-227.16 RBR,1D,2025-08-11T00:00:00-04:00
AAPL,1D,demand,DBR/RBR,2025-09-18T00:00:00-04:00,239.97,235.03,239.97,241.2,236.65,237.88,4.55,0.9,-0.07,1.97,2.05,3.34,fresh,0,False,11.47,2025-09-19T00:00:00-04:00,2025-09-19 00:00:00-04:00,,,2026-06-16T16:00:00-04:00,2,1D,1D demand 236.65-239.97 DBR; 1D demand 235.03-237.00 RBR,1D,2025-09-18T00:00:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,demand,DBR/RBR,2026-03-30T00:00:00-04:00,251.96,244.68,250.07,250.87,245.51,246.63,5.36,0.98,-1.27,1.45,2.08,1.23,fresh,0,False,8.68,2026-03-31T00:00:00-04:00,2026-03-31 00:00:00-04:00,,2026-04-07T00:00:00-04:00,2026-06-16T16:00:00-04:00,17,"1D,4H,3H,2H,90m,1H",1D demand 245.51-250.07 DBR; 1D demand 244.68-248.04 DBR; 1D demand 245.13-248.25 DBR; 4H demand 247.64-248.94 RBR; 4H demand 245.51-246.54 DBR; 3H demand 247.64-248.94 RBR; 3H demand 245.51-246.54 DBR; 2H demand 245.51-246.54 RBR; 90m demand 245.70-248.46 DBR; 90m demand 250.12-251.62 RBR; 90m demand 247.10-248.96 RBR; 90m demand 245.51-246.74 DBR; 90m demand 245.50-246.12 DBR; 1H demand 250.12-251.96 RBR; 1H demand 245.51-246.54 RBR; 1H demand 247.10-248.96 RBR; 1H demand 245.58-245.88 DBR,1D,2026-03-30T00:00:00-04:00
AAPL,4H/3H/2H/1H,demand,RBR,2026-04-07T14:30:00-04:00,253.49,250.12,251.33,253.61,250.12,253.49,3.49,0.99,1.59,1.27,2.15,0.9,fresh,0,False,8.67,2026-04-08T06:30:00-04:00,2026-04-08 06:30:00-04:00,,,2026-06-16T16:00:00-04:00,4,"4H,3H,2H,1H",4H demand 250.12-253.49 RBR; 3H demand 250.12-253.49 RBR; 2H demand 250.12-253.49 RBR; 1H demand 251.29-251.62 RBR,4H,2026-04-07T14:30:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,demand,DBR/RBR,2026-04-14T00:00:00-04:00,259.25,256.53,259.25,261.93,257.19,258.83,4.74,1.16,-0.33,1.5,19.93,1.2,fresh,0,False,10.2,2026-04-15T00:00:00-04:00,2026-04-15 00:00:00-04:00,,,2026-06-16T16:00:00-04:00,14,"1D,4H,3H,2H,90m,1H",1D demand 257.19-259.25 DBR; 1D demand 256.53-258.90 RBR; 4H demand 257.75-258.86 RBR; 4H demand 256.78-257.88 DBR; 3H demand 257.75-258.86 RBR; 3H demand 256.78-257.87 DBR; 3H demand 257.10-258.14 RBR; 2H demand 257.75-258.86 RBR; 2H demand 257.52-257.88 RBR; 2H demand 256.90-257.43 DBR; 90m demand 256.86-257.31 DBR; 90m demand 256.90-257.50 DBR; 1H demand 257.19-258.04 DBR; 1H demand 257.09-257.23 DBR,1D,2026-04-14T00:00:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,demand,DBR/RBR,2026-04-16T00:00:00-04:00,267.64,261.27,266.8,267.16,261.27,263.4,5.89,1.01,0.85,1.28,2.01,1.43,fresh,0,False,10.93,2026-04-17T00:00:00-04:00,2026-04-17 00:00:00-04:00,,2026-04-27T00:00:00-04:00,2026-06-16T16:00:00-04:00,15,"1D,4H,3H,2H,90m,1H",1D demand 261.27-266.80 RBR; 4H demand 263.26-263.59 RBR; 4H demand 265.87-266.38 DBR; 3H demand 263.26-263.53 RBR; 3H demand 266.09-267.64 RBR; 3H demand 265.87-266.22 DBR; 2H demand 263.26-263.59 DBR; 2H demand 266.09-266.35 DBR; 2H demand 265.87-266.38 DBR; 90m demand 266.09-266.83 DBR; 90m demand 263.09-263.52 RBR; 90m demand 265.40-266.73 DBR; 1H demand 263.26-263.63 DBR; 1H demand 261.27-262.24 DBR; 1H demand 266.06-266.38 RBR,1D,2026-04-16T00:00:00-04:00
AAPL,4H/3H/2H/90m/1H,demand,DBR/RBR,2026-04-29T14:30:00-04:00,271.92,268.2,269.73,270.5,269.37,270.19,1.13,0.52,0.3,0.66,3.01,0.96,fresh,0,False,9.09,2026-04-30T06:30:00-04:00,2026-04-30 06:30:00-04:00,,,2026-06-16T16:00:00-04:00,9,"4H,3H,2H,90m,1H",4H demand 269.37-270.19 RBR; 3H demand 269.37-270.20 DBR; 2H demand 269.37-270.19 RBR; 2H demand 269.64-269.83 DBR; 90m demand 269.61-270.19 RBR; 90m demand 270.73-271.92 RBR; 90m demand 268.20-269.41 DBR; 1H demand 269.61-270.27 DBR; 1H demand 270.73-271.88 RBR,4H,2026-04-29T14:30:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,demand,DBR/RBR,2026-05-04T00:00:00-04:00,281.4,274.86,279.65,280.63,274.86,276.83,5.77,1.0,0.99,1.33,2.57,1.06,fresh,0,False,9.89,2026-05-05T00:00:00-04:00,2026-05-05 00:00:00-04:00,,,2026-06-16T16:00:00-04:00,9,"1D,4H,3H,2H,90m,1H",1D demand 274.86-279.65 RBR; 4H demand 276.26-276.84 RBR; 3H demand 276.26-277.06 DBR; 2H demand 276.26-276.84 RBR; 2H demand 279.71-281.40 RBR; 2H demand 275.43-276.27 DBR; 90m demand 276.47-276.84 RBR; 90m demand 279.71-281.18 RBR; 1H demand 276.51-277.08 DBR,1D,2026-05-04T00:00:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,demand,DBR/RBR,2026-06-10T00:00:00-04:00,291.58,283.41,290.74,294.75,287.38,291.58,7.37,1.04,-1.49,0.61,2.27,0.84,fresh,0,False,8.86,2026-06-11T00:00:00-04:00,2026-06-11 00:00:00-04:00,,2026-06-12T00:00:00-04:00,2026-06-16T16:00:00-04:00,25,"1D,4H,3H,2H,90m,1H",1D demand 287.38-291.58 DBR; 1D demand 285.78-289.27 RBR; 4H demand 290.19-291.07 RBR; 4H demand 287.38-290.77 DBR; 4H demand 285.78-288.28 DBR; 4H demand 283.41-284.26 RBR; 4H demand 286.67-287.55 RBR; 3H demand 289.62-291.48 DBR; 3H demand 285.78-288.76 DBR; 3H demand 287.38-290.77 DBR; 3H demand 286.57-287.55 RBR; 2H demand 290.19-291.07 RBR; 2H demand 285.78-288.28 DBR; 2H demand 283.41-284.26 RBR; 2H demand 283.88-286.26 RBR; 2H demand 286.67-287.55 RBR; 90m demand 290.19-291.07 RBR; 90m demand 285.78-287.46 DBR; 90m demand 283.41-284.21 RBR; 90m demand 287.04-287.55 RBR; 90m demand 283.88-286.13 RBR; 1H demand 290.19-291.07 RBR; 1H demand 286.28-287.46 DBR; 1H demand 289.59-291.19 RBR; 1H demand 288.44-289.99 RBR,1D,2026-06-10T00:00:00-04:00
AAPL,1D,demand,RBR,2026-05-11T00:00:00-04:00,292.68,290.23,291.98,293.88,290.23,292.68,3.65,0.86,0.91,0.37,3.2,0.93,multiple_tests,5,False,4.8,2026-05-12T00:00:00-04:00,2026-05-12 00:00:00-04:00,,2026-06-15T00:00:00-04:00,2026-06-16T16:00:00-04:00,1,1D,1D demand 290.23-292.68 RBR,1D,2026-05-11T00:00:00-04:00
AAPL,4H/3H/2H/90m/1H,demand,DBR/RBR,2026-06-15T10:30:00-04:00,298.93,294.96,295.71,297.78,294.96,295.07,2.82,0.95,0.8,0.29,2.25,0.53,fresh,0,False,6.96,2026-06-15T14:30:00-04:00,2026-06-15 14:30:00-04:00,,2026-06-16T06:30:00-04:00,2026-06-16T16:00:00-04:00,7,"4H,3H,2H,90m,1H",4H demand 294.96-295.71 RBR; 3H demand 294.96-296.66 DBR; 2H demand 298.57-298.93 RBR; 90m demand 296.95-298.17 RBR; 90m demand 295.61-296.51 RBR; 1H demand 295.61-296.51 RBR; 1H demand 298.22-298.72 DBR,4H,2026-06-15T10:30:00-04:00
AAPL,90m/1H,supply,DBD,2026-06-08T15:00:00-04:00,304.88,301.58,303.83,304.88,301.17,301.58,3.71,1.4,-3.74,-2.61,3.43,1.65,fresh,0,False,9.26,2026-06-09T09:00:00-04:00,2026-06-09 09:00:00-04:00,,,2026-06-16T16:00:00-04:00,2,"90m,1H",90m supply 301.58-304.88 DBD; 1H supply 301.58-303.24 DBD,90m,2026-06-08T15:00:00-04:00
AAPL,1D/4H/3H/2H/90m/1H,supply,DBD/RBD,2026-06-04T00:00:00-04:00,316.94,311.23,313.23,313.54,309.65,311.23,3.89,0.96,-0.75,-0.73,2.76,1.39,fresh,0,False,12.23,2026-06-05T00:00:00-04:00,2026-06-05 00:00:00-04:00,,2026-06-08T00:00:00-04:00,2026-06-16T16:00:00-04:00,12,"1D,4H,3H,2H,90m,1H",1D supply 311.23-313.54 DBD; 4H supply 314.18-316.94 DBD; 4H supply 312.84-315.17 RBD; 3H supply 314.18-316.94 DBD; 3H supply 312.84-315.17 RBD; 2H supply 311.96-315.36 RBD; 2H supply 314.18-316.94 DBD; 2H supply 312.84-315.17 RBD; 90m supply 313.62-314.99 RBD; 90m supply 314.18-316.94 DBD; 90m supply 313.42-314.75 RBD; 1H supply 313.68-314.69 RBD,1D,2026-06-04T00:00:00-04:00
AMD,1D,demand,DBR,2025-09-08T00:00:00-04:00,151.8,149.22,151.8,152.64,149.22,151.41,3.42,0.83,-1.87,0.8,9.82,0.85,one_test,1,False,6.15,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,2025-09-18T00:00:00-04:00,2026-06-16T16:00:00-04:00,1,1D,1D demand 149.22-151.80 DBR,1D,2025-09-08T00:00:00-04:00
