symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score,active_after_time,_active_after,broken_time,last_test_time,snapshot_as_of,confluence_count,confluence_timeframes,merged_from,primary_timeframe,primary_base_time
AAPL,1D,demand,DBR,2025-08-05T00:00:00-04:00,203.4,202.16,203.4,205.34,202.16,202.92,3.18,0.86,0.15,2.85,15.87,2.11,fresh,0,False,10.96,2025-08-06T00:00:00-04:00,2025-08-06 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,1,1D,1D demand 202.16-203.40 DBR,1D,2025-08-05T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-07T00:00:00-04:00,220.03,216.58,218.88,220.85,216.58,220.03,4.27,1.59,4.34,2.36,7.38,2.01,fresh,0,False,10.37,2025-08-08T00:00:00-04:00,2025-08-08 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,1,1D,1D demand 216.58-220.03 RBR,1D,2025-08-07T00:00:00-04:00
AAPL,1D,demand,RBR,2025-08-11T00:00:00-04:00,227.92,224.76,227.92,229.56,224.76,227.18,4.8,1.0,1.59,0.55,2.22,0.9,multiple_tests,3,False,5.45,2025-08-12T00:00:00-04:00,2025-08-12 00:00:00-04:00,,2025-09-11T00:00:00-04:00,2026-01-06T16:00:00-05:00,2,1D,1D demand 224.76-227.92 RBR; 1D demand 226.23-227.16 RBR,1D,2025-08-11T00:00:00-04:00
AAPL,1D,demand,DBR/RBR,2025-09-18T00:00:00-04:00,239.97,235.03,239.97,241.2,236.65,237.88,4.55,0.9,-0.07,1.97,2.05,3.34,fresh,0,False,11.47,2025-09-19T00:00:00-04:00,2025-09-19 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,2,1D,1D demand 236.65-239.97 DBR; 1D demand 235.03-237.00 RBR,1D,2025-09-18T00:00:00-04:00
AAPL,1D,demand,DBR,2025-10-16T00:00:00-04:00,248.25,245.13,248.25,249.04,245.13,247.45,3.91,0.76,-0.07,1.05,5.34,0.93,fresh,0,False,7.98,2025-10-17T00:00:00-04:00,2025-10-17 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,1,1D,1D demand 245.13-248.25 DBR,1D,2025-10-16T00:00:00-04:00
AAPL,1D,demand,DBR/RBR,2025-10-23T00:00:00-04:00,262.82,258.01,259.94,260.62,258.01,259.58,2.61,0.74,-0.69,0.7,4.53,0.86,fresh,0,False,8.06,2025-10-24T00:00:00-04:00,2025-10-24 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,2,1D,1D demand 258.01-259.94 DBR; 1D demand 259.18-262.82 RBR,1D,2025-10-23T00:00:00-04:00
AAPL,1D,supply,DBD,2025-12-30T00:00:00-05:00,274.08,272.81,272.81,274.08,272.28,273.08,1.8,0.52,-0.08,-0.3,4.44,0.64,one_test,1,False,5.44,2025-12-31T00:00:00-05:00,2025-12-31 00:00:00-05:00,,2026-01-02T00:00:00-05:00,2026-01-06T16:00:00-05:00,1,1D,1D supply 272.81-274.08 DBD,1D,2025-12-30T00:00:00-05:00
AAPL,1D,supply,DBD/RBD,2025-12-12T00:00:00-05:00,279.67,277.89,277.9,279.22,276.82,278.28,2.4,0.92,-0.1,-0.82,15.89,1.17,fresh,0,False,8.49,2025-12-15T00:00:00-05:00,2025-12-15 00:00:00-05:00,,,2026-01-06T16:00:00-05:00,2,1D,1D supply 277.90-279.22 RBD; 1D supply 277.89-279.67 DBD,1D,2025-12-12T00:00:00-05:00
AMD,1D,demand,DBR,2025-09-08T00:00:00-04:00,151.8,149.22,151.8,152.64,149.22,151.41,3.42,0.83,-1.87,0.8,9.82,0.85,one_test,1,False,6.15,2025-09-09T00:00:00-04:00,2025-09-09 00:00:00-04:00,,2025-09-18T00:00:00-04:00,2026-01-06T16:00:00-05:00,1,1D,1D demand 149.22-151.80 DBR,1D,2025-09-08T00:00:00-04:00
AMD,1D,demand,DBR,2025-09-17T00:00:00-04:00,159.28,155.76,159.28,161.63,155.76,159.16,5.87,0.98,-0.39,-0.24,58.0,1.98,multiple_tests,2,False,6.22,2025-09-18T00:00:00-04:00,2025-09-18 00:00:00-04:00,,2025-09-26T00:00:00-04:00,2026-01-06T16:00:00-05:00,2,1D,1D demand 155.76-159.28 DBR; 1D demand 155.90-157.39 DBR,1D,2025-09-17T00:00:00-04:00
AMD,1D,demand,RBR,2025-09-30T00:00:00-04:00,161.79,159.33,160.79,162.28,159.33,161.79,2.95,0.68,0.46,0.43,3.1,0.91,fresh,0,False,7.34,2025-10-01T00:00:00-04:00,2025-10-01 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,1,1D,1D demand 159.33-161.79 RBR,1D,2025-09-30T00:00:00-04:00
AMD,1D,demand,DBR,2025-11-21T00:00:00-05:00,208.81,195.0,208.81,208.83,195.0,203.78,13.83,1.21,-1.51,0.86,2.24,0.84,multiple_tests,7,False,5.2,2025-11-24T00:00:00-05:00,2025-11-24 00:00:00-05:00,,2025-12-19T00:00:00-05:00,2026-01-06T16:00:00-05:00,1,1D,1D demand 195.00-208.81 DBR,1D,2025-11-21T00:00:00-05:00
AMD,1D,demand,DBR,2025-12-18T00:00:00-05:00,203.81,200.5,203.81,206.36,200.5,201.06,5.86,0.81,-0.84,1.28,3.21,1.6,fresh,0,False,8.88,2025-12-19T00:00:00-05:00,2025-12-19 00:00:00-05:00,,,2026-01-06T16:00:00-05:00,1,1D,1D demand 200.50-203.81 DBR,1D,2025-12-18T00:00:00-05:00
AMD,1D,demand,DBR,2025-12-31T00:00:00-05:00,215.81,213.03,215.81,217.64,213.8,214.16,3.84,0.67,-0.21,1.37,2.76,1.38,one_test,1,False,7.75,2026-01-02T00:00:00-05:00,2026-01-02 00:00:00-05:00,,2026-01-06T00:00:00-05:00,2026-01-06T16:00:00-05:00,2,1D,1D demand 213.80-215.81 DBR; 1D demand 213.03-215.43 DBR,1D,2025-12-31T00:00:00-05:00
AMD,1D,supply,RBD,2026-01-02T00:00:00-05:00,227.15,218.9,218.9,227.15,218.9,223.47,8.25,1.36,1.18,-0.35,2.01,1.19,one_test,1,False,6.04,2026-01-05T00:00:00-05:00,2026-01-05 00:00:00-05:00,,2026-01-06T00:00:00-05:00,2026-01-06T16:00:00-05:00,1,1D,1D supply 218.90-227.15 RBD,1D,2026-01-02T00:00:00-05:00
AMD,1D,supply,DBD,2025-11-17T00:00:00-05:00,248.77,240.52,242.75,248.77,237.15,240.52,11.62,0.69,-0.64,-0.88,2.92,0.83,fresh,0,False,7.71,2025-11-18T00:00:00-05:00,2025-11-18 00:00:00-05:00,,,2026-01-06T16:00:00-05:00,1,1D,1D supply 240.52-248.77 DBD,1D,2025-11-17T00:00:00-05:00
AMD,1D,supply,RBD,2025-11-03T00:00:00-05:00,260.91,259.33,259.33,260.91,253.89,259.65,7.02,0.52,0.43,-0.85,30.0,0.8,multiple_tests,3,False,5.15,2025-11-04T00:00:00-05:00,2025-11-04 00:00:00-05:00,,2025-11-13T00:00:00-05:00,2026-01-06T16:00:00-05:00,1,1D,1D supply 259.33-260.91 RBD,1D,2025-11-03T00:00:00-05:00
AMD,1D,supply,RBD,2025-10-29T00:00:00-04:00,267.08,264.19,264.19,267.08,257.4,264.33,9.68,0.6,0.4,-0.81,36.29,0.55,fresh,0,False,7.36,2025-10-30T00:00:00-04:00,2025-10-30 00:00:00-04:00,,,2026-01-06T16:00:00-05:00,1,1D,1D supply 264.19-267.08 RBD,1D,2025-10-29T00:00:00-04:00
