symbol,timeframe,zone_type,pattern,base_time,zone_top,zone_bottom,base_open,base_high,base_low,base_close,base_range,base_volume_ratio,prior_atr,departure_atr,departure_body_vs_base_body,departure_volume_ratio,freshness,tests,broken,quality_score
NVDA,90m,demand,DBR,2026-01-22T14:00:00-05:00,184.46,184.09,184.46,184.86,184.09,184.11,0.77,0.57,-0.43,0.37,2.14,0.33,broken,0,True,1.45
NVDA,90m,demand,RBR,2026-01-23T11:00:00-05:00,187.77,187.13,187.77,188.24,187.13,187.74,1.11,0.78,1.46,0.17,10.7,0.61,broken,3,True,1.52
NVDA,90m,supply,RBD,2026-01-23T12:30:00-05:00,188.22,187.75,187.75,188.22,187.15,188.07,1.07,0.61,0.15,-0.43,2.66,0.62,broken,2,True,1.79
NVDA,90m,supply,DBD,2026-01-26T09:30:00-05:00,189.12,187.17,187.17,189.12,186.85,187.27,2.27,1.42,0.03,-0.31,6.1,0.79,broken,0,True,1.86
NVDA,90m,supply,RBD,2026-01-27T14:00:00-05:00,189.72,189.34,189.34,189.72,188.95,189.43,0.77,0.87,-0.18,-0.63,11.09,0.48,broken,0,True,1.87
NVDA,90m,supply,DBD,2026-01-28T15:30:00-05:00,191.79,191.53,191.62,191.79,190.84,191.53,0.95,0.51,-0.27,-3.52,54.56,2.44,broken,0,True,6.71
NVDA,90m,demand,RBR,2026-01-29T14:00:00-05:00,190.94,190.02,190.51,191.45,190.02,190.94,1.43,0.85,0.76,0.81,3.43,0.71,broken,2,True,2.26
NVDA,90m,supply,DBD,2026-02-02T15:30:00-05:00,186.31,185.69,186.19,186.31,184.88,185.69,1.43,0.74,-1.77,-2.03,11.05,2.34,broken,1,True,5.12
NVDA,90m,supply,DBD,2026-02-03T11:00:00-05:00,180.83,180.0,180.76,180.83,179.08,180.0,1.75,1.14,-2.17,-0.6,2.07,0.95,broken,1,True,2.29
NVDA,90m,demand,DBR,2026-02-03T14:00:00-05:00,178.7,176.23,178.42,179.52,176.23,178.7,3.29,1.28,-0.47,0.59,5.9,0.56,broken,0,True,1.9
NVDA,90m,demand,DBR,2026-02-05T15:30:00-05:00,172.26,171.03,172.26,172.53,171.03,171.89,1.5,0.53,-0.47,3.9,16.61,2.38,broken,3,True,7.04
NVDA,90m,demand,RBR,2026-02-06T12:30:00-05:00,184.57,184.21,184.53,185.17,184.21,184.57,0.96,0.78,0.56,0.25,19.38,0.78,broken,1,True,1.78
NVDA,90m,demand,RBR,2026-02-06T15:30:00-05:00,185.41,185.2,185.33,187.0,185.2,185.41,1.8,0.65,0.28,2.21,96.44,2.31,broken,0,True,5.27
NVDA,90m,supply,RBD,2026-02-09T11:00:00-05:00,192.52,191.59,191.98,192.52,191.31,191.59,1.22,0.78,2.0,-0.27,2.12,0.51,broken,10,True,1.53
NVDA,90m,supply,DBD,2026-02-09T15:30:00-05:00,190.5,189.79,189.89,190.5,189.53,189.79,0.97,0.42,-0.33,0.09,13.5,1.37,broken,2,True,2.2
NVDA,90m,supply,DBD,2026-02-11T12:30:00-05:00,192.28,191.77,191.98,192.28,190.97,191.77,1.31,0.55,0.07,-0.28,3.38,0.52,broken,3,True,1.55
NVDA,90m,supply,RBD,2026-02-12T12:30:00-05:00,190.53,189.56,189.56,190.53,188.54,189.86,1.99,0.9,0.27,-0.96,7.66,0.78,broken,9,True,2.49
NVDA,90m,supply,DBD,2026-02-12T15:30:00-05:00,187.98,186.91,187.6,187.98,186.51,186.91,1.47,0.6,-1.23,-1.51,6.1,2.16,broken,1,True,4.42
NVDA,90m,supply,RBD,2026-02-13T12:30:00-05:00,184.98,184.21,184.56,184.98,183.46,184.21,1.52,0.62,0.41,-0.85,5.34,0.79,broken,1,True,2.39
NVDA,90m,supply,DBD,2026-02-17T14:00:00-05:00,187.15,185.42,185.47,187.15,185.33,185.42,1.82,0.81,0.28,-0.16,7.6,0.48,broken,0,True,1.39
NVDA,90m,demand,DBR,2026-02-17T15:30:00-05:00,185.41,184.35,185.41,185.53,184.35,185.03,1.18,0.48,-0.19,1.99,2.96,1.91,broken,4,True,4.65
NVDA,90m,supply,DBD,2026-02-18T12:30:00-05:00,189.69,188.8,189.14,189.69,188.2,188.8,1.5,0.6,-0.45,-0.78,5.38,0.96,broken,0,True,2.49
NVDA,90m,demand,RBR,2026-02-19T14:00:00-05:00,186.8,186.33,186.71,187.06,186.33,186.8,0.73,0.64,0.08,0.51,12.93,0.36,broken,1,True,1.63
NVDA,90m,supply,RBD,2026-02-20T15:30:00-05:00,190.0,189.42,189.42,190.0,189.37,189.81,0.63,0.47,-0.0,0.2,3.15,2.22,broken,0,True,3.18
NVDA,90m,demand,DBR,2026-02-23T14:00:00-05:00,190.91,190.19,190.91,191.26,190.19,190.89,1.07,0.75,-0.03,0.4,37.5,0.52,broken,1,True,1.67
NVDA,90m,demand,RBR,2026-02-24T15:30:00-05:00,192.81,192.66,192.79,193.77,192.66,192.81,1.11,0.54,0.1,1.8,116.33,2.32,broken,0,True,4.87
NVDA,90m,supply,RBD,2026-02-25T14:00:00-05:00,197.45,196.62,196.62,197.45,196.61,196.9,0.84,0.97,-0.24,-0.53,3.67,0.81,broken,0,True,2.09
NVDA,90m,supply,DBD,2026-02-25T15:30:00-05:00,197.21,195.88,196.89,197.21,195.52,195.88,1.69,0.79,-0.38,-4.92,7.86,4.74,broken,1,True,7.75
NVDA,90m,supply,DBD,2026-02-26T11:00:00-05:00,187.97,186.33,186.33,187.97,185.85,187.57,2.12,1.52,-3.8,-1.08,1.89,1.26,broken,6,True,3.09
NVDA,90m,supply,RBD,2026-02-26T15:30:00-05:00,185.55,184.68,184.68,185.55,184.34,184.87,1.21,0.7,-0.15,-1.43,17.66,2.12,broken,1,True,4.3
NVDA,90m,supply,DBD,2026-02-27T14:00:00-05:00,179.7,178.38,178.38,179.7,178.1,178.9,1.6,0.88,-0.42,-0.73,3.35,0.98,broken,0,True,2.46
NVDA,90m,demand,RBR,2026-03-02T14:00:00-05:00,182.15,181.65,182.07,183.05,181.65,182.15,1.41,0.53,-0.34,0.08,2.37,0.35,broken,0,True,1.17
NVDA,90m,demand,RBR,2026-03-04T11:00:00-05:00,182.82,181.8,182.82,183.34,181.8,182.49,1.54,0.66,1.0,0.83,6.15,0.7,broken,3,True,2.28
NVDA,90m,demand,DBR,2026-03-04T15:30:00-05:00,183.07,182.6,183.07,183.34,182.6,182.9,0.74,0.49,-0.69,0.43,15.71,1.45,broken,0,True,2.63
NVDA,90m,supply,DBD,2026-03-06T12:30:00-05:00,181.82,180.87,181.13,181.82,180.52,180.87,1.3,0.71,-0.5,-1.72,14.09,1.09,broken,1,True,3.56
NVDA,90m,demand,DBR,2026-03-06T15:30:00-05:00,177.69,176.82,177.13,178.38,176.82,177.69,1.56,0.83,-1.36,0.18,2.27,1.23,broken,3,True,2.16
NVDA,90m,demand,DBR,2026-03-09T13:30:00-04:00,179.4,179.02,179.4,180.49,179.02,179.33,1.47,0.67,-0.18,1.49,47.16,1.2,broken,0,True,3.43
NVDA,90m,supply,RBD,2026-03-10T12:00:00-04:00,186.22,185.93,185.93,186.22,185.04,186.13,1.18,0.71,0.91,-0.77,8.54,0.84,broken,0,True,2.36
NVDA,90m,demand,DBR,2026-03-10T15:00:00-04:00,184.76,183.25,184.38,185.03,183.25,184.76,1.78,0.94,-0.59,0.92,2.72,1.18,broken,1,True,2.85
NVDA,90m,demand,DBR,2026-03-11T13:30:00-04:00,185.62,184.45,185.62,185.74,184.45,185.6,1.29,0.63,0.0,0.19,27.0,0.54,broken,0,True,1.48
NVDA,90m,supply,RBD,2026-03-11T15:00:00-04:00,186.04,185.6,185.6,186.04,185.23,186.01,0.81,0.54,0.2,-1.93,4.8,1.15,broken,2,True,3.82
NVDA,90m,supply,DBD,2026-03-12T15:00:00-04:00,183.67,183.01,183.09,183.67,182.72,183.01,0.95,0.75,-0.39,0.48,12.47,1.26,broken,1,True,2.49
NVDA,90m,demand,RBR,2026-03-16T10:30:00-04:00,184.11,183.31,184.07,184.94,183.31,184.11,1.63,1.09,2.18,0.37,15.54,0.85,broken,1,True,1.97
NVDA,90m,supply,DBD,2026-03-17T13:30:00-04:00,183.47,182.34,182.41,183.47,182.31,182.34,1.16,0.73,0.08,-0.18,5.29,0.76,broken,8,True,1.69
NVDA,90m,supply,RBD,2026-03-18T10:30:00-04:00,183.24,182.28,182.28,183.24,181.84,182.47,1.4,0.97,0.25,-0.2,2.11,0.61,broken,4,True,1.56
NVDA,90m,supply,DBD,2026-03-18T12:00:00-04:00,182.85,182.07,182.47,182.85,181.83,182.07,1.02,0.62,-0.1,-0.42,2.11,0.81,broken,4,True,1.98
NVDA,90m,supply,DBD,2026-03-18T15:00:00-04:00,181.68,180.35,181.22,181.68,180.33,180.35,1.35,0.78,-0.83,-1.33,3.17,1.47,broken,1,True,3.55
NVDA,90m,supply,DBD,2026-03-19T15:00:00-04:00,179.98,178.5,178.65,179.98,177.91,178.5,2.07,0.97,-0.02,-1.36,15.59,1.68,broken,0,True,3.79
NVDA,90m,supply,DBD,2026-03-20T10:30:00-04:00,176.25,175.75,175.75,176.25,175.0,175.86,1.25,1.08,-1.29,-0.39,7.19,0.6,broken,0,True,1.74
NVDA,90m,supply,DBD,2026-03-20T12:00:00-04:00,176.45,175.07,175.86,176.45,175.03,175.07,1.42,0.61,-0.33,-0.79,2.03,0.94,broken,0,True,2.47
NVDA,90m,demand,DBR,2026-03-20T15:00:00-04:00,173.46,171.72,173.46,173.76,171.72,173.0,2.04,1.24,-1.16,2.74,10.58,1.45,broken,3,True,4.94
NVDA,90m,demand,DBR,2026-03-23T12:00:00-04:00,175.28,174.76,175.12,175.89,174.76,175.28,1.13,0.87,-1.45,0.73,8.16,0.7,broken,0,True,2.18
NVDA,90m,demand,DBR,2026-03-24T15:00:00-04:00,175.49,174.86,175.49,175.76,174.86,175.31,0.9,0.66,0.34,2.65,16.44,1.45,broken,0,True,4.85
NVDA,90m,supply,RBD,2026-03-25T15:00:00-04:00,179.12,178.31,178.31,179.12,177.83,178.67,1.29,0.62,-0.14,-2.12,3.64,1.14,broken,0,True,4.01
NVDA,90m,supply,DBD,2026-03-26T10:30:00-04:00,175.16,174.66,174.81,175.16,173.01,174.66,2.15,1.37,-2.22,-0.62,7.19,0.76,broken,0,True,2.13
NVDA,90m,supply,DBD,2026-03-27T15:00:00-04:00,167.93,167.46,167.46,167.93,167.01,167.46,0.92,0.95,-0.22,-0.32,187.5,1.35,broken,1,True,2.41
NVDA,90m,supply,RBD,2026-03-30T10:30:00-04:00,168.25,166.92,166.92,168.25,166.27,167.36,1.98,1.2,-0.06,-0.82,3.35,0.88,broken,0,True,2.46
NVDA,90m,demand,DBR,2026-03-30T15:00:00-04:00,165.28,164.27,165.28,165.54,164.27,165.06,1.27,0.99,-0.45,3.27,18.18,1.34,fresh,0,False,8.35
NVDA,90m,demand,RBR,2026-03-31T10:30:00-04:00,170.98,169.56,170.98,171.38,169.56,169.84,1.82,1.15,2.61,1.87,3.03,1.43,fresh,0,False,7.05
NVDA,90m,demand,RBR,2026-03-31T15:00:00-04:00,174.31,173.58,173.71,174.62,173.58,174.31,1.04,0.99,0.52,0.95,3.15,1.22,multiple_tests,3,False,3.42
NVDA,90m,demand,RBR,2026-04-01T09:00:00-04:00,176.2,174.75,176.0,176.6,174.75,176.2,1.85,1.21,1.24,0.45,4.58,0.94,broken,2,True,2.14
NVDA,90m,supply,DBD,2026-04-01T12:00:00-04:00,177.37,176.66,177.11,177.37,176.61,176.66,0.76,0.58,0.24,-0.62,2.7,0.73,broken,3,True,2.1
NVDA,90m,demand,DBR,2026-04-01T15:00:00-04:00,175.8,175.4,175.46,176.32,175.4,175.8,0.92,0.66,-0.45,-0.91,5.49,1.27,broken,3,True,2.93
NVDA,90m,demand,RBR,2026-04-02T13:30:00-04:00,176.84,176.11,176.79,177.15,176.11,176.84,1.04,0.49,0.17,0.28,10.18,0.62,broken,4,True,1.65
NVDA,90m,demand,DBR,2026-04-06T09:00:00-04:00,177.11,175.76,177.11,177.79,175.76,176.78,2.03,1.03,-0.03,0.35,2.0,0.72,broken,3,True,1.82
NVDA,90m,demand,DBR,2026-04-07T13:30:00-04:00,175.39,174.98,175.39,176.18,174.98,175.24,1.2,0.67,0.01,1.84,18.42,1.02,fresh,0,False,6.61
NVDA,90m,demand,DBR,2026-04-08T13:30:00-04:00,181.44,181.1,181.44,182.18,181.1,181.17,1.08,0.7,-0.28,0.55,3.47,0.77,multiple_tests,2,False,2.58
NVDA,90m,demand,DBR,2026-04-09T09:00:00-04:00,181.84,180.62,181.84,182.3,180.62,181.62,1.68,1.14,0.28,1.11,8.23,1.2,fresh,0,False,6.06
NVDA,90m,demand,RBR,2026-04-09T13:30:00-04:00,183.47,182.92,183.46,183.74,182.92,183.47,0.82,0.64,0.03,0.25,25.99,0.77,fresh,0,False,4.77
NVDA,90m,demand,RBR,2026-04-09T15:00:00-04:00,183.86,183.44,183.47,184.08,183.44,183.86,0.64,0.77,0.26,2.56,9.02,1.89,fresh,0,False,8.2
NVDA,90m,demand,DBR,2026-04-10T12:00:00-04:00,188.44,187.93,188.44,188.78,187.93,188.15,0.85,0.85,0.2,0.39,2.18,0.68,multiple_tests,6,False,2.31
NVDA,90m,demand,DBR,2026-04-10T15:00:00-04:00,188.78,188.11,188.78,189.75,188.11,188.64,1.64,0.99,0.29,-0.13,17.07,1.4,multiple_tests,4,False,2.78
NVDA,90m,demand,DBR,2026-04-13T12:00:00-04:00,188.27,187.85,188.27,188.65,187.85,188.21,0.8,0.74,-0.13,0.2,5.23,0.61,fresh,0,False,4.56
NVDA,90m,demand,RBR,2026-04-13T15:00:00-04:00,189.21,188.39,188.54,189.46,188.39,189.21,1.07,0.78,0.64,2.33,2.92,1.71,fresh,0,False,7.79
NVDA,90m,demand,RBR,2026-04-14T13:30:00-04:00,194.94,194.39,194.73,194.95,194.39,194.94,0.56,0.59,0.62,1.05,7.51,1.31,broken,7,True,3.1
NVDA,90m,supply,RBD,2026-04-15T10:30:00-04:00,200.4,199.26,199.26,200.4,199.02,199.69,1.38,1.52,2.07,-1.76,6.4,1.16,broken,2,True,3.68
NVDA,90m,demand,DBR,2026-04-15T13:30:00-04:00,197.31,195.74,196.96,197.71,195.74,197.31,1.97,0.84,-1.36,0.89,4.37,0.91,broken,5,True,2.55
NVDA,90m,demand,DBR,2026-04-16T09:00:00-04:00,197.43,195.81,197.43,197.8,195.81,197.37,1.99,1.14,0.03,0.92,26.5,1.04,broken,4,True,2.71
NVDA,90m,demand,RBR,2026-04-16T15:00:00-04:00,198.24,198.03,198.12,198.8,198.03,198.24,0.78,0.73,-0.1,1.22,3.8,1.91,broken,6,True,3.88
NVDA,90m,supply,RBD,2026-04-17T10:30:00-04:00,201.4,200.38,200.38,201.4,200.02,200.41,1.38,0.96,1.26,-0.31,17.67,0.88,broken,1,True,1.93
NVDA,90m,supply,RBD,2026-04-21T09:00:00-04:00,202.75,201.89,202.15,202.75,200.84,201.89,1.91,1.0,0.64,-0.68,4.5,0.75,broken,7,True,2.18
NVDA,90m,demand,DBR,2026-04-22T13:30:00-04:00,201.75,201.52,201.75,202.49,201.52,201.59,0.97,0.72,0.24,0.54,5.29,0.81,broken,1,True,2.09
NVDA,90m,supply,DBD,2026-04-23T10:30:00-04:00,203.11,201.49,201.79,203.11,201.18,201.49,1.93,1.03,-0.58,-1.28,6.76,0.89,broken,1,True,2.92
NVDA,90m,supply,RBD,2026-04-24T12:00:00-04:00,210.95,209.12,209.12,210.95,208.33,209.33,2.62,1.64,3.05,-0.5,5.14,0.97,broken,3,True,2.22
NVDA,90m,supply,DBD,2026-04-24T15:00:00-04:00,209.28,208.19,208.23,209.28,207.54,208.19,1.74,1.12,-0.51,0.22,25.13,1.7,broken,0,True,2.67
NVDA,90m,demand,DBR,2026-04-28T12:00:00-04:00,210.79,209.31,209.76,210.96,209.31,210.79,1.65,0.7,-0.55,1.13,3.18,0.79,broken,3,True,2.66
NVDA,90m,supply,DBD,2026-04-29T10:30:00-04:00,211.95,210.66,211.11,211.95,210.18,210.66,1.77,0.72,-0.82,-0.4,2.7,0.62,broken,0,True,1.77
NVDA,90m,supply,RBD,2026-04-29T15:00:00-04:00,209.5,208.96,208.96,209.5,208.54,209.35,0.96,0.55,-0.03,-2.93,23.88,1.87,broken,0,True,5.55
NVDA,90m,supply,DBD,2026-04-30T10:30:00-04:00,202.46,200.61,200.61,202.46,198.7,200.66,3.76,1.51,-2.74,-0.06,3.45,0.92,broken,4,True,1.73
NVDA,90m,demand,DBR,2026-04-30T12:00:00-04:00,200.67,199.32,200.67,201.05,199.32,200.48,1.73,0.93,-0.04,0.43,7.08,0.85,broken,1,True,2.04
NVDA,90m,demand,DBR,2026-05-01T10:30:00-04:00,199.31,197.12,199.31,200.05,197.12,199.13,2.93,1.02,-0.12,0.23,4.17,0.52,broken,3,True,1.5
NVDA,90m,supply,RBD,2026-05-01T12:00:00-04:00,200.2,199.12,199.12,200.2,198.48,199.85,1.72,0.53,0.18,-0.49,2.05,0.49,broken,5,True,1.74
NVDA,90m,supply,DBD,2026-05-01T15:00:00-04:00,199.92,198.36,198.36,199.92,198.18,198.39,1.74,0.66,-0.49,-0.34,70.83,1.13,broken,6,True,2.22
NVDA,90m,supply,RBD,2026-05-04T15:00:00-04:00,199.18,198.23,198.23,199.18,197.75,198.56,1.43,0.56,0.44,-0.01,2.35,1.09,broken,2,True,1.85
NVDA,90m,supply,RBD,2026-05-05T12:00:00-04:00,198.5,197.42,197.42,198.5,197.15,197.78,1.35,0.54,-0.26,-0.37,2.89,0.54,broken,0,True,1.66
NVDA,90m,demand,DBR,2026-05-05T15:00:00-04:00,196.72,196.03,196.72,196.89,196.03,196.5,0.86,0.64,-0.46,2.65,18.0,1.97,broken,1,True,5.37
NVDA,90m,demand,RBR,2026-05-06T12:00:00-04:00,205.07,203.95,204.82,205.8,203.95,205.07,1.85,0.75,0.43,0.62,6.52,0.91,broken,2,True,2.27
NVDA,90m,demand,RBR,2026-05-06T15:00:00-04:00,207.65,206.51,206.69,208.26,206.51,207.65,1.75,1.11,0.97,2.06,5.06,2.0,broken,2,True,4.8
NVDA,90m,supply,RBD,2026-05-07T13:30:00-04:00,213.26,211.95,211.95,213.26,211.44,212.35,1.82,0.76,-0.12,-0.28,2.1,0.68,broken,0,True,1.71
NVDA,90m,demand,DBR,2026-05-07T15:00:00-04:00,212.36,211.23,212.36,212.92,211.23,211.52,1.69,0.68,-0.16,1.28,2.74,1.62,broken,1,True,3.64
NVDA,90m,supply,RBD,2026-05-08T12:00:00-04:00,216.18,215.49,215.49,216.18,215.01,215.68,1.17,0.59,0.14,-0.21,3.32,0.52,broken,1,True,1.48
NVDA,90m,demand,RBR,2026-05-08T15:00:00-04:00,215.19,214.68,215.06,215.82,214.68,215.19,1.14,0.71,-0.18,1.01,31.38,1.83,broken,4,True,3.59
NVDA,90m,demand,DBR,2026-05-12T12:00:00-04:00,217.72,215.53,216.91,218.26,215.53,217.72,2.73,0.84,-0.37,0.55,2.22,0.65,broken,4,True,1.95
NVDA,90m,demand,RBR,2026-05-12T15:00:00-04:00,220.91,219.53,219.53,221.74,219.53,220.91,2.21,0.78,0.98,1.08,2.55,1.48,broken,4,True,3.32
NVDA,90m,demand,DBR,2026-05-13T15:00:00-04:00,226.45,225.08,226.45,227.16,225.08,225.83,2.08,0.66,-0.36,2.31,5.13,1.89,broken,3,True,4.96
NVDA,90m,demand,DBR,2026-05-14T12:00:00-04:00,234.88,232.68,234.88,236.0,232.68,234.12,3.32,0.9,0.34,0.59,2.58,0.72,broken,0,True,2.06
NVDA,90m,supply,RBD,2026-05-14T15:00:00-04:00,236.54,235.75,236.07,236.54,235.14,235.75,1.4,0.73,0.48,-2.72,9.78,1.84,fresh,0,False,8.31
NVDA,90m,supply,DBD,2026-05-15T13:30:00-04:00,231.5,228.99,229.16,231.5,228.15,228.99,3.35,0.79,0.27,-1.12,21.14,0.92,multiple_tests,2,False,3.28
NVDA,90m,supply,DBD,2026-05-18T10:30:00-04:00,223.43,222.5,222.81,223.43,220.41,222.5,3.02,1.04,-0.82,-0.3,3.45,0.73,broken,4,True,1.78
NVDA,90m,supply,RBD,2026-05-19T13:30:00-04:00,224.13,222.48,223.33,224.13,222.07,222.48,2.06,0.6,0.5,-0.51,2.18,0.81,broken,0,True,2.07
NVDA,90m,demand,DBR,2026-05-19T15:00:00-04:00,222.48,219.0,222.48,222.78,219.0,220.63,3.78,0.8,-0.73,0.99,2.01,1.35,broken,2,True,3.09
NVDA,90m,supply,DBD,2026-05-20T12:00:00-04:00,225.3,224.92,224.95,225.3,223.5,224.92,1.8,0.67,0.16,-0.61,72.67,0.79,broken,1,True,2.15
NVDA,90m,supply,DBD,2026-05-20T15:00:00-04:00,223.65,222.75,222.75,223.65,222.33,223.44,1.32,0.96,-0.41,-1.24,4.91,2.72,broken,0,True,4.71
NVDA,90m,demand,DBR,2026-05-21T10:30:00-04:00,219.39,217.93,218.93,220.33,217.93,219.39,2.4,1.39,-1.09,0.47,3.7,0.88,broken,2,True,2.1
NVDA,90m,supply,DBD,2026-05-21T15:00:00-04:00,220.63,219.07,219.07,220.63,218.89,219.5,1.74,0.83,-0.45,-0.87,10.64,1.74,broken,0,True,3.36
NVDA,90m,supply,RBD,2026-05-22T12:00:00-04:00,218.49,217.31,217.31,218.49,216.41,218.24,2.08,0.72,0.55,-0.66,2.43,0.89,broken,6,True,2.29
NVDA,90m,supply,RBD,2026-05-26T09:00:00-04:00,217.7,216.57,216.57,217.7,214.28,217.57,3.42,1.43,0.49,-1.35,4.44,1.3,broken,5,True,3.41
NVDA,90m,demand,DBR,2026-05-26T13:30:00-04:00,213.64,212.9,213.64,214.45,212.9,213.25,1.55,0.61,0.02,0.5,4.03,0.72,broken,0,True,1.96
NVDA,90m,demand,DBR,2026-05-27T10:30:00-04:00,209.93,208.78,209.93,210.39,208.78,209.84,1.61,0.94,-1.62,0.69,24.71,0.75,broken,1,True,2.19
NVDA,90m,demand,DBR,2026-05-27T15:00:00-04:00,212.82,212.0,212.82,213.3,212.0,212.58,1.3,0.55,0.2,-0.04,4.9,1.05,broken,4,True,1.84
NVDA,90m,demand,DBR,2026-05-28T10:30:00-04:00,212.46,211.51,212.46,213.32,211.51,212.26,1.81,0.83,-0.12,0.35,4.82,0.68,broken,1,True,1.78
NVDA,90m,demand,RBR,2026-05-28T15:00:00-04:00,214.39,212.08,214.39,214.57,212.08,214.26,2.49,0.5,0.39,0.63,10.39,1.45,broken,1,True,2.82
NVDA,90m,supply,RBD,2026-05-29T13:30:00-04:00,217.48,216.28,216.28,217.48,215.29,216.7,2.19,0.73,0.65,-2.15,13.21,1.85,broken,0,True,4.75
NVDA,90m,demand,RBR,2026-06-01T15:00:00-04:00,224.43,222.4,223.99,224.87,222.4,224.43,2.47,0.85,0.82,1.35,3.02,1.99,broken,3,True,4.09
NVDA,90m,supply,DBD,2026-06-02T15:00:00-04:00,224.37,222.64,222.64,224.37,221.35,222.81,3.02,0.68,-0.4,-1.97,32.82,1.62,fresh,0,False,7.34
NVDA,90m,supply,RBD,2026-06-03T13:30:00-04:00,216.23,215.77,215.77,216.23,215.23,216.1,1.0,0.44,-0.23,-0.33,3.61,0.79,broken,0,True,1.87
NVDA,90m,supply,DBD,2026-06-04T15:00:00-04:00,221.6,218.72,220.49,221.6,218.55,218.72,3.05,0.68,-0.04,-2.14,4.21,1.19,fresh,0,False,7.07
NVDA,90m,supply,DBD,2026-06-05T15:00:00-04:00,206.76,205.11,205.89,206.76,204.33,205.11,2.43,1.17,-0.76,0.78,2.99,1.06,broken,0,True,2.59
NVDA,90m,supply,DBD,2026-06-08T15:00:00-04:00,208.95,208.64,208.82,208.95,207.37,208.64,1.58,0.55,0.01,-0.53,20.58,1.1,broken,0,True,2.38
NVDA,90m,supply,DBD,2026-06-10T09:00:00-04:00,207.22,204.43,204.43,207.22,204.25,206.19,2.97,1.09,-0.27,-0.81,1.55,1.23,broken,7,True,2.79
NVDA,90m,demand,RBR,2026-06-11T13:30:00-04:00,202.85,201.64,202.82,204.47,201.64,202.85,2.83,0.99,0.48,0.57,60.0,1.09,broken,3,True,2.41
NVDA,90m,demand,RBR,2026-06-12T15:00:00-04:00,205.14,203.91,204.66,205.29,203.91,205.14,1.38,0.61,0.03,1.33,8.86,1.22,broken,1,True,3.31
NVDA,90m,demand,RBR,2026-06-15T09:00:00-04:00,209.4,208.34,208.92,210.99,208.34,209.4,2.65,1.22,1.54,0.94,6.05,1.14,broken,4,True,2.83
NVDA,90m,supply,RBD,2026-06-15T15:00:00-04:00,212.6,212.29,212.29,212.6,211.0,212.45,1.6,0.78,-0.03,-1.32,13.13,1.24,one_test,1,False,4.82
NVDA,90m,supply,DBD,2026-06-16T13:30:00-04:00,209.82,209.0,209.09,209.82,208.76,209.0,1.06,0.49,-0.08,-0.69,15.8,0.86,broken,3,True,2.3
NVDA,90m,supply,DBD,2026-06-17T09:00:00-04:00,209.21,207.9,208.59,209.21,206.74,207.9,2.47,1.01,-0.48,-0.65,2.16,1.08,broken,3,True,2.48
