test_date,zone_snapshot_as_of,preopen_context_as_of,symbol,prior_rth_close,preopen_price,preopen_price_as_of,preopen_price_session,preopen_gap_pct,preopen_gap_direction,preopen_gap_abs,preopen_move_direction,preopen_move_strength,preopen_volume_state,preopen_vpa_state,preopen_price_vs_9ema,preopen_price_vs_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,NVDA,235.75,229.8025,2026-05-15T08:00:00-04:00,Premarket,-2.523,Gap down,-5.947,Bearish,impulsive,high_volume,absorption_possible,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,AMD,449.69,433.97,2026-05-15T08:00:00-04:00,Premarket,-3.496,Gap down,-15.72,Bearish,impulsive,high_volume,high_volume,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,AVGO,439.69,429.0,2026-05-15T08:00:00-04:00,Premarket,-2.431,Gap down,-10.69,Bearish,impulsive,high_volume,high_volume,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,TSLA,443.18,434.0,2026-05-15T08:00:00-04:00,Premarket,-2.071,Gap down,-9.18,Bearish,impulsive,elevated_volume,absorption_possible,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,META,618.43,608.13,2026-05-15T08:00:00-04:00,Premarket,-1.666,Gap down,-10.3,Bearish,directional,high_volume,absorption_possible,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,AMZN,267.25,262.9778,2026-05-15T08:00:00-04:00,Premarket,-1.599,Gap down,-4.272,Bearish,directional,high_volume,absorption_possible,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,MSFT,409.54,412.0,2026-05-15T08:00:00-04:00,Premarket,0.601,Flat / no meaningful gap,2.46,Bullish,grinding,high_volume,absorption_possible,above_9ema,above_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,PLTR,133.74,132.31,2026-05-15T08:00:00-04:00,Premarket,-1.069,Gap down,-1.43,Bearish,directional,high_volume,absorption_possible,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,AAPL,298.18,294.82,2026-05-15T08:00:00-04:00,Premarket,-1.127,Gap down,-3.36,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-05-15,2026-05-14T16:00:00-04:00,2026-05-15T08:00:00-04:00,GOOGL,401.08,393.8,2026-05-15T08:00:00-04:00,Premarket,-1.815,Gap down,-7.28,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
