status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,INTC,110.43,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBR/RBR,demand,111.02,109.15,109.15,111.02,109.15,0.0,fresh,Fresh / untested (0 tests),0,3.24,Excellent,1.61,9.36,Excellent,12.35,"2H/1H supply @ 116.21 (RR 3.09, fresh, tests 0, quality 9.5)",3.09,3.09,9.46,116.21,,1:3.09–1:9.13,"T1: 2H/1H supply @ 116.21 (RR 3.09, fresh, tests 0, quality 9.5) | T2: 3H/2H/90m/1H supply @ 120.26 (RR 5.26, fresh, tests 0, quality 15.3) | T3: 4H/2H/90m supply @ 127.51 (RR 9.13, fresh, tests 0, quality 14.5)","2H/1H supply @ 116.21 (RR 3.09, fresh, tests 0, quality 9.5)",3.09,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 120.26 (RR 5.26, fresh, tests 0, quality 15.3)",5.26,fresh,0.0,hard_target,"4H/2H/90m supply @ 127.51 (RR 9.13, fresh, tests 0, quality 14.5)",9.13,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A+,7,"1D,4H,3H,2H,90m,1H",1D demand 109.15-111.02 DBR; 4H demand 109.15-109.61 DBR; 3H demand 109.15-110.06 DBR; 2H demand 109.15-109.61 DBR; 90m demand 109.15-109.61 RBR; 1H demand 109.25-109.61 RBR; 1H demand 109.15-109.40 DBR,1D,109.15,111.02,1D/4H/3H/2H/90m/1H,containing_price,0.0,116.21,117.85,2H/1H,above_price,5.23,inside_demand,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,115.92,-5.49,-4.736,Gap down,large_gap,Bearish,-5.137,impulsive,below_9ema,below_vwap,115.975,116.025,1.79,high_volume,absorption_possible,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 100%, breaks 0% (5 tests)",15.0,84.0,"structure mixed; testing demand; possible absorption; gap into demand; gap down -4.74%; Demand history: holds 100%, breaks 0% (5 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Priority movement watch,eligible_pre_grade,9.246,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.09 (Strong 1:2.5–1:3.99); range 1:3.09–1:9.13,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,INTC,110.43,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m/1H,DBR/RBR,demand,111.02,109.15,109.15,109.15,111.02,0.0,fresh,Fresh / untested (0 tests),0,3.24,Excellent,1.61,9.36,Excellent,12.35,"1D demand @ 95.60 (RR 7.93, one_test, tests 1, quality 11.2)",6.0,7.93,11.24,95.6,,1:7.93–1:22.88,"T1: 1D demand @ 95.60 (RR 7.93, one_test, tests 1, quality 11.2) | T2: 4H/3H/2H/90m demand @ 94.57 (RR 8.48, fresh, tests 0, quality 15.6) | T3: 4H/2H/90m demand @ 84.54 (RR 13.84, fresh, tests 0, quality 16.1) | T4: 3H/2H/90m/1H demand @ 82.81 (RR 14.77, fresh, tests 0, quality 14.3) | T5: 4H/3H/2H demand @ 67.64 (RR 22.88, fresh, tests 0, quality 18.9)","1D demand @ 95.60 (RR 7.93, one_test, tests 1, quality 11.2)",7.93,one_test,1.0,hard_target,"4H/3H/2H/90m demand @ 94.57 (RR 8.48, fresh, tests 0, quality 15.6)",8.48,fresh,0.0,hard_target,"4H/2H/90m demand @ 84.54 (RR 13.84, fresh, tests 0, quality 16.1)",13.84,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,7,"1D,4H,3H,2H,90m,1H",1D demand 109.15-111.02 DBR; 4H demand 109.15-109.61 DBR; 3H demand 109.15-110.06 DBR; 2H demand 109.15-109.61 DBR; 90m demand 109.15-109.61 RBR; 1H demand 109.25-109.61 RBR; 1H demand 109.15-109.40 DBR,1D,109.15,111.02,1D/4H/3H/2H/90m/1H,containing_price,0.0,116.21,117.85,2H/1H,above_price,5.23,inside_demand,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,115.92,-5.49,-4.736,Gap down,large_gap,Bearish,-5.137,impulsive,below_9ema,below_vwap,115.975,116.025,1.79,high_volume,absorption_possible,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 100%, breaks 0% (5 tests)",-15.0,54.0,"structure mixed; testing demand; possible absorption; gap into demand; gap down -4.74%; Demand history: holds 100%, breaks 0% (5 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Research / monitor only,eligible_pre_grade,9.5,A+,Excellent 1:4.0+,rr-excellent,T1 1:7.93 (Excellent 1:4.0+); range 1:7.93–1:13.84,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,ARM,218.5,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,223.29,217.71,217.71,223.29,217.71,0.0,fresh,Fresh / untested (0 tests),0,-0.38,Weak,0.55,3.72,Weak,7.62,"4H/1H supply @ 237.12 (RR 3.34, fresh, tests 0, quality 16.3)",3.34,3.34,16.34,237.12,,1:3.34,"T1: 4H/1H supply @ 237.12 (RR 3.34, fresh, tests 0, quality 16.3)","4H/1H supply @ 237.12 (RR 3.34, fresh, tests 0, quality 16.3)",3.34,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,6,"4H,3H,2H,90m,1H",4H/3H/2H/90m/1H demand 217.71-223.29 RR 3.34; 4H/3H/2H/90m/1H demand 213.23-219.23 RR 3.10,4H,213.23,219.23,4H/3H/2H/90m/1H,containing_price,0.0,237.12,239.5,4H/1H,above_price,8.52,inside_demand,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,228.545,-10.045,-4.395,Gap down,large_gap,Bearish,-2.933,impulsive,below_9ema,below_vwap,227.214,228.248,3.839,high_volume,high_volume,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 33%, breaks 67% (6 tests)",-6.67,54.3,"structure mixed; testing demand; gap into demand; gap down -4.39%; Demand history: holds 33%, breaks 67% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,eligible_pre_grade,8.905,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.34 (Strong 1:2.5–1:3.99); range 1:3.34–1:3.34,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2
Immediate,HIMS,23.79,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m,DBR,demand,24.08,23.37,23.37,23.37,24.08,0.0,fresh,Fresh / untested (0 tests),0,0.45,Weak,1.0,11.75,Average,7.95,"4H/3H/2H/90m/1H demand @ 21.88 (RR 2.69, fresh, tests 0, quality 19.5)",2.69,2.69,19.49,21.88,,1:2.69–1:5.41,"T1: 4H/3H/2H/90m/1H demand @ 21.88 (RR 2.69, fresh, tests 0, quality 19.5) | T2: 1D demand @ 21.75 (RR 2.87, fresh, tests 0, quality 15.9) | T3: 3H demand @ 21.41 (RR 3.35, one_test, tests 1, quality 7.2) | T4: 90m/1H demand @ 21.38 (RR 3.39, one_test, tests 1, quality 7.9) | T5: 1D demand @ 19.95 (RR 5.41, fresh, tests 0, quality 14.2)","4H/3H/2H/90m/1H demand @ 21.88 (RR 2.69, fresh, tests 0, quality 19.5)",2.69,fresh,0.0,hard_target,"1D demand @ 21.75 (RR 2.87, fresh, tests 0, quality 15.9)",2.87,fresh,0.0,hard_target,"3H demand @ 21.41 (RR 3.35, one_test, tests 1, quality 7.2)",3.35,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,4,"4H,3H,2H,90m",4H demand 23.38-24.08 DBR; 3H demand 23.38-24.08 DBR; 2H demand 23.38-24.08 DBR; 90m demand 23.37-23.73 DBR,4H,23.37,24.08,4H/3H/2H/90m,containing_price,0.0,24.5,24.8,2H,above_price,2.98,inside_demand,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,24.25,-0.46,-1.897,Gap down,moderate_gap,Bearish,-2.46,impulsive,below_9ema,below_vwap,24.333,24.244,3.294,high_volume,volume_expansion_with_direction,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 25%, breaks 75% (4 tests)",10.0,83.0,"structure mixed; testing demand; volume expansion; gap into demand; gap down -1.90%; Demand history: holds 25%, breaks 75% (4 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.601,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.69 (Strong 1:2.5–1:3.99); range 1:2.69–1:3.35,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,ANET,145.05,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D/4H/3H/2H/90m/1H,DBR/RBR,demand,145.89,144.6,144.6,145.89,144.6,0.0,fresh,Fresh / untested (0 tests),0,0.51,Weak,0.81,7.09,Weak,7.32,"1H supply @ 171.97 (RR 20.87, fresh, tests 0, quality 9.5)",6.0,20.87,9.51,171.97,,1:20.87–1:24.68,"T1: 1H supply @ 171.97 (RR 20.87, fresh, tests 0, quality 9.5) | T2: 1D supply @ 172.62 (RR 21.37, fresh, tests 0, quality 14.5) | T3: 1D/4H/3H/2H/90m/1H supply @ 172.64 (RR 21.39, fresh, tests 0, quality 17.2) | T4: 3H/2H/90m/1H supply @ 176.89 (RR 24.68, one_test, tests 1, quality 10.0)","1H supply @ 171.97 (RR 20.87, fresh, tests 0, quality 9.5)",20.87,fresh,0.0,hard_target,"1D supply @ 172.62 (RR 21.37, fresh, tests 0, quality 14.5)",21.37,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 172.64 (RR 21.39, fresh, tests 0, quality 17.2)",21.39,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,4,"1D,4H,3H,2H,90m,1H",3H/2H/1H demand 144.60-145.89 RR 6.00; 1D demand 140.30-144.80 RR 5.67; 4H/3H/90m/1H demand 137.55-141.48 RR 3.59,3H,144.6,145.89,3H/2H/1H,containing_price,0.0,171.97,172.59,1H,above_price,18.56,inside_demand,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,147.78,-2.73,-1.847,Gap down,moderate_gap,Bearish,-1.588,directional,below_9ema,below_vwap,147.425,147.656,3.191,high_volume,high_volume,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 50%, breaks 33% (6 tests)",3.33,64.3,"structure mixed; testing demand; gap into demand; gap down -1.85%; Demand history: holds 50%, breaks 33% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.732,A,Excellent 1:4.0+,rr-excellent,T1 1:20.87 (Excellent 1:4.0+); range 1:20.87–1:21.39,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,3
Immediate,RBLX,43.11,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,2H/90m/1H,RBR,demand,43.34,43.0,43.0,43.34,43.0,0.0,fresh,Fresh / untested (0 tests),0,0.59,Weak,1.02,5.6,Average,7.11,"1D supply @ 44.29 (RR 3.47, fresh, tests 0, quality 14.3)",3.47,3.47,14.29,44.29,,1:3.47–1:37.47,"T1: 1D supply @ 44.29 (RR 3.47, fresh, tests 0, quality 14.3) | T2: 4H/3H/2H/90m supply @ 44.48 (RR 4.03, fresh, tests 0, quality 15.1) | T3: 2H/90m/1H supply @ 45.23 (RR 6.23, fresh, tests 0, quality 12.1) | T4: 3H/90m/1H supply @ 47.61 (RR 13.23, fresh, tests 0, quality 12.3) | T5: 4H/2H/90m/1H supply @ 55.85 (RR 37.47, fresh, tests 0, quality 16.2)","1D supply @ 44.29 (RR 3.47, fresh, tests 0, quality 14.3)",3.47,fresh,0.0,hard_target,"4H/3H/2H/90m supply @ 44.48 (RR 4.03, fresh, tests 0, quality 15.1)",4.03,fresh,0.0,hard_target,"2H/90m/1H supply @ 45.23 (RR 6.23, fresh, tests 0, quality 12.1)",6.23,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,4,"2H,90m,1H",2H demand 43.00-43.18 RBR; 90m demand 43.08-43.28 RBR; 1H demand 43.16-43.34 RBR; 1H demand 43.08-43.18 RBR,2H,43.0,43.34,2H/90m/1H,containing_price,0.0,44.29,45.98,1D,above_price,2.74,inside_demand,2026-05-15T07:45:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 07:45 AM EDT,43.73,-0.619,-1.415,Gap down,small_gap,Bearish,-0.768,directional,below_9ema,below_vwap,43.478,43.709,3.907,high_volume,volume_expansion_with_direction,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 0%, breaks 100% (3 tests)",-15.0,58.0,"structure mixed; testing demand; volume expansion; gap into demand; gap down -1.42%; Demand history: holds 0%, breaks 100% (3 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.777,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.47 (Strong 1:2.5–1:3.99); range 1:3.47–1:6.23,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,RBLX,43.11,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,RBR,demand,43.34,43.0,43.0,43.0,43.34,0.0,fresh,Fresh / untested (0 tests),0,0.59,Weak,1.02,5.6,Average,7.11,"4H/3H/2H demand @ 42.13 (RR 2.89, fresh, tests 0, quality 14.9)",2.89,2.89,14.93,42.13,,1:2.89–1:5.86,"T1: 4H/3H/2H demand @ 42.13 (RR 2.89, fresh, tests 0, quality 14.9) | T2: 4H/3H demand @ 41.12 (RR 5.86, fresh, tests 0, quality 12.8)","4H/3H/2H demand @ 42.13 (RR 2.89, fresh, tests 0, quality 14.9)",2.89,fresh,0.0,hard_target,"4H/3H demand @ 41.12 (RR 5.86, fresh, tests 0, quality 12.8)",5.86,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,4,"2H,90m,1H",2H demand 43.00-43.18 RBR; 90m demand 43.08-43.28 RBR; 1H demand 43.16-43.34 RBR; 1H demand 43.08-43.18 RBR,2H,43.0,43.34,2H/90m/1H,containing_price,0.0,44.29,45.98,1D,above_price,2.74,inside_demand,2026-05-15T07:45:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 07:45 AM EDT,43.73,-0.619,-1.415,Gap down,small_gap,Bearish,-0.768,directional,below_9ema,below_vwap,43.478,43.709,3.907,high_volume,volume_expansion_with_direction,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 0%, breaks 100% (3 tests)",15.0,88.0,"structure mixed; testing demand; volume expansion; gap into demand; gap down -1.42%; Demand history: holds 0%, breaks 100% (3 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.511,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.89 (Strong 1:2.5–1:3.99); range 1:2.89–1:5.86,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,NOW,92.25,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/2H/1H,DBD/RBD,supply,92.44,91.12,92.44,91.12,92.44,0.0,one_test,One successful retest (1 tests),1,-0.55,Weak,0.86,7.05,Weak,5.41,"1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.78, fresh, tests 0, quality 17.3)",2.78,2.78,17.31,88.58,,1:2.78–1:7.02,"T1: 1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.78, fresh, tests 0, quality 17.3) | T2: 4H/3H/2H demand @ 87.09 (RR 3.91, fresh, tests 0, quality 14.3) | T3: 90m/1H demand @ 82.99 (RR 7.02, fresh, tests 0, quality 13.5)","1D/4H/3H/2H/90m/1H demand @ 88.58 (RR 2.78, fresh, tests 0, quality 17.3)",2.78,fresh,0.0,hard_target,"4H/3H/2H demand @ 87.09 (RR 3.91, fresh, tests 0, quality 14.3)",3.91,fresh,0.0,hard_target,"90m/1H demand @ 82.99 (RR 7.02, fresh, tests 0, quality 13.5)",7.02,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,5,"4H,2H,1H",4H supply 91.18-91.57 RBD; 2H supply 92.23-92.44 RBD; 2H supply 91.18-91.57 DBD; 1H supply 91.86-92.38 RBD; 1H supply 91.12-92.00 RBD,4H,86.01,88.58,1D/4H/3H/2H/90m/1H,below_price,3.98,91.12,92.44,4H/2H/1H,containing_price,0.0,inside_supply,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,90.52,1.73,1.911,Gap up,moderate_gap,Bullish,1.273,directional,above_9ema,above_vwap,90.793,90.599,3.091,high_volume,high_volume,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 25%, breaks 50% (4 tests)",-5.0,56.0,"structure mixed; testing supply; gap into supply; gap up 1.91%; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,eligible_pre_grade,7.721,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.78 (Strong 1:2.5–1:3.99); range 1:2.78–1:7.02,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Near-Term,NET,197.0,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,193.82,191.78,191.78,193.82,191.78,1.61,fresh,Fresh / untested (0 tests),0,0.4,Weak,0.24,22.63,Weak,7.14,"1D/4H/2H/90m supply @ 252.00 (RR 10.54, fresh, tests 0, quality 21.9)",6.0,10.54,21.85,252.0,,1:10.54,"T1: 1D/4H/2H/90m supply @ 252.00 (RR 10.54, fresh, tests 0, quality 21.9)","1D/4H/2H/90m supply @ 252.00 (RR 10.54, fresh, tests 0, quality 21.9)",10.54,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,3H,2H,90m,1H",4H/2H/90m/1H demand 191.78-193.82 RR 6.00; 4H/3H/2H/90m/1H demand 186.57-191.15 RR 5.27,4H,191.78,193.82,4H/2H/90m/1H,below_price,1.61,193.52,204.27,1D,containing_price,0.0,inside_supply,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,199.76,-2.76,-1.382,Gap down,small_gap,Bearish,-2.267,impulsive,below_9ema,below_vwap,200.459,199.452,3.673,high_volume,absorption_possible,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,approaching_demand_with_weakness,"Demand history: holds 33%, breaks 67% (6 tests)",-6.67,70.3,"structure mixed; approaching demand with weakness; possible absorption; gap into supply; gap down -1.38%; Demand history: holds 33%, breaks 67% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Priority movement watch,eligible_pre_grade,9.124,A+,Excellent 1:4.0+,rr-excellent,T1 1:10.54 (Excellent 1:4.0+); range 1:10.54–1:10.54,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2
Near-Term,MSFT,412.0,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,3H/90m/1H,DBR/RBR,demand,409.18,406.9,406.9,406.9,409.18,1.24,fresh,Fresh / untested (0 tests),0,0.09,Weak,0.76,2.28,Weak,6.35,"1D/4H/3H/2H/90m/1H demand @ 405.33 (RR 2.93, fresh, tests 0, quality 16.7)",2.93,2.93,16.73,405.33,,1:2.93–1:21.98,"T1: 1D/4H/3H/2H/90m/1H demand @ 405.33 (RR 2.93, fresh, tests 0, quality 16.7) | T2: 1D/4H/3H/2H/1H demand @ 394.16 (RR 7.82, fresh, tests 0, quality 19.8) | T3: 2H/90m/1H demand @ 384.37 (RR 12.12, fresh, tests 0, quality 15.2) | T4: 1D/4H/3H/2H/90m/1H demand @ 373.49 (RR 16.89, fresh, tests 0, quality 18.4) | T5: 1D/4H/3H/2H/90m/1H demand @ 361.89 (RR 21.98, fresh, tests 0, quality 18.3)","1D/4H/3H/2H/90m/1H demand @ 405.33 (RR 2.93, fresh, tests 0, quality 16.7)",2.93,fresh,0.0,hard_target,"1D/4H/3H/2H/1H demand @ 394.16 (RR 7.82, fresh, tests 0, quality 19.8)",7.82,fresh,0.0,hard_target,"2H/90m/1H demand @ 384.37 (RR 12.12, fresh, tests 0, quality 15.2)",12.12,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,3,"3H,90m,1H",3H demand 406.90-409.08 RBR; 90m demand 408.25-409.05 DBR; 1H demand 408.50-409.18 DBR,3H,406.9,409.18,3H/90m/1H,below_price,0.68,407.85,412.69,4H/3H/2H/90m,containing_price,0.0,inside_supply,2026-05-15T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-05-15 08:00 AM EDT,409.54,2.46,0.601,Flat / no meaningful gap,flat,Bullish,0.593,grinding,above_9ema,above_vwap,409.38,409.383,2.383,high_volume,absorption_possible,Premarket,2026-05-15T08:00:00-04:00,preopen,gap_into_supply,Demand Breakdown Watch,bouncing_from_demand,"Demand history: holds 33%, breaks 67% (3 tests)",6.67,83.7,"structure mixed; bouncing from demand; possible absorption; gap into supply; Demand history: holds 33%, breaks 67% (3 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.572,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.93 (Strong 1:2.5–1:3.99); range 1:2.93–1:12.12,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
