test_date,zone_snapshot_as_of,preopen_context_as_of,symbol,prior_rth_close,preopen_price,preopen_price_as_of,preopen_price_session,preopen_gap_pct,preopen_gap_direction,preopen_gap_abs,preopen_move_direction,preopen_move_strength,preopen_volume_state,preopen_vpa_state,preopen_price_vs_9ema,preopen_price_vs_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,NVDA,198.96,200.84,2026-06-25T08:00:00-04:00,Premarket,0.945,Gap up,1.88,Bullish,directional,high_volume,high_volume,above_9ema,above_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,AMD,519.48,539.02,2026-06-25T08:00:00-04:00,Premarket,3.761,Gap up,19.54,Bullish,impulsive,high_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,AVGO,382.11,386.73,2026-06-25T08:00:00-04:00,Premarket,1.209,Gap up,4.62,Bullish,impulsive,high_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,TSLA,375.3903,376.2396,2026-06-25T08:00:00-04:00,Premarket,0.226,Flat / no meaningful gap,0.849,Sideways,grinding,elevated_volume,elevated_volume,above_9ema,above_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,META,557.73,555.4844,2026-06-25T08:00:00-04:00,Premarket,-0.403,Flat / no meaningful gap,-2.246,Bearish,grinding,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,AMZN,234.27,233.06,2026-06-25T08:00:00-04:00,Premarket,-0.516,Flat / no meaningful gap,-1.21,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,MSFT,365.45,363.83,2026-06-25T08:00:00-04:00,Premarket,-0.443,Flat / no meaningful gap,-1.62,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,PLTR,113.44,112.25,2026-06-25T08:00:00-04:00,Premarket,-1.049,Gap down,-1.19,Bearish,directional,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,AAPL,293.07,291.1299,2026-06-25T08:00:00-04:00,Premarket,-0.662,Flat / no meaningful gap,-1.94,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-06-25,2026-06-24T16:00:00-04:00,2026-06-25T08:00:00-04:00,GOOGL,345.28,340.84,2026-06-25T08:00:00-04:00,Premarket,-1.286,Gap down,-4.44,Bearish,grinding,high_volume,absorption_possible,below_9ema,below_vwap
