test_date,zone_snapshot_as_of,preopen_context_as_of,symbol,prior_rth_close,preopen_price,preopen_price_as_of,preopen_price_session,preopen_gap_pct,preopen_gap_direction,preopen_gap_abs,preopen_move_direction,preopen_move_strength,preopen_volume_state,preopen_vpa_state,preopen_price_vs_9ema,preopen_price_vs_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,NVDA,188.11,189.56,2026-01-06T08:00:00-05:00,Premarket,0.771,Gap up,1.45,Bullish,directional,elevated_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,AMD,221.06,222.85,2026-01-06T08:00:00-05:00,Premarket,0.81,Gap up,1.79,Bullish,directional,high_volume,high_volume,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,AVGO,343.36,343.81,2026-01-06T08:00:00-05:00,Premarket,0.131,Flat / no meaningful gap,0.45,Bullish,grinding,high_volume,high_volume,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,TSLA,451.69,450.0,2026-01-06T08:00:00-05:00,Premarket,-0.374,Flat / no meaningful gap,-1.69,Bearish,directional,high_volume,high_volume,below_9ema,below_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,META,658.8,656.9,2026-01-06T08:00:00-05:00,Premarket,-0.288,Flat / no meaningful gap,-1.9,Sideways,grinding,high_volume,high_volume,below_9ema,below_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,AMZN,233.05,233.79,2026-01-06T08:00:00-05:00,Premarket,0.318,Flat / no meaningful gap,0.74,Sideways,grinding,high_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,MSFT,472.92,472.86,2026-01-06T08:00:00-05:00,Premarket,-0.013,Flat / no meaningful gap,-0.06,Sideways,sideways,high_volume,high_volume,below_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,PLTR,174.04,175.5388,2026-01-06T08:00:00-05:00,Premarket,0.861,Gap up,1.499,Bullish,grinding,high_volume,high_volume,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,AAPL,267.26,267.1,2026-01-06T08:00:00-05:00,Premarket,-0.06,Flat / no meaningful gap,-0.16,Sideways,sideways,high_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,GOOGL,316.69,316.74,2026-01-06T08:00:00-05:00,Premarket,0.016,Flat / no meaningful gap,0.05,Sideways,grinding,high_volume,volume_expansion_with_direction,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,NFLX,91.46,91.75,2026-01-06T08:00:00-05:00,Premarket,0.317,Flat / no meaningful gap,0.29,Sideways,grinding,high_volume,absorption_possible,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,COST,875.68,875.0,2026-01-06T08:00:00-05:00,Premarket,-0.078,Flat / no meaningful gap,-0.68,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,INTC,39.36,39.91,2026-01-06T08:00:00-05:00,Premarket,1.397,Gap up,0.55,Bullish,directional,high_volume,absorption_possible,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,MU,312.15,317.1,2026-01-06T08:00:00-05:00,Premarket,1.586,Gap up,4.95,Bullish,impulsive,high_volume,high_volume,above_9ema,above_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,CRM,256.27,255.32,2026-01-06T08:00:00-05:00,Premarket,-0.371,Flat / no meaningful gap,-0.95,Bearish,grinding,high_volume,volume_expansion_with_direction,below_9ema,below_vwap
2026-01-06,2026-01-05T16:00:00-05:00,2026-01-06T08:00:00-05:00,PANW,182.15,182.33,2026-01-06T08:00:00-05:00,Premarket,0.099,Flat / no meaningful gap,0.18,Sideways,sideways,high_volume,volume_expansion_with_direction,below_9ema,above_vwap
