status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,NET,211.0,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,212.25,206.57,206.57,212.25,206.57,0.0,fresh,Fresh / untested (0 tests),0,0.76,Weak,0.45,2.93,Weak,7.71,"1D supply @ 234.95 (RR 4.22, fresh, tests 0, quality 14.1)",4.22,4.22,14.06,234.95,,1:4.22,"T1: 1D supply @ 234.95 (RR 4.22, fresh, tests 0, quality 14.1)","1D supply @ 234.95 (RR 4.22, fresh, tests 0, quality 14.1)",4.22,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,8,"4H,3H,2H,90m,1H",4H demand 206.57-208.85 RBR; 3H demand 209.02-212.25 RBR; 3H demand 206.57-209.45 RBR; 2H demand 206.57-208.85 DBR; 2H demand 209.01-210.85 RBR; 90m demand 206.57-207.56 DBR; 1H demand 206.60-207.55 RBR; 1H demand 210.28-211.06 RBR,4H,206.57,212.25,4H/3H/2H/90m/1H,containing_price,0.0,209.95,215.38,1D/90m/1H,containing_price,0.0,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,212.9,-1.9,-0.892,Gap down,small_gap,Bearish,-0.626,grinding,below_9ema,below_vwap,211.763,212.618,3.006,high_volume,volume_expansion_with_direction,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 33%, breaks 67% (6 tests)",-6.67,66.3,"structure mixed; testing demand; volume expansion; gap into supply; gap down -0.89%; Demand history: holds 33%, breaks 67% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.928,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.22 (Excellent 1:4.0+); range 1:4.22–1:4.22,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,HIMS,27.36,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/2H/90m/1H,DBD/RBD,supply,27.54,26.76,27.54,26.76,27.54,0.0,fresh,Fresh / untested (0 tests),0,-0.59,Weak,0.63,41.87,Weak,7.38,"4H demand @ 23.50 (RR 4.95, fresh, tests 0, quality 13.6)",4.95,4.95,13.57,23.5,,1:4.95–1:6.65,"T1: 4H demand @ 23.50 (RR 4.95, fresh, tests 0, quality 13.6) | T2: 1H demand @ 23.50 (RR 4.95, fresh, tests 0, quality 11.6) | T3: 90m demand @ 23.20 (RR 5.33, one_test, tests 1, quality 6.5) | T4: 2H demand @ 22.97 (RR 5.63, one_test, tests 1, quality 7.1) | T5: 4H/1H demand @ 22.17 (RR 6.65, fresh, tests 0, quality 15.1)","4H demand @ 23.50 (RR 4.95, fresh, tests 0, quality 13.6)",4.95,fresh,0.0,hard_target,"1H demand @ 23.50 (RR 4.95, fresh, tests 0, quality 11.6)",4.95,fresh,0.0,hard_target,"90m demand @ 23.20 (RR 5.33, one_test, tests 1, quality 6.5)",5.33,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,5,"4H,2H,90m,1H",4H supply 27.11-27.40 DBD; 2H supply 26.76-27.54 RBD; 2H supply 27.01-27.40 RBD; 90m supply 27.11-27.40 RBD; 1H supply 26.87-27.54 DBD,4H,23.27,23.5,1H,below_price,14.11,26.76,27.54,4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,25.88,1.48,5.719,Gap up,large_gap,Bullish,3.245,impulsive,above_9ema,above_vwap,26.031,25.949,1.664,elevated_volume,elevated_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 60%, breaks 40% (5 tests)",4.0,65.0,"structure mixed; testing supply; gap into supply; gap up 5.72%; Supply history: rejects 60%, breaks 40% (5 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,eligible_pre_grade,8.845,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.95 (Excellent 1:4.0+); range 1:4.95–1:5.33,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Immediate,CRWD,438.97,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/2H/90m/1H,DBD/RBD,supply,447.24,438.85,447.24,447.24,438.85,0.0,multiple_tests,Multiple retests (2 tests),2,-1.11,Moderate,1.4,12.34,Strong,7.51,"1D supply @ 469.19 (RR 3.60, fresh, tests 0, quality 15.7)",3.6,3.6,15.72,469.19,,1:3.60–1:8.87,"T1: 1D supply @ 469.19 (RR 3.60, fresh, tests 0, quality 15.7) | T2: 1D/4H/2H/90m/1H supply @ 476.00 (RR 4.41, fresh, tests 0, quality 17.0) | T3: 1D supply @ 486.48 (RR 5.66, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T4: 1D supply @ 504.78 (RR 7.84, fresh, tests 0, quality 13.8) | T5: 1D supply @ 513.37 (RR 8.87, fresh, tests 0, quality 14.7)","1D supply @ 469.19 (RR 3.60, fresh, tests 0, quality 15.7)",3.6,fresh,0.0,hard_target,"1D/4H/2H/90m/1H supply @ 476.00 (RR 4.41, fresh, tests 0, quality 17.0)",4.41,fresh,0.0,hard_target,"1D supply @ 486.48 (RR 5.66, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",5.66,multiple_tests,4.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A,5,"1D,2H,90m,1H",1D supply 438.85-447.24 DBD; 2H supply 444.85-447.08 DBD; 90m supply 445.45-446.50 DBD; 1H supply 443.53-446.90 DBD; 1H supply 445.69-447.08 RBD,1D,436.21,440.49,3H/1H,containing_price,0.0,438.85,447.24,1D/2H/90m/1H,containing_price,0.0,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,442.115,-3.145,-0.711,Flat / no meaningful gap,flat,Sideways,-0.463,grinding,below_9ema,below_vwap,440.814,441.99,3.383,high_volume,high_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 0%, breaks 0% (1 tests)",0.0,61.0,"structure mixed; testing supply; gap into supply; Supply history: rejects 0%, breaks 0% (1 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,8.277,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.60 (Strong 1:2.5–1:3.99); range 1:3.60–1:5.66,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,NET,211.0,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/90m/1H,DBD/RBD,supply,215.38,209.95,215.38,215.38,209.95,0.0,multiple_tests,Multiple retests (2 tests),2,-0.93,Weak,1.37,17.22,Strong,6.8,"1D supply @ 234.95 (RR 4.41, fresh, tests 0, quality 14.1)",4.41,4.41,14.06,234.95,,1:4.41,"T1: 1D supply @ 234.95 (RR 4.41, fresh, tests 0, quality 14.1)","1D supply @ 234.95 (RR 4.41, fresh, tests 0, quality 14.1)",4.41,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,3,"1D,90m,1H",1D supply 209.95-215.24 DBD; 90m supply 212.25-215.38 RBD; 1H supply 212.25-215.38 RBD,1D,206.57,212.25,4H/3H/2H/90m/1H,containing_price,0.0,209.95,215.38,1D/90m/1H,containing_price,0.0,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,212.9,-1.9,-0.892,Gap down,small_gap,Bearish,-0.626,grinding,below_9ema,below_vwap,211.763,212.618,3.006,high_volume,volume_expansion_with_direction,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,73.0,"structure mixed; testing supply; volume expansion; gap into supply; gap down -0.89%; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Priority movement watch,eligible_pre_grade,7.95,A,Excellent 1:4.0+,rr-excellent,T1 1:4.41 (Excellent 1:4.0+); range 1:4.41–1:4.41,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,ANET,136.92,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1H,RBR,demand,137.17,136.34,136.34,136.34,137.17,0.0,fresh,Fresh / untested (0 tests),0,1.35,Moderate,1.41,6.1,Strong,6.26,"2H/90m/1H demand @ 134.56 (RR 2.84, fresh, tests 0, quality 12.2)",2.84,2.84,12.18,134.56,,1:2.84–1:14.24,"T1: 2H/90m/1H demand @ 134.56 (RR 2.84, fresh, tests 0, quality 12.2) | T2: 4H/3H/2H/90m demand @ 130.94 (RR 7.20, fresh, tests 0, quality 14.7) | T3: 1D demand @ 130.25 (RR 8.04, multiple_tests, tests 6, quality -999.0, soft obstacle: 4plus_tests) | T4: 1D/3H/2H/90m demand @ 125.33 (RR 13.96, fresh, tests 0, quality 17.7) | T5: 4H demand @ 125.10 (RR 14.24, fresh, tests 0, quality 13.5)","2H/90m/1H demand @ 134.56 (RR 2.84, fresh, tests 0, quality 12.2)",2.84,fresh,0.0,hard_target,"4H/3H/2H/90m demand @ 130.94 (RR 7.20, fresh, tests 0, quality 14.7)",7.2,fresh,0.0,hard_target,"1D demand @ 130.25 (RR 8.04, multiple_tests, tests 6, quality -999.0, soft obstacle: 4plus_tests)",8.04,multiple_tests,6.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H demand 136.34-137.17 RBR,1H,136.34,137.17,1H,containing_price,0.0,137.23,141.35,1D/2H/90m/1H,above_price,0.23,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,138.28,-1.36,-0.984,Gap down,small_gap,Bearish,-1.443,directional,below_9ema,below_vwap,138.474,138.347,4.315,high_volume,high_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 50%, breaks 33% (6 tests)",-3.33,57.7,"structure mixed; testing demand; gap into demand; gap down -0.98%; Demand history: holds 50%, breaks 33% (6 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,7.519,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.84 (Strong 1:2.5–1:3.99); range 1:2.84–1:8.04,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,CRWD,438.97,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/90m/1H,DBR/RBR,demand,440.49,436.21,436.21,440.49,436.21,0.0,fresh,Fresh / untested (0 tests),0,0.21,Weak,0.47,3.31,Weak,5.68,"1D supply @ 469.19 (RR 7.06, fresh, tests 0, quality 15.7)",6.0,7.06,15.72,469.19,,1:7.06–1:17.38,"T1: 1D supply @ 469.19 (RR 7.06, fresh, tests 0, quality 15.7) | T2: 1D/4H/2H/90m/1H supply @ 476.00 (RR 8.65, fresh, tests 0, quality 17.0) | T3: 1D supply @ 486.48 (RR 11.10, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T4: 1D supply @ 504.78 (RR 15.38, fresh, tests 0, quality 13.8) | T5: 1D supply @ 513.37 (RR 17.38, fresh, tests 0, quality 14.7)","1D supply @ 469.19 (RR 7.06, fresh, tests 0, quality 15.7)",7.06,fresh,0.0,hard_target,"1D/4H/2H/90m/1H supply @ 476.00 (RR 8.65, fresh, tests 0, quality 17.0)",8.65,fresh,0.0,hard_target,"1D supply @ 486.48 (RR 11.10, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",11.1,multiple_tests,4.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A,2,"4H,3H,90m,1H",3H/1H demand 436.21-440.49 RR 6.00; 4H/3H/90m/1H demand 426.93-434.13 RR 2.51,3H,436.21,440.49,3H/1H,containing_price,0.0,438.85,447.24,1D/2H/90m/1H,containing_price,0.0,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,442.115,-3.145,-0.711,Flat / no meaningful gap,flat,Sideways,-0.463,grinding,below_9ema,below_vwap,440.814,441.99,3.383,high_volume,high_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 14%, breaks 71% (7 tests)",-11.43,49.6,"structure mixed; testing demand; gap into supply; Demand history: holds 14%, breaks 71% (7 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,eligible_pre_grade,7.97,A,Excellent 1:4.0+,rr-excellent,T1 1:7.06 (Excellent 1:4.0+); range 1:7.06–1:11.10,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2
Near-Term,SHOP,129.0,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/2H/1H,DBR/RBR,demand,128.56,126.58,126.58,126.58,128.56,1.88,fresh,Fresh / untested (0 tests),0,0.25,Weak,0.32,19.42,Weak,6.57,"4H/1H demand @ 122.00 (RR 3.54, fresh, tests 0, quality 13.7)",3.54,3.54,13.66,122.0,,1:3.54–1:8.33,"T1: 4H/1H demand @ 122.00 (RR 3.54, fresh, tests 0, quality 13.7) | T2: 4H/2H/90m/1H demand @ 121.27 (RR 3.90, fresh, tests 0, quality 14.6) | T3: 1D/4H/3H/2H/1H demand @ 118.38 (RR 5.36, fresh, tests 0, quality 14.8) | T4: 1D/3H/2H/1H demand @ 113.55 (RR 7.80, one_test, tests 1, quality 13.6) | T5: 1D/3H/90m demand @ 112.50 (RR 8.33, fresh, tests 0, quality 14.1)","4H/1H demand @ 122.00 (RR 3.54, fresh, tests 0, quality 13.7)",3.54,fresh,0.0,hard_target,"4H/2H/90m/1H demand @ 121.27 (RR 3.90, fresh, tests 0, quality 14.6)",3.9,fresh,0.0,hard_target,"1D/4H/3H/2H/1H demand @ 118.38 (RR 5.36, fresh, tests 0, quality 14.8)",5.36,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"4H,2H,1H",4H demand 126.58-128.46 DBR; 2H demand 126.58-128.41 DBR; 1H demand 127.90-128.56 RBR,4H,128.01,130.71,1D,containing_price,0.0,129.08,130.0,4H/2H/90m/1H,above_price,0.06,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,129.57,-0.57,-0.44,Flat / no meaningful gap,flat,Sideways,0.358,grinding,below_9ema,below_vwap,129.148,129.562,3.526,high_volume,absorption_possible,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,above_demand_no_trigger,"Demand history: holds 29%, breaks 57% (7 tests)",5.71,68.7,"structure mixed; possible absorption; gap into demand; Demand history: holds 29%, breaks 57% (7 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,8.804,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.54 (Strong 1:2.5–1:3.99); range 1:3.54–1:5.36,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,APP,463.0,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1H,RBD,supply,468.57,465.25,468.57,465.25,468.57,0.49,fresh,Fresh / untested (0 tests),0,-0.44,Weak,1.09,10.6,Average,5.03,"4H/2H/90m/1H demand @ 442.26 (RR 3.72, fresh, tests 0, quality 18.3)",3.72,3.72,18.33,442.26,,1:3.72–1:12.53,"T1: 4H/2H/90m/1H demand @ 442.26 (RR 3.72, fresh, tests 0, quality 18.3) | T2: 1D/4H/3H/2H demand @ 434.77 (RR 5.07, fresh, tests 0, quality 16.1) | T3: 4H/2H demand @ 425.13 (RR 6.80, multiple_tests, tests 2, quality 6.4) | T4: 1D demand @ 393.22 (RR 12.53, fresh, tests 0, quality 13.6) | T5: 4H/3H/2H/1H demand @ 393.21 (RR 12.53, fresh, tests 0, quality 15.6)","4H/2H/90m/1H demand @ 442.26 (RR 3.72, fresh, tests 0, quality 18.3)",3.72,fresh,0.0,hard_target,"1D/4H/3H/2H demand @ 434.77 (RR 5.07, fresh, tests 0, quality 16.1)",5.07,fresh,0.0,hard_target,"4H/2H demand @ 425.13 (RR 6.80, multiple_tests, tests 2, quality 6.4)",6.8,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H supply 465.25-468.57 RBD,1H,436.48,442.26,4H/2H/90m/1H,below_price,4.48,465.25,468.57,1H,above_price,0.49,between_nearest_demand_and_supply,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,461.43,1.57,0.34,Flat / no meaningful gap,flat,Bullish,0.501,grinding,above_9ema,above_vwap,461.425,461.601,1.599,elevated_volume,elevated_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,no_meaningful_gap,Supply Rejection Watch,approaching_supply_grinding,"Supply history: rejects 0%, breaks 80% (5 tests)",-15.0,41.0,"structure mixed; approaching supply grinding; Supply history: rejects 0%, breaks 80% (5 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Research / monitor only,eligible_pre_grade,7.958,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.72 (Strong 1:2.5–1:3.99); range 1:3.72–1:6.80,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Near-Term,GOOGL,306.2,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,90m,DBD,supply,309.59,309.22,309.59,309.59,309.22,1.11,fresh,Fresh / untested (0 tests),0,-0.52,Weak,0.61,18.25,Weak,4.88,"1D/4H/3H/2H/90m/1H supply @ 310.91 (RR 12.73, fresh, tests 0, quality 18.5)",6.0,12.73,18.5,310.91,,1:12.73–1:89.89,"T1: 1D/4H/3H/2H/90m/1H supply @ 310.91 (RR 12.73, fresh, tests 0, quality 18.5) | T2: 1D/4H/2H supply @ 318.54 (RR 33.35, one_test, tests 1, quality 12.6) | T3: 4H/90m/1H supply @ 323.40 (RR 46.49, fresh, tests 0, quality 14.9) | T4: 3H/2H/90m/1H supply @ 329.85 (RR 63.92, fresh, tests 0, quality 15.8) | T5: 4H/3H/2H/90m/1H supply @ 339.46 (RR 89.89, fresh, tests 0, quality 17.8)","1D/4H/3H/2H/90m/1H supply @ 310.91 (RR 12.73, fresh, tests 0, quality 18.5)",12.73,fresh,0.0,hard_target,"1D/4H/2H supply @ 318.54 (RR 33.35, one_test, tests 1, quality 12.6)",33.35,one_test,1.0,hard_target,"4H/90m/1H supply @ 323.40 (RR 46.49, fresh, tests 0, quality 14.9)",46.49,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,1,90m,90m supply 309.22-309.59 DBD,90m,305.57,307.74,1D/4H/3H/2H/90m/1H,containing_price,0.0,309.22,309.59,90m,above_price,0.99,inside_demand,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,308.71,-2.51,-0.813,Gap down,small_gap,Bearish,-0.642,grinding,below_9ema,below_vwap,308.309,308.723,2.999,high_volume,high_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,gap_into_demand,Supply Breakout Watch,rejecting_from_supply,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,69.0,"structure mixed; rejecting from supply; gap into demand; gap down -0.81%; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,7.859,A,Excellent 1:4.0+,rr-excellent,T1 1:12.73 (Excellent 1:4.0+); range 1:12.73–1:46.49,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,APP,463.0,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1H,RBD,supply,468.57,465.25,468.57,468.57,465.25,1.2,fresh,Fresh / untested (0 tests),0,-0.44,Weak,1.09,10.6,Average,5.03,"4H/3H/2H/90m/1H supply @ 474.96 (RR 3.60, fresh, tests 0, quality 14.2)",3.6,3.6,14.21,474.96,,1:3.60–1:45.85,"T1: 4H/3H/2H/90m/1H supply @ 474.96 (RR 3.60, fresh, tests 0, quality 14.2) | T2: 4H/2H/1H supply @ 509.55 (RR 14.02, fresh, tests 0, quality 14.2) | T3: 90m supply @ 566.01 (RR 31.03, multiple_tests, tests 3, quality 0.7, soft obstacle: low_quality) | T4: 3H/2H/90m/1H supply @ 604.24 (RR 42.54, fresh, tests 0, quality 15.6) | T5: 3H/2H/90m/1H supply @ 615.23 (RR 45.85, one_test, tests 1, quality 10.5)","4H/3H/2H/90m/1H supply @ 474.96 (RR 3.60, fresh, tests 0, quality 14.2)",3.6,fresh,0.0,hard_target,"4H/2H/1H supply @ 509.55 (RR 14.02, fresh, tests 0, quality 14.2)",14.02,fresh,0.0,hard_target,"90m supply @ 566.01 (RR 31.03, multiple_tests, tests 3, quality 0.7, soft obstacle: low_quality)",31.03,multiple_tests,3.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A,1,1H,1H supply 465.25-468.57 RBD,1H,436.48,442.26,4H/2H/90m/1H,below_price,4.48,465.25,468.57,1H,above_price,0.49,between_nearest_demand_and_supply,2026-03-12T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-12 08:00 AM EDT,461.43,1.57,0.34,Flat / no meaningful gap,flat,Bullish,0.501,grinding,above_9ema,above_vwap,461.425,461.601,1.599,elevated_volume,elevated_volume,Premarket,2026-03-12T08:00:00-04:00,preopen,no_meaningful_gap,Supply Breakout Watch,approaching_supply_grinding,"Supply history: rejects 0%, breaks 80% (5 tests)",15.0,71.0,"structure mixed; approaching supply grinding; Supply history: rejects 0%, breaks 80% (5 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Priority movement watch,eligible_pre_grade,7.888,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.60 (Strong 1:2.5–1:3.99); range 1:3.60–1:31.03,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
