test_date,zone_snapshot_as_of,preopen_context_as_of,symbol,prior_rth_close,preopen_price,preopen_price_as_of,preopen_price_session,preopen_gap_pct,preopen_gap_direction,preopen_gap_abs,preopen_move_direction,preopen_move_strength,preopen_volume_state,preopen_vpa_state,preopen_price_vs_9ema,preopen_price_vs_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,NVDA,199.91,201.09,2026-04-22T08:00:00-04:00,Premarket,0.59,Flat / no meaningful gap,1.18,Sideways,sideways,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,AMD,284.42,290.47,2026-04-22T08:00:00-04:00,Premarket,2.127,Gap up,6.05,Bullish,impulsive,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,AVGO,402.25,407.9583,2026-04-22T08:00:00-04:00,Premarket,1.419,Gap up,5.708,Bullish,directional,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,TSLA,386.48,388.9779,2026-04-22T08:00:00-04:00,Premarket,0.646,Flat / no meaningful gap,2.498,Sideways,sideways,high_volume,absorption_possible,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,META,668.9,674.88,2026-04-22T08:00:00-04:00,Premarket,0.894,Gap up,5.98,Sideways,grinding,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,AMZN,249.95,252.9,2026-04-22T08:00:00-04:00,Premarket,1.18,Gap up,2.95,Bullish,grinding,high_volume,absorption_possible,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,MSFT,424.3,427.69,2026-04-22T08:00:00-04:00,Premarket,0.799,Gap up,3.39,Sideways,sideways,high_volume,absorption_possible,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,PLTR,145.97,147.86,2026-04-22T08:00:00-04:00,Premarket,1.295,Gap up,1.89,Bullish,grinding,elevated_volume,elevated_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,AAPL,266.22,267.3681,2026-04-22T08:00:00-04:00,Premarket,0.431,Flat / no meaningful gap,1.148,Sideways,sideways,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,GOOGL,332.28,338.0,2026-04-22T08:00:00-04:00,Premarket,1.721,Gap up,5.72,Bullish,directional,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,NFLX,92.59,93.16,2026-04-22T08:00:00-04:00,Premarket,0.616,Flat / no meaningful gap,0.57,Sideways,grinding,high_volume,high_volume,above_9ema,above_vwap
2026-04-22,2026-04-21T16:00:00-04:00,2026-04-22T08:00:00-04:00,COST,1005.81,1003.6,2026-04-22T07:20:00-04:00,Premarket,-0.22,Flat / no meaningful gap,-2.21,Sideways,sideways,high_volume,high_volume,below_9ema,below_vwap
