status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,NET,210.33,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,212.54,206.57,206.57,212.54,206.57,0.0,fresh,Fresh / untested (0 tests),0,0.76,Weak,0.45,2.93,Weak,7.71,"1D supply @ 234.95 (RR 4.12, fresh, tests 0, quality 14.1)",4.12,4.12,14.06,234.95,,1:4.12,"T1: 1D supply @ 234.95 (RR 4.12, fresh, tests 0, quality 14.1)","1D supply @ 234.95 (RR 4.12, fresh, tests 0, quality 14.1)",4.12,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,9,"4H,3H,2H,90m,1H",4H demand 206.57-208.85 RBR; 3H demand 206.57-209.45 RBR; 3H demand 209.02-212.25 RBR; 2H demand 206.57-208.85 DBR; 2H demand 209.01-210.85 RBR; 90m demand 206.57-207.56 DBR; 1H demand 206.60-207.55 RBR; 1H demand 211.23-212.54 DBR; 1H demand 210.28-211.06 RBR,4H,206.57,212.54,4H/3H/2H/90m/1H,containing_price,0.0,209.95,215.38,1D/90m/1H,containing_price,0.0,inside_demand,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,212.19,-1.86,-0.877,Gap down,small_gap,Bearish,-0.921,directional,below_9ema,below_vwap,212.833,212.631,2.924,high_volume,absorption_possible,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 33%, breaks 67% (6 tests)",-6.67,62.3,"structure mixed; testing demand; possible absorption; gap into supply; gap down -0.88%; Demand history: holds 33%, breaks 67% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.928,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.12 (Excellent 1:4.0+); range 1:4.12–1:4.12,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,NET,210.33,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/90m/1H,DBD/RBD,supply,215.38,209.95,215.38,215.38,209.95,0.0,fresh,Fresh / untested (0 tests),0,-0.93,Weak,1.37,17.22,Strong,7.3,"1D supply @ 234.95 (RR 4.53, fresh, tests 0, quality 14.1)",4.53,4.53,14.06,234.95,,1:4.53,"T1: 1D supply @ 234.95 (RR 4.53, fresh, tests 0, quality 14.1)","1D supply @ 234.95 (RR 4.53, fresh, tests 0, quality 14.1)",4.53,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A+,5,"1D,90m,1H",1D supply 209.95-215.24 DBD; 90m supply 212.54-213.80 RBD; 90m supply 212.25-215.38 RBD; 1H supply 212.25-215.38 RBD; 1H supply 212.48-213.64 RBD,1D,206.57,212.54,4H/3H/2H/90m/1H,containing_price,0.0,209.95,215.38,1D/90m/1H,containing_price,0.0,inside_demand,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,212.19,-1.86,-0.877,Gap down,small_gap,Bearish,-0.921,directional,below_9ema,below_vwap,212.833,212.631,2.924,high_volume,absorption_possible,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,69.0,"structure mixed; testing supply; possible absorption; gap into supply; gap down -0.88%; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,8.825,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.53 (Excellent 1:4.0+); range 1:4.53–1:4.53,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,QQQ,599.99,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,DBD,supply,601.74,598.81,601.74,598.81,601.74,0.0,fresh,Fresh / untested (0 tests),0,-0.34,Weak,0.5,4.59,Weak,7.34,"1D demand @ 586.66 (RR 4.55, multiple_tests, tests 3, quality 6.3)",4.55,4.55,6.3,586.66,,1:4.55–1:12.16,"T1: 1D demand @ 586.66 (RR 4.55, multiple_tests, tests 3, quality 6.3) | T2: 1D demand @ 570.07 (RR 10.21, fresh, tests 0, quality 13.9) | T3: 1D demand @ 564.35 (RR 12.16, one_test, tests 1, quality 11.3)","1D demand @ 586.66 (RR 4.55, multiple_tests, tests 3, quality 6.3)",4.55,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 10.21, fresh, tests 0, quality 13.9)",10.21,fresh,0.0,hard_target,"1D demand @ 564.35 (RR 12.16, one_test, tests 1, quality 11.3)",12.16,one_test,1.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,5,"4H,3H,2H,90m,1H",4H supply 598.91-601.74 DBD; 3H supply 598.91-601.74 DBD; 2H supply 599.35-601.48 DBD; 90m supply 599.70-601.74 DBD; 1H supply 598.81-599.57 DBD,4H,591.33,601.58,1D/4H/3H/2H/90m,containing_price,0.0,598.81,601.74,4H/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,597.34,2.65,0.444,Flat / no meaningful gap,flat,Sideways,0.27,grinding,above_9ema,above_vwap,598.096,597.378,2.679,high_volume,absorption_possible,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 25%, breaks 50% (4 tests)",-5.0,64.0,"structure mixed; testing supply; possible absorption; gap into supply; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,eligible_pre_grade,8.095,A,Excellent 1:4.0+,rr-excellent,T1 1:4.55 (Excellent 1:4.0+); range 1:4.55–1:12.16,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Immediate,AMD,199.25,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/90m/1H,DBD/RBD,supply,200.0,198.15,200.0,200.0,198.15,0.0,fresh,Fresh / untested (0 tests),0,-0.22,Weak,0.75,2.54,Weak,6.97,"1D/4H/3H/2H/90m/1H supply @ 204.19 (RR 2.67, fresh, tests 0, quality 17.6)",2.67,2.67,17.58,204.19,,1:2.67–1:25.42,"T1: 1D/4H/3H/2H/90m/1H supply @ 204.19 (RR 2.67, fresh, tests 0, quality 17.6) | T2: 4H/3H/2H/90m/1H supply @ 210.86 (RR 6.28, fresh, tests 0, quality 16.8) | T3: 1D/4H/3H/90m supply @ 213.57 (RR 7.74, one_test, tests 1, quality 12.6) | T4: 4H/3H/2H/90m/1H supply @ 239.83 (RR 21.94, fresh, tests 0, quality 20.5) | T5: 4H/2H/90m supply @ 246.28 (RR 25.42, fresh, tests 0, quality 13.9)","1D/4H/3H/2H/90m/1H supply @ 204.19 (RR 2.67, fresh, tests 0, quality 17.6)",2.67,fresh,0.0,hard_target,"4H/3H/2H/90m/1H supply @ 210.86 (RR 6.28, fresh, tests 0, quality 16.8)",6.28,fresh,0.0,hard_target,"1D/4H/3H/90m supply @ 213.57 (RR 7.74, one_test, tests 1, quality 12.6)",7.74,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,4,"3H,90m,1H",3H supply 198.38-200.00 DBD; 90m supply 198.24-200.00 RBD; 1H supply 198.15-198.47 RBD; 1H supply 198.74-199.75 RBD,3H,195.66,198.38,2H/90m/1H,below_price,0.44,198.15,200.0,3H/90m/1H,containing_price,0.0,inside_supply,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,197.8,1.45,0.733,Flat / no meaningful gap,flat,Bullish,0.723,grinding,above_9ema,above_vwap,197.799,197.648,3.099,high_volume,high_volume,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 60%, breaks 40% (5 tests)",-4.0,57.0,"structure mixed; testing supply; gap into supply; Supply history: rejects 60%, breaks 40% (5 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,8.345,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.67 (Strong 1:2.5–1:3.99); range 1:2.67–1:7.74,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,ARM,114.26,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,90m/1H,DBR/RBR,demand,115.72,113.81,113.81,115.72,113.81,0.0,fresh,Fresh / untested (0 tests),0,0.7,Weak,0.67,3.08,Weak,6.81,"4H/3H/2H/90m/1H supply @ 119.55 (RR 2.77, fresh, tests 0, quality 15.3)",2.77,2.77,15.35,119.55,,1:2.77–1:4.92,"T1: 4H/3H/2H/90m/1H supply @ 119.55 (RR 2.77, fresh, tests 0, quality 15.3) | T2: 1D/90m supply @ 120.10 (RR 3.06, fresh, tests 0, quality 14.7) | T3: 1D supply @ 120.62 (RR 3.33, multiple_tests, tests 2, quality 6.9) | T4: 2H/90m supply @ 120.83 (RR 3.44, one_test, tests 1, quality 6.9) | T5: 4H/2H supply @ 123.66 (RR 4.92, fresh, tests 0, quality 14.2)","4H/3H/2H/90m/1H supply @ 119.55 (RR 2.77, fresh, tests 0, quality 15.3)",2.77,fresh,0.0,hard_target,"1D/90m supply @ 120.10 (RR 3.06, fresh, tests 0, quality 14.7)",3.06,fresh,0.0,hard_target,"1D supply @ 120.62 (RR 3.33, multiple_tests, tests 2, quality 6.9)",3.33,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,4,"90m,1H",90m demand 113.94-114.36 RBR; 90m demand 113.81-115.72 RBR; 1H demand 114.45-114.88 DBR; 1H demand 114.12-114.49 DBR,90m,112.24,115.22,3H/2H/1H,containing_price,0.0,119.55,120.73,4H/3H/2H/90m/1H,above_price,4.63,inside_demand,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,115.09,-0.83,-0.721,Flat / no meaningful gap,flat,Bearish,-1.033,directional,below_9ema,below_vwap,115.044,115.133,3.62,high_volume,absorption_possible,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_demand,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 33%, breaks 67% (6 tests)",-6.67,62.3,"structure mixed; testing demand; possible absorption; gap into demand; Demand history: holds 33%, breaks 67% (6 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.364,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.77 (Strong 1:2.5–1:3.99); range 1:2.77–1:3.33,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,INTC,45.69,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,2H/1H,DBD/RBD,supply,45.85,45.53,45.85,45.53,45.85,0.0,fresh,Fresh / untested (0 tests),0,-0.26,Weak,0.9,5.4,Average,5.66,"2H/90m/1H demand @ 44.62 (RR 3.34, fresh, tests 0, quality 13.6)",3.34,3.34,13.62,44.62,,1:3.34–1:14.28,"T1: 2H/90m/1H demand @ 44.62 (RR 3.34, fresh, tests 0, quality 13.6) | T2: 1D/4H/3H/2H/90m/1H demand @ 43.97 (RR 5.37, one_test, tests 1, quality 14.7) | T3: 1D demand @ 43.44 (RR 7.03, multiple_tests, tests 2, quality 7.4) | T4: 4H demand @ 42.72 (RR 9.28, multiple_tests, tests 2, quality 5.0, soft obstacle: low_quality) | T5: 1H demand @ 41.12 (RR 14.28, fresh, tests 0, quality 13.8)","2H/90m/1H demand @ 44.62 (RR 3.34, fresh, tests 0, quality 13.6)",3.34,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 43.97 (RR 5.37, one_test, tests 1, quality 14.7)",5.37,one_test,1.0,hard_target,"1D demand @ 43.44 (RR 7.03, multiple_tests, tests 2, quality 7.4)",7.03,multiple_tests,2.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,"2H,1H",2H supply 45.53-45.85 DBD; 1H supply 45.58-45.85 RBD,2H,43.94,44.62,2H/90m/1H,below_price,2.34,45.53,45.85,2H/1H,containing_price,0.0,inside_supply,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,45.26,0.43,0.95,Gap up,small_gap,Bullish,0.633,grinding,above_9ema,above_vwap,45.32,45.249,2.397,high_volume,high_volume,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 60%, breaks 40% (5 tests)",4.0,65.0,"structure mixed; testing supply; gap into supply; gap up 0.95%; Supply history: rejects 60%, breaks 40% (5 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,eligible_pre_grade,7.965,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.34 (Strong 1:2.5–1:3.99); range 1:3.34–1:7.03,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Near-Term,PANW,169.12,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/1H,DBR/RBR,demand,167.57,166.3,166.3,166.3,167.57,1.67,fresh,Fresh / untested (0 tests),0,0.25,Weak,0.76,6.71,Weak,7.68,"2H/90m/1H demand @ 164.90 (RR 3.32, fresh, tests 0, quality 13.6)",3.32,3.32,13.6,164.9,,1:3.32–1:19.13,"T1: 2H/90m/1H demand @ 164.90 (RR 3.32, fresh, tests 0, quality 13.6) | T2: 4H/3H/2H/90m/1H demand @ 156.31 (RR 10.09, fresh, tests 0, quality 14.9) | T3: 4H demand @ 151.01 (RR 14.26, fresh, tests 0, quality 12.2) | T4: 1D/4H/3H/2H/90m/1H demand @ 150.15 (RR 14.94, fresh, tests 0, quality 16.9) | T5: 4H/90m/1H demand @ 144.83 (RR 19.13, one_test, tests 1, quality 10.9)","2H/90m/1H demand @ 164.90 (RR 3.32, fresh, tests 0, quality 13.6)",3.32,fresh,0.0,hard_target,"4H/3H/2H/90m/1H demand @ 156.31 (RR 10.09, fresh, tests 0, quality 14.9)",10.09,fresh,0.0,hard_target,"4H demand @ 151.01 (RR 14.26, fresh, tests 0, quality 12.2)",14.26,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"4H,3H,2H,1H",4H demand 166.30-167.23 RBR; 3H demand 166.30-167.09 RBR; 2H demand 166.66-167.57 DBR; 1H demand 166.66-167.23 RBR,4H,166.3,167.57,4H/3H/2H/1H,below_price,0.92,175.0,178.1,1D/4H/2H/90m/1H,above_price,3.48,between_nearest_demand_and_supply,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,168.11,1.01,0.601,Flat / no meaningful gap,flat,Bullish,1.009,directional,above_9ema,above_vwap,167.89,168.129,3.652,high_volume,high_volume,Premarket,2026-03-13T08:00:00-04:00,preopen,no_meaningful_gap,Demand Breakdown Watch,bouncing_from_demand,"Demand history: holds 25%, breaks 75% (8 tests)",10.0,74.0,"structure mixed; bouncing from demand; Demand history: holds 25%, breaks 75% (8 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,9.245,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.32 (Strong 1:2.5–1:3.99); range 1:3.32–1:14.26,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,NVDA,184.56,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/3H/90m/1H,DBD/RBD,supply,187.97,185.55,187.97,187.97,185.55,1.85,fresh,Fresh / untested (0 tests),0,-0.52,Weak,0.81,7.58,Weak,8.83,"1D supply @ 193.80 (RR 3.82, fresh, tests 0, quality 16.7)",3.82,3.82,16.73,193.8,,1:3.82–1:9.22,"T1: 1D supply @ 193.80 (RR 3.82, fresh, tests 0, quality 16.7) | T2: 1D/4H/3H/2H/90m/1H supply @ 195.11 (RR 4.36, fresh, tests 0, quality 20.5) | T3: 1D supply @ 206.88 (RR 9.22, fresh, tests 0, quality 14.5)","1D supply @ 193.80 (RR 3.82, fresh, tests 0, quality 16.7)",3.82,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 195.11 (RR 4.36, fresh, tests 0, quality 20.5)",4.36,fresh,0.0,hard_target,"1D supply @ 206.88 (RR 9.22, fresh, tests 0, quality 14.5)",9.22,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A+,6,"1D,3H,90m,1H",1D supply 185.91-187.62 RBD; 3H supply 185.62-186.04 RBD; 90m supply 185.60-186.04 RBD; 90m supply 186.33-187.97 DBD; 1H supply 187.57-187.97 RBD; 1H supply 185.55-186.07 RBD,1D,181.45,182.64,1H,below_price,1.04,185.55,187.97,1D/3H/90m/1H,above_price,0.54,between_nearest_demand_and_supply,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,183.01,1.55,0.847,Gap up,small_gap,Bullish,0.775,directional,above_9ema,above_vwap,183.212,183.217,2.168,high_volume,volume_expansion_with_direction,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_between_zones,Supply Breakout Watch,approaching_supply_with_strength,"Supply history: rejects 29%, breaks 43% (7 tests)",2.86,78.9,"structure mixed; approaching supply with strength; volume expansion; gap up 0.85%; Supply history: rejects 29%, breaks 43% (7 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Priority movement watch,eligible_pre_grade,9.522,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.82 (Strong 1:2.5–1:3.99); range 1:3.82–1:9.22,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,RBLX,56.58,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/90m/1H,DBD,supply,57.71,57.15,57.71,57.71,57.15,2.0,fresh,Fresh / untested (0 tests),0,-0.78,Weak,1.27,53.0,Strong,7.05,"3H/2H/90m/1H supply @ 58.42 (RR 3.29, fresh, tests 0, quality 14.4)",3.29,3.29,14.38,58.42,,1:3.29–1:13.18,"T1: 3H/2H/90m/1H supply @ 58.42 (RR 3.29, fresh, tests 0, quality 14.4) | T2: 1D/90m supply @ 59.45 (RR 5.12, fresh, tests 0, quality 15.0) | T3: 4H supply @ 61.91 (RR 9.52, fresh, tests 0, quality 11.8) | T4: 1D/4H/3H/2H/90m/1H supply @ 62.40 (RR 10.39, fresh, tests 0, quality 17.8) | T5: 3H/90m/1H supply @ 63.96 (RR 13.18, fresh, tests 0, quality 13.2)","3H/2H/90m/1H supply @ 58.42 (RR 3.29, fresh, tests 0, quality 14.4)",3.29,fresh,0.0,hard_target,"1D/90m supply @ 59.45 (RR 5.12, fresh, tests 0, quality 15.0)",5.12,fresh,0.0,hard_target,"4H supply @ 61.91 (RR 9.52, fresh, tests 0, quality 11.8)",9.52,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,3,"2H,90m,1H",2H supply 57.36-57.71 DBD; 90m supply 57.15-57.71 DBD; 1H supply 57.36-57.71 DBD,2H,,,,,,57.15,57.71,2H/90m/1H,above_price,1.01,zone_context_mixed,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,56.3,0.28,0.497,Flat / no meaningful gap,flat,Bearish,-0.954,directional,below_9ema,above_vwap,56.701,56.463,3.789,high_volume,high_volume,Premarket,2026-03-13T08:00:00-04:00,preopen,no_meaningful_gap,Supply Breakout Watch,rejecting_from_supply,"Supply history: rejects 50%, breaks 50% (8 tests)",0.0,64.0,"structure mixed; rejecting from supply; Supply history: rejects 50%, breaks 50% (8 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,8.887,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.29 (Strong 1:2.5–1:3.99); range 1:3.29–1:9.52,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Near-Term,CRWD,445.0,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,3H/90m/1H,DBR/RBR,demand,442.12,436.21,436.21,442.12,436.21,0.65,multiple_tests,Multiple retests (2 tests),2,0.4,Weak,0.38,2.58,Weak,4.28,"1D supply @ 469.19 (RR 2.75, fresh, tests 0, quality 15.7)",2.75,2.75,15.72,469.19,,1:2.75–1:7.78,"T1: 1D supply @ 469.19 (RR 2.75, fresh, tests 0, quality 15.7) | T2: 1D/4H/2H/90m/1H supply @ 476.00 (RR 3.53, fresh, tests 0, quality 17.0) | T3: 1D supply @ 486.48 (RR 4.72, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T4: 1D supply @ 504.78 (RR 6.80, fresh, tests 0, quality 13.8) | T5: 1D supply @ 513.37 (RR 7.78, fresh, tests 0, quality 14.7)","1D supply @ 469.19 (RR 2.75, fresh, tests 0, quality 15.7)",2.75,fresh,0.0,hard_target,"1D/4H/2H/90m/1H supply @ 476.00 (RR 3.53, fresh, tests 0, quality 17.0)",3.53,fresh,0.0,hard_target,"1D supply @ 486.48 (RR 4.72, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",4.72,multiple_tests,4.0,soft_obstacle,4,,t1_nearest_unbroken_opposing_zone,A,4,"3H,90m,1H",3H demand 436.65-442.12 RBR; 3H demand 436.21-440.49 DBR; 90m demand 438.60-442.12 RBR; 1H demand 438.16-439.62 RBR,3H,436.21,442.12,3H/90m/1H,below_price,0.65,438.85,447.24,1D/2H/90m/1H,containing_price,0.0,inside_supply,2026-03-13T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-03-13 08:00 AM EDT,441.72,3.28,0.743,Flat / no meaningful gap,flat,Bullish,0.676,grinding,above_9ema,above_vwap,441.627,441.481,3.236,high_volume,absorption_possible,Premarket,2026-03-13T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,bouncing_from_demand,"Demand history: holds 14%, breaks 71% (7 tests)",-11.43,65.6,"structure mixed; bouncing from demand; possible absorption; gap into supply; Demand history: holds 14%, breaks 71% (7 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,7.555,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.75 (Strong 1:2.5–1:3.99); range 1:2.75–1:4.72,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
