status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,snapshot_test_date,snapshot_as_of_date,snapshot_type,snapshot_candidate_id,snapshot_source_file
Immediate,NET,199.0,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,201.38,199.18,201.38,199.18,201.38,0.09,multiple_tests,Multiple retests (2 tests),2,-0.43,Weak,0.66,7.05,Weak,4.59,"1D demand @ 195.68 (RR 1.40, multiple_tests, tests 3, quality 6.6)",1.4,1.4,6.63,195.68,,1:1.40,"T1: 1D demand @ 195.68 (RR 1.40, multiple_tests, tests 3, quality 6.6)","1D demand @ 195.68 (RR 1.40, multiple_tests, tests 3, quality 6.6)",1.4,multiple_tests,3.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,B,1,1D,1D supply 199.18-201.38 DBD,1D,193.31,195.68,1D,below_price,1.67,199.18,201.38,1D,above_price,0.09,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,198.05,0.95,0.48,Flat / no meaningful gap,flat,Bullish,1.203,directional,above_9ema,above_vwap,197.305,197.916,2.947,high_volume,high_volume,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,approaching_supply_with_strength,"Supply history: rejects 50%, breaks 50% (2 tests)",0.0,64.0,"structure mixed; approaching supply with strength; Supply history: rejects 50%, breaks 50% (2 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,rejected_2_tests_without_confluence_or_quality;rejected_low_rr_to_nearest_opposing_zone,5.454,B,Poor <1:1.5,rr-poor,T1 1:1.40 (Poor <1:1.5); range 1:1.40–1:1.40,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|NET|Supply Rejection — Puts|supply|1D|199.18|201.38|0,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Immediate,QQQ,622.42,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD/RBD,supply,628.92,623.82,628.92,623.82,628.92,0.22,multiple_tests,Multiple retests (3 tests),3,-1.19,Moderate,1.24,4.81,Strong,6.43,"1D demand @ 619.32 (RR 0.48, fresh, tests 0, quality 13.7)",0.48,0.48,13.72,619.32,,1:0.48–1:8.93,"T1: 1D demand @ 619.32 (RR 0.48, fresh, tests 0, quality 13.7) | T2: 1D demand @ 609.80 (RR 1.94, fresh, tests 0, quality 13.9) | T3: 1D demand @ 586.66 (RR 5.50, multiple_tests, tests 3, quality 6.3) | T4: 1D demand @ 570.07 (RR 8.05, fresh, tests 0, quality 13.9) | T5: 1D demand @ 564.35 (RR 8.93, one_test, tests 1, quality 11.3)","1D demand @ 619.32 (RR 0.48, fresh, tests 0, quality 13.7)",0.48,fresh,0.0,hard_target,"1D demand @ 609.80 (RR 1.94, fresh, tests 0, quality 13.9)",1.94,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 5.50, multiple_tests, tests 3, quality 6.3)",5.5,multiple_tests,3.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,B,2,1D,1D supply 623.82-625.78 DBD; 1D supply 624.38-628.92 RBD,1D,616.72,619.32,1D,below_price,0.5,623.82,628.92,1D,above_price,0.22,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,623.47,-1.05,-0.168,Flat / no meaningful gap,flat,Sideways,-0.146,sideways,below_9ema,below_vwap,623.615,623.789,3.157,high_volume,absorption_possible,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 25%, breaks 50% (4 tests)",-5.0,53.0,"structure mixed; possible absorption; Supply history: rejects 25%, breaks 50% (4 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Research / monitor only,research_only_3_tests;rejected_low_rr_to_nearest_opposing_zone,5.873,B,Poor <1:1.5,rr-poor,T1 1:0.48 (Poor <1:1.5); range 1:0.48–1:5.50,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|QQQ|Supply Rejection — Puts|supply|1D|623.82|628.92|1,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,CRM,262.41,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,266.1,264.91,266.1,264.91,266.1,0.95,fresh,Fresh / untested (0 tests),0,-1.99,Strong,1.16,29.95,Average,9.15,"1D demand @ 238.72 (RR 6.42, fresh, tests 0, quality 16.2)",6.0,6.42,16.2,238.72,,1:6.42–1:9.50,"T1: 1D demand @ 238.72 (RR 6.42, fresh, tests 0, quality 16.2) | T2: 1D demand @ 230.54 (RR 8.64, fresh, tests 0, quality 13.2) | T3: 1D demand @ 227.34 (RR 9.50, one_test, tests 1, quality 11.3)","1D demand @ 238.72 (RR 6.42, fresh, tests 0, quality 16.2)",6.42,fresh,0.0,hard_target,"1D demand @ 230.54 (RR 8.64, fresh, tests 0, quality 13.2)",8.64,fresh,0.0,hard_target,"1D demand @ 227.34 (RR 9.50, one_test, tests 1, quality 11.3)",9.5,one_test,1.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A+,1,1D,1D supply 264.91-266.10 DBD,1D,233.16,238.72,1D,below_price,9.03,264.91,266.1,1D,above_price,0.95,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,262.66,-0.25,-0.095,Flat / no meaningful gap,flat,Sideways,-0.103,sideways,below_9ema,below_vwap,262.551,262.675,3.512,high_volume,absorption_possible,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 67%, breaks 33% (3 tests)",6.67,64.7,"structure mixed; possible absorption; Supply history: rejects 67%, breaks 33% (3 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Developing movement watch,eligible_pre_grade,8.942,A+,Excellent 1:4.0+,rr-excellent,T1 1:6.42 (Excellent 1:4.0+); range 1:6.42–1:9.50,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|CRM|Supply Rejection — Puts|supply|1D|264.91|266.1|2,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,SOFI,26.8,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,DBR/RBR,demand,26.68,25.95,25.95,26.68,25.95,0.44,one_test,One successful retest (1 tests),1,1.39,Moderate,1.15,2.56,Average,7.54,"1D supply @ 29.04 (RR 2.64, multiple_tests, tests 2, quality 8.1)",2.64,2.64,8.12,29.04,,1:2.64–1:5.16,"T1: 1D supply @ 29.04 (RR 2.64, multiple_tests, tests 2, quality 8.1) | T2: 1D supply @ 29.39 (RR 3.05, multiple_tests, tests 2, quality 6.2) | T3: 1D supply @ 31.18 (RR 5.16, fresh, tests 0, quality 15.5)","1D supply @ 29.04 (RR 2.64, multiple_tests, tests 2, quality 8.1)",2.64,multiple_tests,2.0,hard_target,"1D supply @ 29.39 (RR 3.05, multiple_tests, tests 2, quality 6.2)",3.05,multiple_tests,2.0,hard_target,"1D supply @ 31.18 (RR 5.16, fresh, tests 0, quality 15.5)",5.16,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,2,1D,1D demand 26.06-26.68 DBR; 1D demand 25.95-26.29 RBR,1D,25.95,26.68,1D,below_price,0.45,29.04,29.7,1D,above_price,8.36,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,26.99,-0.192,-0.71,Flat / no meaningful gap,flat,Sideways,-0.062,sideways,below_9ema,below_vwap,26.957,26.957,1.836,high_volume,absorption_possible,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Demand Hold/Reversal Watch,above_demand_no_trigger,"Demand history: holds 0%, breaks 67% (3 tests)",-13.33,44.7,"structure mixed; possible absorption; Demand history: holds 0%, breaks 67% (3 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,eligible_pre_grade,7.799,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.64 (Strong 1:2.5–1:3.99); range 1:2.64–1:5.16,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|SOFI|Demand Reversal / Hold — Calls|demand|1D|25.95|26.68|3,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,MSFT,477.43,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,1D,DBR,demand,475.0,468.02,468.02,475.0,468.02,0.51,fresh,Fresh / untested (0 tests),0,0.88,Weak,1.03,3.91,Average,8.41,"1D supply @ 485.93 (RR 0.90, fresh, tests 0, quality 14.2)",0.9,0.9,14.25,485.93,,1:0.90–1:6.81,"T1: 1D supply @ 485.93 (RR 0.90, fresh, tests 0, quality 14.2) | T2: 1D supply @ 507.49 (RR 3.19, fresh, tests 0, quality 15.8) | T3: 1D supply @ 541.55 (RR 6.81, fresh, tests 0, quality 16.2)","1D supply @ 485.93 (RR 0.90, fresh, tests 0, quality 14.2)",0.9,fresh,0.0,hard_target,"1D supply @ 507.49 (RR 3.19, fresh, tests 0, quality 15.8)",3.19,fresh,0.0,hard_target,"1D supply @ 541.55 (RR 6.81, fresh, tests 0, quality 16.2)",6.81,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,2,1D,1D demand 469.50-474.06 DBR; 1D demand 468.02-475.00 DBR,1D,468.02,475.0,1D,below_price,0.51,485.93,493.5,1D,above_price,1.78,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,478.51,-1.08,-0.226,Flat / no meaningful gap,flat,Sideways,0.186,sideways,below_9ema,below_vwap,477.622,478.442,3.199,high_volume,absorption_possible,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Demand Hold/Reversal Watch,above_demand_no_trigger,"Demand history: holds 33%, breaks 67% (3 tests)",-6.67,51.3,"structure mixed; possible absorption; Demand history: holds 33%, breaks 67% (3 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,rejected_low_rr_to_nearest_opposing_zone,7.641,A,Poor <1:1.5,rr-poor,T1 1:0.90 (Poor <1:1.5); range 1:0.90–1:6.81,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|MSFT|Demand Reversal / Hold — Calls|demand|1D|468.02|475.0|4,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,COST,889.82,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D,DBD,supply,905.89,894.68,905.89,894.68,905.89,0.55,fresh,Fresh / untested (0 tests),0,-0.49,Weak,0.99,2.33,Average,7.48,"1D demand @ 861.14 (RR 1.78, fresh, tests 0, quality 14.5)",1.78,1.78,14.53,861.14,,1:1.78,"T1: 1D demand @ 861.14 (RR 1.78, fresh, tests 0, quality 14.5)","1D demand @ 861.14 (RR 1.78, fresh, tests 0, quality 14.5)",1.78,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D supply 894.68-905.89 DBD,1D,852.5,861.14,1D,below_price,3.22,894.68,905.89,1D,above_price,0.55,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,889.24,0.58,0.065,Flat / no meaningful gap,flat,Sideways,-0.414,grinding,below_9ema,above_vwap,891.279,889.102,3.386,high_volume,high_volume,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Supply Rejection Watch,below_supply_no_trigger,"Supply history: rejects 20%, breaks 60% (5 tests)",-8.0,42.0,"structure mixed; Supply history: rejects 20%, breaks 60% (5 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Research / monitor only,rejected_low_rr_to_nearest_opposing_zone,7.633,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.78 (Watch only 1:1.5–1:1.99); range 1:1.78–1:1.78,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|COST|Supply Rejection — Puts|supply|1D|894.68|905.89|5,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,QQQ,622.42,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,619.32,616.72,616.72,616.72,619.32,0.92,fresh,Fresh / untested (0 tests),0,0.84,Weak,0.88,3.15,Weak,7.72,"1D demand @ 609.80 (RR 4.85, fresh, tests 0, quality 13.9)",4.85,4.85,13.89,609.8,,1:4.85–1:22.33,"T1: 1D demand @ 609.80 (RR 4.85, fresh, tests 0, quality 13.9) | T2: 1D demand @ 586.66 (RR 13.75, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 20.13, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 22.33, one_test, tests 1, quality 11.3)","1D demand @ 609.80 (RR 4.85, fresh, tests 0, quality 13.9)",4.85,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 13.75, multiple_tests, tests 3, quality 6.3)",13.75,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 20.13, fresh, tests 0, quality 13.9)",20.13,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 616.72-619.32 RBR,1D,616.72,619.32,1D,below_price,0.5,623.82,628.92,1D,above_price,0.22,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,623.47,-1.05,-0.168,Flat / no meaningful gap,flat,Sideways,-0.146,sideways,below_9ema,below_vwap,623.615,623.789,3.157,high_volume,absorption_possible,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Demand Breakdown Watch,above_demand_no_trigger,"Demand history: holds 40%, breaks 60% (5 tests)",4.0,62.0,"structure mixed; possible absorption; Demand history: holds 40%, breaks 60% (5 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,8.588,A,Excellent 1:4.0+,rr-excellent,T1 1:4.85 (Excellent 1:4.0+); range 1:4.85–1:20.13,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|QQQ|Demand Breakdown / Continuation — Puts|demand|1D|616.72|619.32|6,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,ANET,132.22,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,131.84,130.45,130.45,130.45,131.84,1.34,one_test,One successful retest (1 tests),1,0.54,Weak,1.07,3.57,Average,6.11,"1D demand @ 125.00 (RR 5.19, fresh, tests 0, quality 15.1)",5.19,5.19,15.06,125.0,,1:5.19–1:9.93,"T1: 1D demand @ 125.00 (RR 5.19, fresh, tests 0, quality 15.1) | T2: 1D demand @ 118.42 (RR 9.93, fresh, tests 0, quality 14.1)","1D demand @ 125.00 (RR 5.19, fresh, tests 0, quality 15.1)",5.19,fresh,0.0,hard_target,"1D demand @ 118.42 (RR 9.93, fresh, tests 0, quality 14.1)",9.93,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D demand 130.45-131.84 RBR,1D,130.45,131.84,1D,below_price,0.29,133.6,136.09,1D,above_price,1.04,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,132.585,-0.365,-0.275,Flat / no meaningful gap,flat,Bearish,-1.38,directional,below_9ema,below_vwap,133.221,132.751,3.623,high_volume,high_volume,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Demand Breakdown Watch,approaching_demand_with_weakness,"Demand history: holds 50%, breaks 33% (6 tests)",-3.33,60.7,"structure mixed; approaching demand with weakness; Demand history: holds 50%, breaks 33% (6 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,7.843,A,Excellent 1:4.0+,rr-excellent,T1 1:5.19 (Excellent 1:4.0+); range 1:5.19–1:9.93,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|ANET|Demand Breakdown / Continuation — Puts|demand|1D|130.45|131.84|7,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,SPY,691.57,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D,RBR,demand,687.72,680.59,680.59,680.59,687.72,1.59,fresh,Fresh / untested (0 tests),0,0.79,Weak,0.88,3.29,Weak,8.17,"1D demand @ 677.60 (RR 1.96, fresh, tests 0, quality 13.8)",1.96,1.96,13.76,677.6,,1:1.96–1:7.59,"T1: 1D demand @ 677.60 (RR 1.96, fresh, tests 0, quality 13.8) | T2: 1D demand @ 653.62 (RR 5.32, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests) | T3: 1D demand @ 648.83 (RR 5.99, fresh, tests 0, quality 13.3) | T4: 1D demand @ 643.74 (RR 6.71, one_test, tests 1, quality 10.9) | T5: 1D demand @ 637.46 (RR 7.59, one_test, tests 1, quality 12.9)","1D demand @ 677.60 (RR 1.96, fresh, tests 0, quality 13.8)",1.96,fresh,0.0,hard_target,"1D demand @ 653.62 (RR 5.32, multiple_tests, tests 4, quality -999.0, soft obstacle: 4plus_tests)",5.32,multiple_tests,4.0,soft_obstacle,"1D demand @ 648.83 (RR 5.99, fresh, tests 0, quality 13.3)",5.99,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,2,1D,1D demand 686.38-687.72 RBR; 1D demand 680.59-684.83 RBR,1D,680.59,687.72,1D,below_price,0.56,,,,,,zone_context_mixed,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,691.8,-0.226,-0.033,Flat / no meaningful gap,flat,Sideways,-0.077,sideways,below_9ema,below_vwap,692.025,692.031,3.253,high_volume,high_volume,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Demand Breakdown Watch,above_demand_no_trigger,"Demand history: holds 25%, breaks 50% (4 tests)",5.0,55.0,"structure mixed; Demand history: holds 25%, breaks 50% (4 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,rejected_low_rr_to_nearest_opposing_zone,8.11,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.96 (Watch only 1:1.5–1:1.99); range 1:1.96–1:5.99,False,Developing Scenario,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|SPY|Demand Breakdown / Continuation — Puts|demand|1D|680.59|687.72|8,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
Near-Term,COST,889.82,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D,DBD,supply,905.89,894.68,905.89,905.89,894.68,1.81,fresh,Fresh / untested (0 tests),0,-0.49,Weak,0.99,2.33,Average,7.48,"1D supply @ 912.59 (RR 2.03, fresh, tests 0, quality 17.3)",2.03,2.03,17.26,912.59,,1:2.03–1:7.15,"T1: 1D supply @ 912.59 (RR 2.03, fresh, tests 0, quality 17.3) | T2: 1D supply @ 942.05 (RR 4.66, one_test, tests 1, quality 10.1) | T3: 1D supply @ 970.00 (RR 7.15, fresh, tests 0, quality 14.8)","1D supply @ 912.59 (RR 2.03, fresh, tests 0, quality 17.3)",2.03,fresh,0.0,hard_target,"1D supply @ 942.05 (RR 4.66, one_test, tests 1, quality 10.1)",4.66,one_test,1.0,hard_target,"1D supply @ 970.00 (RR 7.15, fresh, tests 0, quality 14.8)",7.15,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,1,1D,1D supply 894.68-905.89 DBD,1D,852.5,861.14,1D,below_price,3.22,894.68,905.89,1D,above_price,0.55,between_nearest_demand_and_supply,2026-01-07T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-07 08:00 AM EST,889.24,0.58,0.065,Flat / no meaningful gap,flat,Sideways,-0.414,grinding,below_9ema,above_vwap,891.279,889.102,3.386,high_volume,high_volume,Premarket,2026-01-07T08:00:00-05:00,preopen,no_meaningful_gap,Supply Breakout Watch,below_supply_no_trigger,"Supply history: rejects 20%, breaks 60% (5 tests)",8.0,58.0,"structure mixed; Supply history: rejects 20%, breaks 60% (5 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,rejected_low_rr_to_nearest_opposing_zone,7.657,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.03 (Acceptable 1:2.0–1:2.49); range 1:2.03–1:7.15,False,Developing Scenario,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,2026-01-07,2026-01-06,preopen,2026-01-07|preopen|COST|Supply Breakout / Continuation — Calls|supply|1D|894.68|905.89|9,C:\Users\Jonat\Documents\Stock Project\v45\reports\backtest\preopen_snapshots\2026-01-07_movement_context_watchlist.csv
