test_date,as_of_date,status,raw_zones,active_zones,merged_zones,scenarios,final_setups,preopen_context_time,preopen_scenarios,preopen_final_setups,scenario_file,final_file,active_zones_file,merged_zones_file,raw_zones_file,preopen_context_file,preopen_scenario_file,preopen_final_file
2026-01-21,2026-01-20,ok,2570,926,424,253,24,2026-01-21T08:00:00-05:00,227,19,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-21_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-21_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-21_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-21_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-21_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-21_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-21_preopen_final_watchlist.csv
2026-01-22,2026-01-21,ok,2783,1032,433,239,18,2026-01-22T08:00:00-05:00,238,21,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-22_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-22_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-22_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-22_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-22_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-22_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-22_preopen_final_watchlist.csv
2026-01-23,2026-01-22,ok,3018,1142,453,275,24,2026-01-23T08:00:00-05:00,269,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-23_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-23_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-23_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-23_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-23_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-23_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-23_preopen_final_watchlist.csv
2026-01-26,2026-01-23,ok,3221,1215,460,295,24,2026-01-26T08:00:00-05:00,278,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-26_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-26_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-26_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-26_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-26_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-26_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-26_preopen_final_watchlist.csv
2026-01-27,2026-01-26,ok,3447,1254,465,285,24,2026-01-27T08:00:00-05:00,269,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-27_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-27_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-27_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-27_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-27_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-27_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-27_preopen_final_watchlist.csv
2026-01-28,2026-01-27,ok,3664,1275,480,312,21,2026-01-28T08:00:00-05:00,296,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-28_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-28_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-28_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-28_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-28_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-28_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-28_preopen_final_watchlist.csv
2026-01-29,2026-01-28,ok,3872,1324,475,276,24,2026-01-29T08:00:00-05:00,230,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-29_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-29_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-29_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-29_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-29_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-29_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-29_preopen_final_watchlist.csv
2026-01-30,2026-01-29,ok,4116,1310,477,241,18,2026-01-30T08:00:00-05:00,216,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-30_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-30_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-30_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-01-30_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-30_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-30_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-01-30_preopen_final_watchlist.csv
2026-02-02,2026-01-30,ok,4282,1312,478,220,21,2026-02-02T08:00:00-05:00,188,18,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-02_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-02_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-02_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-02_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-02_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-02_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-02_preopen_final_watchlist.csv
2026-02-03,2026-02-02,ok,4480,1393,490,225,18,2026-02-03T08:00:00-05:00,217,21,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-03_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-03_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-03_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-03_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-03_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-03_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-03_preopen_final_watchlist.csv
2026-02-04,2026-02-03,ok,4752,1494,515,225,18,2026-02-04T08:00:00-05:00,205,19,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-04_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-04_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-04_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-04_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-04_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-04_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-04_preopen_final_watchlist.csv
2026-02-05,2026-02-04,ok,4908,1444,510,190,17,2026-02-05T08:00:00-05:00,152,20,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-05_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-05_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-05_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-05_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-05_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-05_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-05_preopen_final_watchlist.csv
2026-02-06,2026-02-05,ok,5116,1535,532,195,18,2026-02-06T08:00:00-05:00,180,20,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-06_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-06_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-06_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-06_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-06_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-06_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-06_preopen_final_watchlist.csv
2026-02-09,2026-02-06,ok,5354,1604,550,217,20,2026-02-09T08:00:00-05:00,202,24,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-09_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-09_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-09_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-09_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-09_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-09_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-09_preopen_final_watchlist.csv
2026-02-10,2026-02-09,ok,5567,1705,563,250,23,2026-02-10T08:00:00-05:00,224,22,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-10_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-10_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-10_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-10_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-10_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-10_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-10_preopen_final_watchlist.csv
2026-02-11,2026-02-10,ok,5766,1779,581,284,19,2026-02-11T08:00:00-05:00,229,23,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-11_scenarios.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-11_final_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-11_active_zones.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\snapshots\2026-02-11_merged_zones.csv,,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-11_preopen_context.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-11_movement_context_watchlist.csv,C:\Users\Jonat\Documents\Stock Project\v41\reports\backtest\preopen_snapshots\2026-02-11_preopen_final_watchlist.csv
