timestamp,open,high,low,close,volume,trade_count,vwap
2025-07-07 04:00:00+00:00,223.0,224.29,222.37,223.47,36604139.0,513469.0,223.421605
2025-07-08 04:00:00+00:00,223.915,224.0,218.43,219.36,45691987.0,615447.0,220.482253
2025-07-09 04:00:00+00:00,221.07,224.29,220.47,222.54,38155121.0,493756.0,222.484017
2025-07-10 04:00:00+00:00,221.55,222.79,219.7,222.26,30370591.0,451223.0,221.671031
2025-07-11 04:00:00+00:00,223.58,226.6799,222.37,225.02,50518307.0,661385.0,224.921985
2025-07-14 04:00:00+00:00,225.07,226.66,224.24,225.69,35702597.0,460428.0,225.637186
2025-07-15 04:00:00+00:00,226.2,227.27,225.455,226.35,34907294.0,507705.0,226.513698
2025-07-16 04:00:00+00:00,225.875,226.1,222.18,223.19,39529895.0,556021.0,223.793404
2025-07-17 04:00:00+00:00,223.32,224.5,222.51,223.88,31855521.0,445578.0,223.680502
2025-07-18 04:00:00+00:00,225.14,226.4,222.98,226.13,37833635.0,453999.0,225.265912
2025-07-21 04:00:00+00:00,225.835,229.69,225.65,229.3,40297556.0,530328.0,228.318395
2025-07-22 04:00:00+00:00,229.68,230.0,226.35,227.47,37483702.0,475209.0,227.930806
2025-07-23 04:00:00+00:00,228.47,228.79,227.09,228.29,28294852.0,344504.0,228.133448
2025-07-24 04:00:00+00:00,229.17,236.0,228.64,232.23,42902266.0,526287.0,231.791519
2025-07-25 04:00:00+00:00,232.22,232.48,231.18,231.44,28712095.0,365765.0,231.760651
2025-07-28 04:00:00+00:00,233.35,234.29,232.25,232.79,26300138.0,394809.0,233.126477
2025-07-29 04:00:00+00:00,234.15,234.72,230.31,231.01,33716220.0,446598.0,231.493732
2025-07-30 04:00:00+00:00,231.64,231.8,229.29,230.19,32990702.0,445419.0,230.28858
2025-07-31 04:00:00+00:00,235.77,236.53,231.4,234.11,104357263.0,1254660.0,233.945352
2025-08-01 04:00:00+00:00,217.21,220.4399,212.8,214.75,122258801.0,1742475.0,216.370596
2025-08-04 04:00:00+00:00,217.4,217.44,211.42,211.65,77890146.0,1046525.0,213.050611
2025-08-05 04:00:00+00:00,213.05,216.3,212.87,213.75,51505121.0,639055.0,214.539996
2025-08-06 04:00:00+00:00,214.695,222.65,213.7409,222.31,54823045.0,654274.0,219.365313
